,time,asv_1,asv_2
26,0.0,"(63.32941356119499, 10.079846527466072)","(63.33165726392072, 10.079858273100871)"
27,0.4041879177093506,"(63.32941814485735, 10.079846527466072)","(63.33165268025836, 10.079857986621974)"
28,0.9998958110809326,"(63.32942272851971, 10.079846527466072)","(63.33164838307489, 10.079857986621974)"
29,1.4043679237365723,"(63.32942702570317, 10.079846527466072)","(63.33164408589143, 10.079857986621974)"
30,2.000727891921997,"(63.329431322886634, 10.079846527466072)","(63.33163950222907, 10.079857986621974)"
31,2.4043538570404053,"(63.329435906549, 10.07984681394497)","(63.331634918566714, 10.079857986621974)"
32,3.000696897506714,"(63.32944049021137, 10.079847100423867)","(63.331630334904354, 10.079857986621974)"
33,3.404352903366089,"(63.32944507387373, 10.079847100423867)","(63.331625751241994, 10.079857986621974)"
34,4.000686883926392,"(63.32944965753608, 10.079847100423867)","(63.33162116757963, 10.079857986621974)"
35,4.40435791015625,"(63.32945424119844, 10.079847100423867)","(63.33161658391727, 10.079857986621974)"
36,4.999369859695435,"(63.3294588248608, 10.079847100423867)","(63.33161200025491, 10.079857986621974)"
37,5.404138803482056,"(63.32946340852317, 10.079847100423867)","(63.33160741659255, 10.079857986621974)"
38,6.000715970993042,"(63.32946799218553, 10.079847100423867)","(63.33160283293019, 10.079857986621974)"
39,6.404428958892822,"(63.329472289368994, 10.079847100423867)","(63.33159824926782, 10.079857986621974)"
40,6.999534845352173,"(63.32947658655245, 10.079847100423867)","(63.33159366560546, 10.079857986621974)"
41,7.40422797203064,"(63.32948117021481, 10.079847386902765)","(63.3315890819431, 10.079857986621974)"
42,7.999490976333618,"(63.32948575387717, 10.079847673381662)","(63.33158449828074, 10.079857986621974)"
43,8.404364824295044,"(63.32949033753954, 10.079847673381662)","(63.33157991461838, 10.079857986621974)"
44,8.99936294555664,"(63.329494921201906, 10.079847673381662)","(63.331575330956014, 10.079857986621974)"
45,9.40419602394104,"(63.32949950486426, 10.079847673381662)","(63.331570747293654, 10.079857986621974)"
46,10.000098943710327,"(63.32950408852662, 10.079847673381662)","(63.33156645011019, 10.079857700143076)"
47,10.40425181388855,"(63.329508385710085, 10.079847673381662)","(63.33156215292673, 10.079857413664179)"
48,10.99948787689209,"(63.329512682893544, 10.079847673381662)","(63.33155756926437, 10.079857413664179)"
49,11.404200792312622,"(63.32951726655591, 10.079847673381662)","(63.33155298560201, 10.079857413664179)"
50,12.000255823135376,"(63.32952185021828, 10.079847673381662)","(63.33154840193964, 10.079857413664179)"
51,12.404353857040405,"(63.32952643388063, 10.07984795986056)","(63.33154381827728, 10.079857413664179)"
52,13.000239849090576,"(63.32953101754299, 10.079848246339457)","(63.33153923461492, 10.079857413664179)"
53,13.404146909713745,"(63.32953560120535, 10.079848246339457)","(63.33153465095256, 10.079857413664179)"
54,14.000391960144043,"(63.32954018486771, 10.079848246339457)","(63.3315300672902, 10.079857413664179)"
55,14.404407978057861,"(63.329544482051176, 10.079848246339457)","(63.33152548362785, 10.079857413664179)"
56,14.999749898910522,"(63.329548779234635, 10.079848246339457)","(63.33152089996548, 10.079857413664179)"
57,15.412827968597412,"(63.329553362897, 10.079848246339457)","(63.331516316303116, 10.079857413664179)"
58,15.999959945678711,"(63.32955794655937, 10.079848246339457)","(63.33151201911966, 10.079857413664179)"
59,16.404397010803223,"(63.32956253022172, 10.079848532818355)","(63.33150772193619, 10.079857413664179)"
60,16.999444007873535,"(63.32956711388408, 10.079848819297252)","(63.33150313827383, 10.079857413664179)"
61,17.404213905334473,"(63.32957169754645, 10.079848819297252)","(63.33149855461147, 10.079857413664179)"
62,18.00070595741272,"(63.329576281208816, 10.079848819297252)","(63.33149397094911, 10.079857413664179)"
63,18.404663801193237,"(63.32958057839228, 10.079848819297252)","(63.331489387286744, 10.079857413664179)"
64,18.99937081336975,"(63.32958487557574, 10.079848819297252)","(63.331484803624384, 10.079857413664179)"
65,19.4043128490448,"(63.32958945923809, 10.079848819297252)","(63.331480219962025, 10.079857413664179)"
66,20.000165939331055,"(63.32959404290045, 10.079848819297252)","(63.33147563629967, 10.079857413664179)"
67,20.404145002365112,"(63.32959862656281, 10.079848819297252)","(63.33147105263731, 10.079857413664179)"
68,20.999781847000122,"(63.32960321022517, 10.079848819297252)","(63.331466755453846, 10.079857127185281)"
69,21.404639959335327,"(63.32960779388754, 10.079849105776152)","(63.33146245827038, 10.079856840706384)"
70,21.99945902824402,"(63.32961237754991, 10.07984939225505)","(63.33145787460802, 10.079856840706384)"
71,22.404358863830566,"(63.32961667473337, 10.07984939225505)","(63.33145329094565, 10.079856840706384)"
72,23.00005602836609,"(63.32962097191683, 10.07984939225505)","(63.33144870728329, 10.079856840706384)"
73,23.40425992012024,"(63.329625555579184, 10.07984939225505)","(63.33144412362093, 10.079856840706384)"
74,23.999506950378418,"(63.329630139241544, 10.07984939225505)","(63.331439539958566, 10.079856840706384)"
75,24.404155015945435,"(63.32963472290391, 10.07984939225505)","(63.33143495629621, 10.079856840706384)"
76,25.00144600868225,"(63.32963930656628, 10.07984939225505)","(63.33143037263385, 10.079856840706384)"
77,25.404325008392334,"(63.329643603749744, 10.079849678733947)","(63.33142578897149, 10.079856840706384)"
78,25.999993801116943,"(63.3296479009332, 10.079849965212844)","(63.33142149178802, 10.079856840706384)"
79,26.40431499481201,"(63.329652484595556, 10.079849965212844)","(63.33141719460456, 10.079856840706384)"
80,27.00071096420288,"(63.329657068257916, 10.079849965212844)","(63.33141261094221, 10.079856840706384)"
81,27.40424084663391,"(63.32966165192028, 10.079849965212844)","(63.33140802727985, 10.079856840706384)"
82,28.00008201599121,"(63.32966623558265, 10.079849965212844)","(63.33140344361748, 10.079856840706384)"
83,28.404284954071045,"(63.32967081924501, 10.079849965212844)","(63.331398859955115, 10.079856840706384)"
84,28.999392986297607,"(63.32967540290737, 10.079849965212844)","(63.331394276292755, 10.079856840706384)"
85,29.404347896575928,"(63.329679700090836, 10.079849965212844)","(63.331389692630395, 10.079856840706384)"
86,30.000319004058838,"(63.329683997274294, 10.079849965212844)","(63.33138539544693, 10.079856840706384)"
87,30.404148817062378,"(63.32968858093665, 10.079850251691742)","(63.33138109826347, 10.079856840706384)"
88,31.000600814819336,"(63.32969316459901, 10.07985053817064)","(63.331376514601104, 10.079856554227486)"
89,31.40415096282959,"(63.329697748261374, 10.07985053817064)","(63.331371930938744, 10.079856267748589)"
90,31.999499797821045,"(63.32970233192374, 10.07985053817064)","(63.331367347276384, 10.079856267748589)"
91,32.40434384346008,"(63.32970662910721, 10.07985053817064)","(63.331362763614024, 10.079856267748589)"
92,33.00006890296936,"(63.329710926290666, 10.07985053817064)","(63.331358179951664, 10.079856267748589)"
93,33.404340982437134,"(63.329715509953026, 10.07985053817064)","(63.33135359628931, 10.079856267748589)"
94,33.99949097633362,"(63.329720093615386, 10.07985053817064)","(63.33134929910584, 10.079856267748589)"
