,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709503904.729074, caravela,7,111,16,11,
1,1709503908.828587, caravela,7,111,12,5,4.099513053894043
2,1709503912.982207, caravela,7,111,15,4,4.153620004653931
3,1709503917.128424, caravela,7,111,12,5,4.146216869354248
4,1709503921.178825, caravela,7,111,12,4,4.050400972366333
5,1709503931.478463, caravela,7,111,27,13,10.299638032913208
6,1709503935.6305, caravela,7,111,15,4,4.152037143707275
7,1709503943.981219, caravela,7,111,24,8,8.350718975067139
8,1709503949.078617, caravela,7,111,15,6,5.097398042678833
9,1709503958.329453, caravela,7,111,24,13,9.25083589553833
10,1709503966.581674, caravela,7,111,27,13,8.25222110748291
11,1709503975.878513, caravela,7,111,27,12,9.296838998794556
12,1709503980.930638, caravela,7,111,12,7,5.052124977111816
13,1709503985.07848, caravela,7,111,12,4,4.147841930389404
14,1709503989.179983, caravela,7,111,12,5,4.101502895355225
0,1709503902.303764, caravela-2,7,112,14,8,
1,1709503906.3977, caravela-2,7,112,8,4,4.093935966491699
2,1709503911.49681, caravela-2,7,112,9,5,5.099109888076782
3,1709503915.64777, caravela-2,7,112,8,4,4.1509599685668945
4,1709503919.696872, caravela-2,7,112,8,4,4.049102067947388
5,1709503923.847382, caravela-2,7,112,8,4,4.15051007270813
6,1709503930.047516, caravela-2,7,112,12,6,6.200134038925171
7,1709503933.147168, caravela-2,7,112,6,3,3.09965181350708
8,1709503936.247388, caravela-2,7,112,6,3,3.100219964981079
9,1709503939.347554, caravela-2,7,112,6,3,3.100166082382202
10,1709503942.447393, caravela-2,7,112,6,3,3.099838972091675
11,1709503947.597664, caravela-2,7,112,10,5,5.15027117729187
12,1709503978.596831, caravela-2,7,112,61,30,30.99916696548462
13,1709503981.646729, caravela-2,7,112,6,3,3.0498979091644287
14,1709503986.847831, caravela-2,7,112,10,5,5.201102018356323
