,time,asv_1,asv_2
62,0.0,"(63.32941356119499, 10.079846527466072)","(63.33133125093529, 10.079856267748589)"
63,0.7564620971679688,"(63.329417858378456, 10.079846527466072)","(63.33132666727293, 10.079856267748589)"
64,1.0001940727233887,"(63.32942215556192, 10.079846527466072)","(63.33132265656837, 10.079856267748589)"
65,1.755378007888794,"(63.329426739224274, 10.079846527466072)","(63.3313186458638, 10.079856267748589)"
66,2.001044988632202,"(63.329431322886634, 10.079846527466072)","(63.331314062201436, 10.079855981269692)"
67,2.7558228969573975,"(63.329435906549, 10.07984681394497)","(63.33130947853907, 10.079855694790796)"
68,3.0001158714294434,"(63.32944049021137, 10.079847100423867)","(63.3313051813556, 10.079854835354102)"
69,3.755486011505127,"(63.32944507387373, 10.079847100423867)","(63.331300884172144, 10.079853975917409)"
70,4.000546932220459,"(63.32944965753608, 10.079847100423867)","(63.331296586988685, 10.079852830001819)"
71,4.755384922027588,"(63.32945424119844, 10.079847100423867)","(63.33129228980522, 10.079851684086227)"
72,5.00127387046814,"(63.3294588248608, 10.079847100423867)","(63.33128799262175, 10.07985025169174)"
73,5.755388021469116,"(63.329463122044274, 10.079847100423867)","(63.331283695438295, 10.079848819297252)"
74,5.99995493888855,"(63.32946741922774, 10.079847100423867)","(63.331279111775935, 10.07984681394497)"
75,6.757534027099609,"(63.3294720028901, 10.079847100423867)","(63.331274528113575, 10.079844808592687)"
76,7.000226020812988,"(63.32947658655245, 10.079847100423867)","(63.331270230930116, 10.079842803240403)"
77,7.755589008331299,"(63.32948117021481, 10.079847386902765)","(63.33126593374665, 10.07984079788812)"
78,8.001195907592773,"(63.32948575387717, 10.079847673381662)","(63.331261636563184, 10.07983850605694)"
79,8.755538940429688,"(63.32949033753954, 10.079847673381662)","(63.331257339379725, 10.07983621422576)"
80,9.00097393989563,"(63.329494921201906, 10.079847673381662)","(63.33125304219625, 10.079833635915682)"
81,9.756267070770264,"(63.329499218385365, 10.079847673381662)","(63.331248745012786, 10.079831057605604)"
82,10.000741958618164,"(63.32950351556883, 10.079847673381662)","(63.331244161350426, 10.079828479295525)"
83,10.755721092224121,"(63.32950809923119, 10.079847673381662)","(63.33123957768807, 10.079825900985448)"
84,11.001044988632202,"(63.329512682893544, 10.079847673381662)","(63.331235280504615, 10.07982332267537)"
85,11.755842924118042,"(63.32951726655591, 10.07984795986056)","(63.33123098332115, 10.079820744365291)"
86,12.000078916549683,"(63.32952185021828, 10.079848246339457)","(63.33122668613768, 10.079818166055212)"
87,12.755367994308472,"(63.32952643388063, 10.079848246339457)","(63.33122238895422, 10.079815587745134)"
88,13.000077962875366,"(63.32953101754299, 10.079848246339457)","(63.33121809177075, 10.079813009435057)"
89,13.756754875183105,"(63.329535314726456, 10.079848246339457)","(63.33121379458729, 10.07981043112498)"
90,13.999928951263428,"(63.329539611909915, 10.079848246339457)","(63.331209210924925, 10.079807852814902)"
91,14.75537896156311,"(63.329544195572275, 10.079848246339457)","(63.331204627262565, 10.079805274504823)"
92,15.00034499168396,"(63.329548779234635, 10.079848246339457)","(63.3312003300791, 10.079802696194744)"
93,15.755966901779175,"(63.329553362897, 10.079848246339457)","(63.33119603289564, 10.079800117884666)"
94,16.000926971435547,"(63.32955794655937, 10.079848246339457)","(63.33119173571218, 10.079797253095691)"
95,16.75552487373352,"(63.32956253022172, 10.079848532818355)","(63.331187438528715, 10.079794388306714)"
96,16.999945878982544,"(63.32956711388408, 10.079848819297252)","(63.33118314134525, 10.07979123703884)"
