,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709820926.10073, caravela,7,111,2,3,
1,1709820929.151572, caravela,7,111,3,3,3.050842046737671
2,1709820934.403212, caravela,7,111,5,5,5.25164008140564
3,1709820941.650636, caravela,7,111,17,10,7.247423887252808
4,1709820945.75064, caravela,7,111,12,4,4.100003957748413
5,1709820949.901578, caravela,7,111,12,5,4.150938034057617
6,1709820956.650253, caravela,7,111,21,7,6.748675107955933
7,1709820961.755814, caravela,7,111,15,6,5.105561017990112
8,1709820964.850586, caravela,7,111,9,3,3.0947718620300293
9,1709820969.001097, caravela,7,111,12,4,4.150511026382446
10,1709820977.150354, caravela,7,111,24,9,8.149256944656372
11,1709820980.250327, caravela,7,111,9,3,3.099973201751709
12,1709820986.400543, caravela,7,111,13,8,6.1502158641815186
13,1709820989.450496, caravela,7,111,9,3,3.049952983856201
14,1709820994.550383, caravela,7,111,15,5,5.099887132644653
15,1709821000.700365, caravela,7,111,18,7,6.14998197555542
16,1709821006.853509, caravela,7,111,18,8,6.153143882751465
17,1709821016.101777, caravela,7,111,24,13,9.248268127441406
18,1709821021.251552, caravela,7,111,15,5,5.14977502822876
19,1709821025.351607, caravela,7,111,12,4,4.100054979324341
20,1709821031.505876, caravela,7,111,18,6,6.154268980026245
21,1709821036.651454, caravela,7,111,15,5,5.145577907562256
22,1709821040.80041, caravela,7,111,12,4,4.148956060409546
23,1709821046.004393, caravela,7,111,15,7,5.2039830684661865
24,1709821049.101703, caravela,7,111,9,3,3.0973098278045654
25,1709821052.250361, caravela,7,111,9,3,3.148658037185669
26,1709821055.300253, caravela,7,111,9,3,3.049891948699951
27,1709821059.350495, caravela,7,111,12,4,4.050242185592651
28,1709821062.450327, caravela,7,111,9,3,3.0998318195343018
29,1709821067.550505, caravela,7,111,15,5,5.100178003311157
30,1709821070.65046, caravela,7,111,9,3,3.0999550819396973
31,1709821074.70046, caravela,7,111,12,4,4.049999952316284
32,1709821078.800608, caravela,7,111,12,4,4.10014796257019
33,1709821083.950455, caravela,7,111,15,5,5.149847030639648
34,1709821088.050471, caravela,7,111,12,4,4.100016117095947
35,1709821094.200497, caravela,7,111,18,6,6.150025844573975
36,1709821098.300426, caravela,7,111,12,5,4.099929094314575
37,1709821101.351697, caravela,7,111,9,3,3.0512709617614746
38,1709821108.501213, caravela,7,111,21,7,7.1495161056518555
39,1709821111.600526, caravela,7,111,9,3,3.0993130207061768
40,1709821115.702067, caravela,7,111,12,4,4.101540803909302
41,1709821118.751864, caravela,7,111,9,3,3.0497970581054688
42,1709821123.950535, caravela,7,111,15,5,5.198671102523804
43,1709821127.050688, caravela,7,111,9,3,3.1001529693603516
44,1709821130.103576, caravela,7,111,9,3,3.0528879165649414
45,1709821133.153016, caravela,7,111,9,3,3.0494401454925537
46,1709821138.301883, caravela,7,111,15,5,5.148866891860962
47,1709821142.451095, caravela,7,111,12,4,4.149212121963501
48,1709821145.550659, caravela,7,111,9,3,3.0995638370513916
49,1709821151.75069, caravela,7,111,18,9,6.200031042098999
50,1709821155.851843, caravela,7,111,12,5,4.101153135299683
51,1709821160.000372, caravela,7,111,12,4,4.148528814315796
52,1709821167.300456, caravela,7,111,21,11,7.300084114074707
53,1709821171.351436, caravela,7,111,12,5,4.050979852676392
54,1709821175.500354, caravela,7,111,12,4,4.148918151855469
55,1709821183.850277, caravela,7,111,27,9,8.349922895431519
56,1709821191.050379, caravela,7,111,21,7,7.200102090835571
57,1709821196.101124, caravela,7,111,12,5,5.050745010375977
58,1709821202.250319, caravela,7,111,21,8,6.149194955825806
59,1709821211.451029, caravela,7,111,9,3,9.20071005821228
60,1709821218.75084, caravela,7,111,24,10,7.299810886383057
