,time,asv_1,asv_2,asv_3
59,0.0,"(63.3294129882372, 10.079846527466072)","(63.33155604137691, 10.07985760465011)","(63.33054916354494, 10.082196227383905)"
60,0.2824559211730957,"(63.329416044012106, 10.079846527466072)","(63.33155298560201, 10.079857413664179)","(63.33054916354494, 10.082189351890362)"
61,0.865731954574585,"(63.32941909978702, 10.079846527466072)","(63.3315499298271, 10.079857413664179)","(63.33054916354494, 10.08218247639682)"
62,1.0000979900360107,"(63.32942215556192, 10.079846527466072)","(63.331546874052194, 10.079857413664179)","(63.33054935453087, 10.08217579188921)"
63,1.282581090927124,"(63.329425211336826, 10.079846527466072)","(63.33154381827728, 10.079857413664179)","(63.3305495455168, 10.0821691073816)"
64,1.8657000064849854,"(63.32942826711173, 10.079846527466072)","(63.33154076250238, 10.079857413664179)","(63.33054973650274, 10.08216242287399)"
65,2.000098943710327,"(63.329431322886634, 10.079846527466072)","(63.33153770672747, 10.079857413664179)","(63.33054973650274, 10.082155547380449)"
66,2.2825100421905518,"(63.329434378661546, 10.079846718452004)","(63.33153465095256, 10.079857413664179)","(63.33054973650274, 10.082148671886907)"
67,2.866091012954712,"(63.32943743443646, 10.079846909437936)","(63.33153159517766, 10.079857413664179)","(63.33054973650274, 10.082141796393365)"
68,3.0012450218200684,"(63.32944049021137, 10.079847100423867)","(63.331528539402754, 10.079857413664179)","(63.33054973650274, 10.082135111885757)"
69,3.2825610637664795,"(63.32944354598627, 10.079847100423867)","(63.33152548362785, 10.079857413664179)","(63.33054973650274, 10.082128427378146)"
70,3.8661279678344727,"(63.32944660176118, 10.079847100423867)","(63.33152242785294, 10.079857413664179)","(63.33054973650274, 10.082121742870537)"
71,4.00085711479187,"(63.32944965753608, 10.079847100423867)","(63.33151937207803, 10.079857413664179)","(63.33054973650274, 10.082115058362927)"
72,4.282647132873535,"(63.329452522325056, 10.079847100423867)","(63.331516316303116, 10.079857413664179)","(63.33054973650274, 10.082108373855318)"
73,4.865490913391113,"(63.32945538711403, 10.079847100423867)","(63.33151345151414, 10.079857413664179)","(63.33054973650274, 10.082101689347708)"
74,5.000977993011475,"(63.329458251903006, 10.079847100423867)","(63.331510586725166, 10.079857413664179)","(63.33054973650274, 10.082094813854166)"
75,5.282508134841919,"(63.32946130767792, 10.079847100423867)","(63.33150772193619, 10.079857413664179)","(63.33054973650274, 10.082087938360624)"
76,5.865665912628174,"(63.32946436345283, 10.079847100423867)","(63.33150466616129, 10.079857413664179)","(63.33054973650274, 10.082081062867083)"
77,6.000113010406494,"(63.32946741922774, 10.079847100423867)","(63.331501610386375, 10.079857413664179)","(63.33054973650274, 10.082074378359472)"
78,6.282526016235352,"(63.329470475002644, 10.079847100423867)","(63.33149855461147, 10.079857413664179)","(63.33054973650274, 10.082067693851863)"
79,6.865678071975708,"(63.32947353077755, 10.079847100423867)","(63.33149549883656, 10.079857413664179)","(63.33054973650274, 10.082061009344253)"
80,7.000833988189697,"(63.32947658655245, 10.079847100423867)","(63.331492443061656, 10.079857413664179)","(63.33054973650274, 10.082054133850711)"
81,7.2825000286102295,"(63.32947964232736, 10.079847291409799)","(63.331489387286744, 10.079857413664179)","(63.33054973650274, 10.08204725835717)"
82,7.865797996520996,"(63.32948269810227, 10.079847482395731)","(63.33148633151184, 10.079857413664179)","(63.33054973650274, 10.082040382863628)"
83,7.999952077865601,"(63.32948575387717, 10.079847673381662)","(63.33148327573693, 10.079857413664179)","(63.33054973650274, 10.082033698356017)"
