,time,asv_1,asv_2,asv_3
65,0.0,"(63.32941528006838, 10.079846527466072)","(63.331567309546884, 10.079864862115517)","(63.33054897255901, 10.082060245400527)"
66,0.6803290843963623,"(63.329418335843286, 10.079846527466072)","(63.33156444475791, 10.079864862115517)","(63.33054935453087, 10.082053751878847)"
67,0.8111681938171387,"(63.32942139161819, 10.079846527466072)","(63.331561388983005, 10.079864862115517)","(63.33054973650274, 10.08204725835717)"
68,0.9995200634002686,"(63.329424447393095, 10.079846527466072)","(63.33155833320809, 10.079864862115517)","(63.3305501184746, 10.082040573849559)"
69,1.6804912090301514,"(63.329427503168, 10.079846718452004)","(63.33155527743319, 10.079864862115517)","(63.33055050044646, 10.08203388934195)"
70,1.813068151473999,"(63.32943055894291, 10.079846909437936)","(63.331552221658285, 10.079864671129586)","(63.33055088241832, 10.08202720483434)"
71,1.999495029449463,"(63.329433614717814, 10.079847100423867)","(63.33154916588338, 10.079864480143653)","(63.33055145537612, 10.082020711312662)"
72,2.6814169883728027,"(63.32943647950679, 10.079847100423867)","(63.33154611010848, 10.079864289157722)","(63.33055202833392, 10.082014217790984)"
73,2.8112330436706543,"(63.329439344295764, 10.079847100423867)","(63.331543245319494, 10.079864289157722)","(63.330552601291714, 10.082007724269307)"
74,2.999859094619751,"(63.32944220908474, 10.079847100423867)","(63.33154038053052, 10.079864289157722)","(63.33055336523544, 10.082001039761696)"
75,3.680363178253174,"(63.32944526485965, 10.079847100423867)","(63.33153751574154, 10.079864289157722)","(63.33055412917916, 10.081994355254086)"
76,3.8112401962280273,"(63.32944832063456, 10.079847100423867)","(63.33153445996663, 10.079864289157722)","(63.33055489312289, 10.081987670746475)"
77,3.9995880126953125,"(63.32945137640947, 10.079847100423867)","(63.33153140419172, 10.079864289157722)","(63.33055565706661, 10.081981559196661)"
78,4.6803669929504395,"(63.32945443218438, 10.079847100423867)","(63.33152834841682, 10.079864289157722)","(63.33055642101034, 10.081975447646846)"
79,4.812132120132446,"(63.32945748795928, 10.079847100423867)","(63.33152529264191, 10.079864289157722)","(63.33055718495407, 10.081969336097032)"
80,4.999737024307251,"(63.329460543734186, 10.079847100423867)","(63.331522236867, 10.079864289157722)","(63.33055794889779, 10.081963033561285)"
81,5.68091607093811,"(63.3294635995091, 10.079847100423867)","(63.3315191810921, 10.079864289157722)","(63.33055871284152, 10.081956731025539)"
82,5.8112781047821045,"(63.32946665528401, 10.079847100423867)","(63.33151612531719, 10.079864289157722)","(63.33055947678525, 10.081950428489792)"
83,5.9995341300964355,"(63.32946971105892, 10.079847100423867)","(63.33151306954228, 10.079864289157722)","(63.33056043171491, 10.081944316939978)"
84,6.680404186248779,"(63.329472575847895, 10.079847291409799)","(63.33151001376737, 10.079864289157722)","(63.330561386644575, 10.081938205390163)"
85,6.81142520904541,"(63.32947544063687, 10.079847482395731)","(63.33150695799247, 10.079864289157722)","(63.330562341574236, 10.081932093840349)"
86,6.999722003936768,"(63.329478305425845, 10.079847673381662)","(63.331503902217555, 10.079864289157722)","(63.330563487489826, 10.081925982290533)"
87,7.680373191833496,"(63.32948117021482, 10.079847673381662)","(63.33150084644265, 10.079864289157722)","(63.33056463340541, 10.08191987074072)"
88,7.813397169113159,"(63.329484035003794, 10.079847673381662)","(63.331497981653676, 10.07986409817179)","(63.330565779321, 10.081913759190904)"
89,7.999496221542358,"(63.32948689979277, 10.079847673381662)","(63.3314951168647, 10.079863907185858)","(63.33056692523659, 10.08190764764109)"
90,8.68039321899414,"(63.329489764581744, 10.079847864367594)","(63.331492252075726, 10.079863716199926)","(63.33056807115218, 10.081901536091275)"
91,8.813108205795288,"(63.32949262937072, 10.079848055353526)","(63.33148938728675, 10.079863525213995)","(63.33056921706777, 10.081895424541461)"
92,9.000102043151855,"(63.329495494159694, 10.079848246339457)","(63.33148652249778, 10.079863334228062)","(63.330570553969295, 10.081889312991645)"
93,9.68154501914978,"(63.32949835894867, 10.079848819297252)","(63.3314836577088, 10.07986314324213)","(63.330571890870814, 10.081883201441832)"
94,9.812199115753174,"(63.329501223737644, 10.07984939225505)","(63.33148079291983, 10.079862570284336)","(63.33057322777234, 10.081877089892016)"
95,9.999490022659302,"(63.32950408852662, 10.079849965212844)","(63.33147792813085, 10.07986199732654)","(63.33057456467386, 10.081871169328133)"
96,10.680334091186523,"(63.329506953315594, 10.07985072915657)","(63.33147506334188, 10.079861424368746)","(63.330575901575386, 10.08186524876425)"
97,10.811082124710083,"(63.32950981810457, 10.079851493100298)","(63.331472198552895, 10.07986066042502)","(63.330577238476906, 10.081859328200368)"
98,10.999484062194824,"(63.329512682893544, 10.079852257044024)","(63.33146933376392, 10.079859896481292)","(63.330578575378425, 10.081853407636485)"
99,11.680361032485962,"(63.329515738668455, 10.079853211973683)","(63.33146646897494, 10.079859132537566)","(63.33057991227995, 10.0818474870726)"
