,time,asv_1,asv_2,asv_3
55,0.0,"(63.329392361756575, 10.080068835090582)","(63.33039083620755, 10.077690296297064)","(63.3297376643211, 10.08107342109138)"
56,0.11368203163146973,"(63.32939522654555, 10.080072272837354)","(63.33038949930602, 10.077696407846878)","(63.32974014713822, 10.081069792358678)"
57,0.42133617401123047,"(63.329398091334525, 10.080075710584124)","(63.3303881624045, 10.077702519396693)","(63.32974282094126, 10.081066163625975)"
58,1.0041930675506592,"(63.3294009561235, 10.080079148330896)","(63.330386825502984, 10.077708439960576)","(63.32974549474431, 10.081062534893272)"
59,1.113685131072998,"(63.32940343894061, 10.080082395091734)","(63.33038548860146, 10.077714360524459)","(63.329748168547354, 10.08105890616057)"
60,1.4211270809173584,"(63.32940592175772, 10.080085641852573)","(63.33038415169994, 10.077720281088341)","(63.32975065136446, 10.081055086441935)"
61,2.0002450942993164,"(63.32940840457483, 10.080088888613412)","(63.33038281479842, 10.077726201652224)","(63.32975313418157, 10.0810512667233)"
62,2.114039182662964,"(63.32941107837787, 10.080092135374251)","(63.3303814778969, 10.077732122216108)","(63.32975561699868, 10.081047447004666)"
63,2.421034097671509,"(63.32941375218092, 10.080095382135092)","(63.33038014099538, 10.077738042779991)","(63.3297580998158, 10.081043818271963)"
64,3.0001041889190674,"(63.329416425983965, 10.08009862889593)","(63.33037880409386, 10.077744154329807)","(63.32976058263291, 10.081040189539262)"
65,3.1136770248413086,"(63.32941909978701, 10.08010187565677)","(63.330377467192335, 10.07775026587962)","(63.329763065450024, 10.08103656080656)"
66,3.4210121631622314,"(63.32942177359005, 10.080105122417608)","(63.330376130290816, 10.077756377429436)","(63.32976573925307, 10.081032932073857)"
67,4.0003931522369385,"(63.329424447393095, 10.080108369178447)","(63.330374793389296, 10.077762297993319)","(63.32976841305611, 10.081029303341154)"
68,4.113757133483887,"(63.32942712119614, 10.080111615939286)","(63.33037345648777, 10.077768218557202)","(63.329771086859154, 10.081025674608451)"
69,4.434034109115601,"(63.329429794999186, 10.080114862700126)","(63.33037211958625, 10.077774139121084)","(63.32977356967626, 10.081021854889817)"
70,5.000015020370483,"(63.32943246880223, 10.080118109460965)","(63.33037097367066, 10.0777802506709)","(63.32977605249338, 10.081018035171182)"
71,5.11372709274292,"(63.32943514260528, 10.080121356221804)","(63.330369827755064, 10.077786362220714)","(63.32977853531049, 10.081014215452548)"
72,5.421042203903198,"(63.32943781640832, 10.080124602982643)","(63.330368681839474, 10.07779247377053)","(63.329781018127605, 10.081010586719845)"
73,6.0001161098480225,"(63.32944049021137, 10.080127849743482)","(63.330367344937954, 10.077798394334412)","(63.329783500944714, 10.081006957987144)"
74,6.113732099533081,"(63.32944316401441, 10.08013109650432)","(63.33036600803643, 10.077804314898295)","(63.32978598376183, 10.081003329254441)"
75,6.421011209487915,"(63.329445837817445, 10.08013434326516)","(63.33036467113491, 10.077810235462177)","(63.329788657564876, 10.080999700521739)"
76,7.000509023666382,"(63.329448511620484, 10.080137590025998)","(63.33036333423338, 10.077816347011993)","(63.329791331367915, 10.080996071789038)"
77,7.113692045211792,"(63.32945118542353, 10.080140836786837)","(63.33036199733186, 10.077822458561807)","(63.32979400517096, 10.080992443056335)"
78,7.421573162078857,"(63.329453859226575, 10.080144083547676)","(63.33036066043034, 10.077828570111622)","(63.32979648798807, 10.080988814323632)"
79,8.000399112701416,"(63.32945653302962, 10.080147330308515)","(63.33035932352882, 10.077834490675505)","(63.329798970805186, 10.08098518559093)"
80,8.113704204559326,"(63.32945920683267, 10.080150577069354)","(63.33035798662729, 10.07784041123939)","(63.329801453622295, 10.080981556858227)"
81,8.426464080810547,"(63.32946188063571, 10.080153823830194)","(63.33035664972577, 10.077846331803272)","(63.32980393643941, 10.080977737139593)"
82,9.000298023223877,"(63.32946455443876, 10.080157070591033)","(63.33035531282425, 10.077852443353086)","(63.32980641925652, 10.080973917420959)"
83,9.114619016647339,"(63.3294672282418, 10.080160317351872)","(63.330353975922726, 10.077858554902901)","(63.32980890207364, 10.080970097702325)"
84,9.421001195907593,"(63.32946990204484, 10.080163564112713)","(63.33035263902121, 10.077864666452715)","(63.329811575876676, 10.080966468969622)"
85,10.000047206878662,"(63.32947257584789, 10.080166810873552)","(63.33035130211968, 10.07787077800253)","(63.329814249679714, 10.08096284023692)"
86,10.11391305923462,"(63.32947524965093, 10.08016986664846)","(63.33034996521816, 10.077876889552345)","(63.32981692348275, 10.080959211504217)"
87,10.421155214309692,"(63.32947792345398, 10.080172922423365)","(63.330348628316635, 10.07788300110216)","(63.32981940629987, 10.080955582771514)"
88,11.000019073486328,"(63.329480597257024, 10.080175978198273)","(63.330347291415116, 10.077888921666043)","(63.329821889116985, 10.080951954038811)"
89,11.113993167877197,"(63.32948327106007, 10.080179224959112)","(63.330345954513604, 10.077894842229925)","(63.3298243719341, 10.080948325306109)"
90,11.425408124923706,"(63.32948594486311, 10.08018247171995)","(63.330344617612084, 10.077900762793808)","(63.32982685475122, 10.080944696573406)"
91,12.000047206878662,"(63.329488618666154, 10.08018571848079)","(63.330343471696494, 10.077906874343624)","(63.32982933756833, 10.080941067840705)"
92,12.114084005355835,"(63.32949148345513, 10.080188774255697)","(63.3303423257809, 10.077912985893438)","(63.329831820385444, 10.080937439108002)"
93,12.421188116073608,"(63.329494348244104, 10.080191830030603)","(63.33034117986531, 10.077919097443253)","(63.32983449418848, 10.080933619389368)"
94,13.000011205673218,"(63.32949721303308, 10.080194885805511)","(63.33033984296379, 10.077925208993067)","(63.32983716799152, 10.080929799670733)"
95,13.113651037216187,"(63.329499886836125, 10.08019813256635)","(63.33033850606226, 10.077931320542882)","(63.32983984179456, 10.080925979952099)"
96,13.421433210372925,"(63.32950256063917, 10.08020137932719)","(63.33033716916074, 10.077937432092696)","(63.329842324611676, 10.080922351219396)"
97,14.000708103179932,"(63.329505234442216, 10.08020462608803)","(63.330335832259216, 10.077943734628443)","(63.329844807428785, 10.080918722486693)"
98,14.113692998886108,"(63.329507908245255, 10.080207681862937)","(63.3303344953577, 10.07795003716419)","(63.3298472902459, 10.08091509375399)"
99,14.423243045806885,"(63.3295105820483, 10.080210737637843)","(63.33033315845617, 10.077956339699936)","(63.32984977306302, 10.080911465021288)"
100,15.000007152557373,"(63.32951325585134, 10.080213793412751)","(63.33033201254058, 10.077962069277888)","(63.32985225588013, 10.080907836288587)"
101,15.113961219787598,"(63.329515929654384, 10.080216849187659)","(63.33033086662499, 10.077967798855838)","(63.32985473869724, 10.080904207555884)"
102,15.421011209487915,"(63.32951860345742, 10.080219904962565)","(63.3303297207094, 10.07797352843379)","(63.32985722151435, 10.080900578823181)"
103,16.00004506111145,"(63.32952127726047, 10.080222960737473)","(63.33032838380788, 10.077979639983605)","(63.32985970433147, 10.080896950090478)"
104,16.113774061203003,"(63.329523951063514, 10.08022601651238)","(63.33032704690636, 10.077985751533419)","(63.32986218714858, 10.080893321357776)"
105,16.42132019996643,"(63.32952662486656, 10.080229072287286)","(63.33032571000484, 10.077991863083234)","(63.32986486095162, 10.080889692625073)"
106,17.00029706954956,"(63.329529298669605, 10.080232128062194)","(63.33032456408925, 10.07799797463305)","(63.32986753475466, 10.080886063892372)"
107,17.113996028900146,"(63.32953197247265, 10.080235183837102)","(63.330323418173656, 10.078004086182863)","(63.32987020855771, 10.080882435159669)"
108,17.42105221748352,"(63.3295346462757, 10.08023823961201)","(63.330322272258066, 10.078010197732679)","(63.329872691374824, 10.080878615441035)"
109,18.00003409385681,"(63.32953732007874, 10.080241295386918)","(63.330320935356546, 10.078016118296562)","(63.32987517419193, 10.0808747957224)"
110,18.113685131072998,"(63.32953999388179, 10.080244351161825)","(63.33031959845502, 10.078022038860444)","(63.32987765700905, 10.080870976003766)"
111,18.422325134277344,"(63.32954266768483, 10.080247406936731)","(63.3303182615535, 10.078027959424327)","(63.32988013982616, 10.080867347271063)"
112,19.000527143478394,"(63.32954534148787, 10.08025046271164)","(63.33031692465198, 10.078034070974143)","(63.329882622643275, 10.080863718538362)"
113,19.113656044006348,"(63.32954801529092, 10.080253709472478)","(63.330315587750455, 10.078040182523957)","(63.329885105460384, 10.08086008980566)"
114,19.421463012695312,"(63.32955068909396, 10.080256956233319)","(63.330314250848936, 10.078046294073772)","(63.3298875882775, 10.080856461072957)"
115,20.000564098358154,"(63.32955336289701, 10.080260202994157)","(63.330313104933346, 10.078052405623586)","(63.32989007109461, 10.080852832340256)"
116,20.11370611190796,"(63.329556227685984, 10.080263258769065)","(63.33031195901775, 10.078058517173401)","(63.329892553911726, 10.080849203607553)"
117,20.42133903503418,"(63.32955909247496, 10.080266314543971)","(63.33031081310216, 10.078064628723215)","(63.329895227714765, 10.08084557487485)"
118,21.003814220428467,"(63.329561957263934, 10.080269370318879)","(63.33030947620064, 10.07807074027303)","(63.32989790151781, 10.080841946142147)"
119,21.11348819732666,"(63.32956463106698, 10.080272235107856)","(63.33030813929913, 10.078076851822845)","(63.32990057532085, 10.080838317409444)"
120,21.421711206436157,"(63.32956730487002, 10.08027509989683)","(63.33030680239761, 10.07808296337266)","(63.329903058137965, 10.080834688676742)"
121,22.000011205673218,"(63.329569978673064, 10.080277964685807)","(63.33030565648202, 10.078089265908407)","(63.329905540955075, 10.080831059944039)"
122,22.11372709274292,"(63.3295726524761, 10.080281020460715)","(63.33030451056642, 10.078095568444152)","(63.32990802377219, 10.080827431211336)"
123,22.42586612701416,"(63.32957532627915, 10.080284076235621)","(63.33030336465083, 10.078101870979898)","(63.32991050658931, 10.080823802478633)"
124,23.000453233718872,"(63.329578000082186, 10.080287132010529)","(63.33030221873524, 10.078107791543781)","(63.32991298940642, 10.080820173745932)"
125,23.114023208618164,"(63.32958067388523, 10.080290187785437)","(63.330301072819644, 10.078113712107665)","(63.32991547222353, 10.08081654501323)"
126,23.421245098114014,"(63.32958334768828, 10.080293243560343)","(63.330299926904054, 10.078119632671548)","(63.32991795504064, 10.080812916280527)"
127,24.000004053115845,"(63.32958602149132, 10.08029629933525)","(63.330298590002535, 10.078125744221362)","(63.32992043785775, 10.080809287547824)"
128,24.113742113113403,"(63.32958869529437, 10.080299355110158)","(63.33029725310101, 10.078131855771177)","(63.32992292067486, 10.080805658815121)"
