,time,asv_1,asv_2,asv_3
79,0.0,"(63.32940324795468, 10.080053365230114)","(63.330562914532024, 10.077779486727172)","(63.32990573194101, 10.080802603040214)"
80,0.07641911506652832,"(63.329406112743655, 10.080055657061294)","(63.330562914532024, 10.077786171234782)","(63.329908596729986, 10.080800120223103)"
81,0.6856729984283447,"(63.32940897753263, 10.080057948892476)","(63.330562914532024, 10.077792855742391)","(63.32991146151896, 10.08079763740599)"
82,1.0008690357208252,"(63.329411842321605, 10.080060240723656)","(63.330562914532024, 10.077799540250002)","(63.329914135322, 10.08079534557481)"
83,1.075788974761963,"(63.32941470711058, 10.080062341568905)","(63.330562914532024, 10.07780622475761)","(63.329916809125045, 10.080793053743628)"
84,1.6854281425476074,"(63.329417571899555, 10.080064442414155)","(63.330562914532024, 10.077812909265221)","(63.329919482928084, 10.080790761912448)"
85,1.9995529651641846,"(63.32942043668853, 10.080066543259404)","(63.330562914532024, 10.07781959377283)","(63.329922347717066, 10.0807886610672)"
86,2.0757830142974854,"(63.329423301477505, 10.080068644104653)","(63.330562914532024, 10.07782627828044)","(63.32992521250604, 10.08078656022195)"
87,2.6851770877838135,"(63.32942616626648, 10.0800707449499)","(63.330562914532024, 10.077832962788051)","(63.32992807729502, 10.080784459376702)"
88,3.001185178756714,"(63.329429031055454, 10.080072845795149)","(63.330562914532024, 10.077839647295662)","(63.329930942084, 10.080782358531453)"
89,3.0775301456451416,"(63.3294317048585, 10.080074946640398)","(63.330562914532024, 10.077846331803272)","(63.32993380687297, 10.080780257686204)"
90,3.685692071914673,"(63.329434378661546, 10.080077047485647)","(63.330562914532024, 10.07785301631088)","(63.32993667166195, 10.080778156840955)"
91,4.033468008041382,"(63.32943705246459, 10.080079148330896)","(63.330562914532024, 10.077859700818491)","(63.32993953645092, 10.080775865009775)"
92,4.0761590003967285,"(63.329440108239496, 10.080081249176144)","(63.330562914532024, 10.0778663853261)","(63.3299424012399, 10.080773573178593)"
93,4.685275077819824,"(63.3294431640144, 10.080083350021393)","(63.330562914532024, 10.077873260819642)","(63.32994526602887, 10.080771281347413)"
94,4.999803066253662,"(63.329446219789304, 10.080085450866642)","(63.330562914532024, 10.077880136313183)","(63.32994793983192, 10.080768989516233)"
95,5.07578706741333,"(63.329449084578286, 10.080087551711891)","(63.330562914532024, 10.077887011806725)","(63.32995061363496, 10.080766697685053)"
96,5.685240983963013,"(63.32945194936726, 10.08008965255714)","(63.330562914532024, 10.077893696314336)","(63.32995328743801, 10.080764405853873)"
97,6.000553131103516,"(63.32945481415624, 10.080091753402389)","(63.330562914532024, 10.077900380821944)","(63.329956152226984, 10.08076192303676)"
98,6.076088190078735,"(63.32945767894522, 10.080093854247638)","(63.330562914532024, 10.077907065329555)","(63.32995901701596, 10.080759440219648)"
99,6.685176134109497,"(63.3294605437342, 10.080095955092887)","(63.330562914532024, 10.077913749837164)","(63.329961881804934, 10.080756957402535)"
100,6.999531030654907,"(63.329463408523175, 10.080098055938135)","(63.330562914532024, 10.077920434344774)","(63.32996474659391, 10.080754474585422)"
101,7.076073169708252,"(63.32946627331215, 10.080100156783384)","(63.330562914532024, 10.077927118852383)","(63.329967611382884, 10.080751991768311)"
102,7.685660123825073,"(63.329469138101125, 10.080102257628633)","(63.330562914532024, 10.077933803359993)","(63.32997047617186, 10.080749508951198)"
103,7.999951124191284,"(63.3294720028901, 10.080104358473882)","(63.330562914532024, 10.077940487867602)","(63.329973149974904, 10.080747026134086)"
104,8.076426029205322,"(63.329474867679075, 10.080106459319131)","(63.330562914532024, 10.077947172375213)","(63.32997582377795, 10.080744543316975)"
105,8.685338020324707,"(63.32947773246805, 10.080108560164378)","(63.330562914532024, 10.077953856882823)","(63.329978497580996, 10.080742060499862)"
106,8.999706029891968,"(63.329480597257024, 10.080110661009627)","(63.330562914532024, 10.077960541390434)","(63.32998136236997, 10.080739577682749)"
107,9.07627010345459,"(63.329483462046, 10.080112761854876)","(63.330562914532024, 10.077967225898044)","(63.329984227158945, 10.080737094865638)"
108,9.685264110565186,"(63.329486326834974, 10.080114862700125)","(63.330562914532024, 10.077973910405653)","(63.32998709194792, 10.080734612048525)"
109,9.999701023101807,"(63.32948919162395, 10.080116963545374)","(63.330562914532024, 10.077980594913264)","(63.329989765750966, 10.080732320217345)"
110,10.077178001403809,"(63.329492056412924, 10.080119064390622)","(63.330562914532024, 10.077987279420872)","(63.329992439554005, 10.080730028386164)"
111,10.685281038284302,"(63.3294949212019, 10.080121165235871)","(63.330562914532024, 10.077993963928483)","(63.32999511335705, 10.080727736554984)"
112,10.99952507019043,"(63.329497785990874, 10.08012326608112)","(63.330562914532024, 10.078000648436092)","(63.329997978146025, 10.080725444723804)"
