,time,asv_1,asv_2,asv_3,asv_4,asv_5,asv_6
135,0.0,"(63.32828139659181, 10.082945656179934)","(63.329241291884586, 10.082738245458097)","(63.32863806281928, 10.085334699199699)","(63.33059270833737, 10.088121088450386)","(63.333075334463665, 10.082803944618606)","(63.33264131893385, 10.080041619595313)"
136,0.0024690628051757812,"(63.32828273349334, 10.082947088574421)","(63.32924205582832, 10.082738245458097)","(63.32863949521377, 10.085333362298178)","(63.33059270833737, 10.08811774619658)","(63.333073902069174, 10.082803276167844)","(63.3326400775253, 10.080043433961665)"
137,0.27103304862976074,"(63.32828407039486, 10.08294852096891)","(63.32924281977204, 10.082738245458097)","(63.32864092760826, 10.085332025396657)","(63.33059270833737, 10.08811430844981)","(63.33307246967469, 10.082802607717085)","(63.33263883611674, 10.080045248328016)"
138,0.4001200199127197,"(63.32828540729638, 10.082949953363398)","(63.3292434882228, 10.082738245458097)","(63.328642360002746, 10.085330688495134)","(63.33059270833737, 10.088110870703039)","(63.333071037280206, 10.082801939266323)","(63.33263759470819, 10.080047062694367)"
139,0.6468369960784912,"(63.328286744197904, 10.082951385757886)","(63.32924415667356, 10.082738245458097)","(63.32864379239723, 10.08532935159361)","(63.33059270833737, 10.088107432956269)","(63.333069604885715, 10.082801270815562)","(63.3326364487926, 10.080048877060719)"
140,0.871143102645874,"(63.32828808109943, 10.082952818152375)","(63.32924482512432, 10.082738245458097)","(63.32864522479172, 10.08532801469209)","(63.33059270833737, 10.088103995209499)","(63.333068172491224, 10.0828006023648)","(63.33263530287701, 10.08005069142707)"
141,1.0000441074371338,"(63.32828941800095, 10.082954250546862)","(63.32924549357509, 10.082738245458097)","(63.32864656169325, 10.085326773283533)","(63.33059270833737, 10.088100557462727)","(63.33306674009674, 10.082799933914039)","(63.33263415696142, 10.080052505793422)"
142,1.002485990524292,"(63.32829075490247, 10.082955778434316)","(63.329246162025846, 10.082738245458097)","(63.32864789859477, 10.085325531874977)","(63.33059270833737, 10.088097119715957)","(63.333065307702256, 10.08279926546328)","(63.332633011045836, 10.080054320159773)"
143,1.2708289623260498,"(63.328292091803995, 10.08295730632177)","(63.329246830476606, 10.082738245458097)","(63.328649235496286, 10.08532429046642)","(63.33059270833737, 10.088093777462152)","(63.333063875307765, 10.082798597012518)","(63.332631865130246, 10.080056134526124)"
144,1.400080919265747,"(63.328293428705514, 10.082958834209222)","(63.32924759442033, 10.082738245458097)","(63.32865057239781, 10.085323049057866)","(63.33059270833737, 10.088090435208347)","(63.333062442913274, 10.082797928561757)","(63.332630719214656, 10.080057948892476)"
145,1.6467499732971191,"(63.32829476560703, 10.082960362096676)","(63.32924835836406, 10.082738245458097)","(63.32865190929934, 10.08532180764931)","(63.33059270833737, 10.088087092954542)","(63.33306101051879, 10.082797260110995)","(63.332629573299066, 10.080060049737725)"
146,1.8711490631103516,"(63.32829610250856, 10.08296188998413)","(63.329249122307786, 10.082738245458097)","(63.32865324620086, 10.085320566240753)","(63.33059270833737, 10.088083750700738)","(63.333059578124306, 10.082796305181336)","(63.33262842738347, 10.080062150582974)"
147,2.0000839233398438,"(63.32829743941008, 10.082963417871584)","(63.32924988625151, 10.082738245458097)","(63.32865477408831, 10.085319420325163)","(63.33059270833737, 10.088080408446933)","(63.333058145729815, 10.082795350251677)","(63.33262728146788, 10.080064251428222)"
148,2.0028719902038574,"(63.3282987763116, 10.082964945759038)","(63.32925065019524, 10.082738245458097)","(63.32865630197576, 10.085318274409572)","(63.33059270833737, 10.088077066193128)","(63.333056713335324, 10.082794395322018)","(63.33262613555229, 10.080066352273471)"
149,2.2707769870758057,"(63.32830011321312, 10.082966473646492)","(63.329251414138966, 10.082738245458097)","(63.32865782986322, 10.085317128493982)","(63.33059270833737, 10.088073628446356)","(63.33305528094084, 10.082793440392361)","(63.33262498963669, 10.08006845311872)"
150,2.4000771045684814,"(63.32830145011464, 10.082968001533946)","(63.3292521780827, 10.082738245458097)","(63.32865935775067, 10.085315982578392)","(63.33059270833737, 10.088070190699586)","(63.333053848546356, 10.082792485462702)","(63.3326238437211, 10.080070553963969)"
151,2.6464951038360596,"(63.32830278701616, 10.082969529421398)","(63.32925294202642, 10.082738245458097)","(63.328660885638115, 10.0853148366628)","(63.33059270833737, 10.088066752952816)","(63.333052416151865, 10.082791530533044)","(63.332622793298476, 10.080072463823287)"
152,2.8711869716644287,"(63.32830412391768, 10.082971057308852)","(63.329253705970146, 10.082738245458097)","(63.32866241352557, 10.08531369074721)","(63.33059270833737, 10.088063315206044)","(63.333050983757374, 10.082790575603385)","(63.33262174287585, 10.080074373682603)"
153,3.0000998973846436,"(63.3283054608192, 10.082972585196305)","(63.32925446991388, 10.082738245458097)","(63.32866384592006, 10.08531254483162)","(63.33059270833737, 10.088059877459273)","(63.33304955136289, 10.082789620673728)","(63.33262069245323, 10.08007628354192)"
154,3.0024499893188477,"(63.32830679772073, 10.082974208576726)","(63.32925523385761, 10.082738245458097)","(63.328665278314546, 10.08531139891603)","(63.33059270833737, 10.088056439712503)","(63.33304811896841, 10.082788665744069)","(63.33261964203061, 10.080078193401238)"
155,3.2708051204681396,"(63.32830813462225, 10.082975831957144)","(63.32925599780133, 10.082738245458097)","(63.32866671070904, 10.08531025300044)","(63.33059270833737, 10.088053097458697)","(63.333046686573915, 10.08278771081441)","(63.33261859160798, 10.080080103260554)"
156,3.400099992752075,"(63.32830947152377, 10.082977455337565)","(63.32925666625209, 10.082738245458097)","(63.32866814310353, 10.08530910708485)","(63.33059270833737, 10.088049755204892)","(63.333045254179424, 10.082786755884753)","(63.33261754118536, 10.080082013119872)"
157,3.6464619636535645,"(63.32831080842529, 10.082979078717985)","(63.32925733470285, 10.082738245458097)","(63.32866957549801, 10.08530796116926)","(63.33059270833737, 10.088046412951087)","(63.33304382178494, 10.082785800955094)","(63.33261639526977, 10.080084018472155)"
