,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1710884433.350911, caravela,7,111,59,6,
1,1710884438.450853, caravela,7,111,22,5,5.099942207336426
2,1710884443.601561, caravela,7,111,25,7,5.150707960128784
3,1710884447.800847, caravela,7,111,23,4,4.199285984039307
4,1710884454.952568, caravela,7,111,31,9,7.151721000671387
5,1710884460.150982, caravela,7,111,27,5,5.198413848876953
6,1710884463.30082, caravela,7,111,19,3,3.1498382091522217
7,1710884467.350991, caravela,7,111,28,5,4.0501708984375
8,1710884471.450836, caravela,7,111,28,4,4.099844932556152
9,1710884475.550846, caravela,7,111,26,4,4.10001015663147
10,1710884482.700935, caravela,7,111,46,7,7.150088787078857
11,1710884490.900783, caravela,7,111,56,12,8.199848175048828
12,1710884493.95095, caravela,7,111,21,3,3.0501668453216553
13,1710884497.050933, caravela,7,111,21,3,3.099982976913452
14,1710884500.1009, caravela,7,111,21,3,3.049967050552368
15,1710884504.15076, caravela,7,111,26,4,4.049860000610352
16,1710884508.200898, caravela,7,111,34,5,4.050137996673584
17,1710884513.351151, caravela,7,111,50,5,5.150253057479858
18,1710884521.700976, caravela,7,111,74,8,8.349824905395508
19,1710884525.801117, caravela,7,111,28,4,4.1001410484313965
20,1710884530.851057, caravela,7,111,35,5,5.04994010925293
21,1710884533.950834, caravela,7,111,26,3,3.0997769832611084
22,1710884537.001049, caravela,7,111,22,3,3.050215005874634
23,1710884540.051015, caravela,7,111,26,3,3.0499658584594727
24,1710884543.151107, caravela,7,111,28,3,3.1000921726226807
25,1710884550.354244, caravela,7,111,56,9,7.203136920928955
26,1710884554.501651, caravela,7,111,36,5,4.147407054901123
27,1710884558.651012, caravela,7,111,34,5,4.14936089515686
28,1710884564.851006, caravela,7,111,51,6,6.199994087219238
29,1710884570.001115, caravela,7,111,46,6,5.150109052658081
30,1710884574.151087, caravela,7,111,28,4,4.149971961975098
31,1710884578.300857, caravela,7,111,28,4,4.149770021438599
32,1710884583.450905, caravela,7,111,36,5,5.150048017501831
33,1710884590.650937, caravela,7,111,50,8,7.200031995773315
34,1710884595.850944, caravela,7,111,36,5,5.20000696182251
35,1710884598.900966, caravela,7,111,22,3,3.0500218868255615
36,1710884607.200882, caravela,7,111,60,11,8.29991602897644
37,1710884612.450901, caravela,7,111,36,7,5.250019073486328
38,1710884615.500844, caravela,7,111,21,3,3.049942970275879
39,1710884621.600859, caravela,7,111,42,9,6.100014925003052
40,1710884626.751058, caravela,7,111,35,5,5.1501991748809814
41,1710884630.901016, caravela,7,111,28,4,4.149957895278931
42,1710884637.051017, caravela,7,111,44,6,6.150001049041748
43,1710884643.200965, caravela,7,111,44,7,6.149947881698608
44,1710884648.403622, caravela,7,111,37,5,5.202656984329224
45,1710884656.553948, caravela,7,111,56,8,8.150326013565063
46,1710884659.65081, caravela,7,111,21,3,3.0968620777130127
47,1710884663.750888, caravela,7,111,28,4,4.100078105926514
48,1710884666.800942, caravela,7,111,21,3,3.050053834915161
49,1710884670.950875, caravela,7,111,31,4,4.149933099746704
50,1710884675.050892, caravela,7,111,28,4,4.100017070770264
51,1710884679.200839, caravela,7,111,28,4,4.149946928024292
52,1710884686.400942, caravela,7,111,53,11,7.200103044509888
53,1710884691.550795, caravela,7,111,38,5,5.149852991104126
54,1710884695.651091, caravela,7,111,28,4,4.1002960205078125
55,1710884703.901003, caravela,7,111,56,8,8.249911785125732
56,1710884709.051452, caravela,7,111,35,5,5.15044903755188
57,1710884713.153745, caravela,7,111,28,4,4.102293014526367
58,1710884722.401034, caravela,7,111,64,13,9.247289180755615
59,1710884726.551043, caravela,7,111,29,4,4.150008916854858
60,1710884729.650946, caravela,7,111,21,3,3.099902868270874
61,1710884735.750991, caravela,7,111,45,6,6.100045204162598
62,1710884741.950953, caravela,7,111,48,7,6.19996190071106
63,1710884745.00095, caravela,7,111,21,3,3.049997091293335
64,1710884751.200793, caravela,7,111,40,9,6.199842929840088
65,1710884756.400905, caravela,7,111,25,7,5.2001118659973145
66,1710884759.500978, caravela,7,111,15,3,3.1000730991363525
67,1710884763.550912, caravela,7,111,17,5,4.049933910369873
68,1710884768.650989, caravela,7,111,15,7,5.100077152252197
69,1710884771.751256, caravela,7,111,9,3,3.100266933441162
70,1710884775.850969, caravela,7,111,12,4,4.099713087081909
71,1710884783.100981, caravela,7,111,21,10,7.250011920928955
72,1710884787.25288, caravela,7,111,12,4,4.151899099349976
73,1710884790.350874, caravela,7,111,9,3,3.097993850708008
74,1710884795.450892, caravela,7,111,17,6,5.10001802444458
75,1710884800.550896, caravela,7,111,16,7,5.100003957748413
76,1710884804.60092, caravela,7,111,16,4,4.050024032592773
77,1710884813.850773, caravela,7,111,40,13,9.249853134155273
78,1710884819.000851, caravela,7,111,19,7,5.150077819824219
79,1710884824.101053, caravela,7,111,15,5,5.1002020835876465
80,1710884830.30103, caravela,7,111,5,4,6.199976921081543
81,1710884835.501032, caravela,7,111,17,6,5.200002193450928
82,1710884838.550839, caravela,7,111,10,3,3.049806833267212
83,1710884846.750909, caravela,7,111,24,8,8.200070142745972
84,1710884849.800935, caravela,7,111,9,3,3.0500259399414062
0,1710884410.52887, caravela-3,7,113,7,4,
1,1710884413.57887, caravela-3,7,113,9,3,3.049999952316284
2,1710884416.628963, caravela-3,7,113,9,3,3.050092935562134
3,1710884427.029994, caravela-3,7,113,30,10,10.401031017303467
4,1710884433.179121, caravela-3,7,113,24,7,6.149127006530762
5,1710884439.37902, caravela-3,7,113,25,7,6.199898958206177
6,1710884442.479125, caravela-3,7,113,15,3,3.100105047225952
7,1710884446.628939, caravela-3,7,113,14,4,4.149813890457153
8,1710884450.728912, caravela-3,7,113,14,5,4.099973201751709
9,1710884454.828868, caravela-3,7,113,12,5,4.099955797195435
10,1710884458.979128, caravela-3,7,113,20,5,4.150259971618652
11,1710884463.128844, caravela-3,7,113,22,4,4.149716138839722
12,1710884466.178897, caravela-3,7,113,18,3,3.0500528812408447
13,1710884470.278882, caravela-3,7,113,24,4,4.099985122680664
14,1710884474.328868, caravela-3,7,113,20,5,4.049985885620117
15,1710884478.480021, caravela-3,7,113,24,4,4.151153087615967
16,1710884484.578909, caravela-3,7,113,36,7,6.098887920379639
17,1710884488.679136, caravela-3,7,113,24,4,4.100227117538452
18,1710884491.779132, caravela-3,7,113,22,3,3.0999958515167236
19,1710884496.878933, caravela-3,7,113,30,5,5.099801063537598
20,1710884504.986087, caravela-3,7,113,48,12,8.107154130935669
21,1710884510.128884, caravela-3,7,113,38,7,5.142796993255615
22,1710884514.279039, caravela-3,7,113,36,4,4.1501548290252686
23,1710884517.378878, caravela-3,7,113,22,3,3.099839210510254
24,1710884520.428968, caravela-3,7,113,22,3,3.0500898361206055
25,1710884524.5289, caravela-3,7,113,24,4,4.099931955337524
26,1710884528.529581, caravela-3,7,113,24,4,4.000681161880493
27,1710884532.628972, caravela-3,7,113,28,4,4.099390983581543
28,1710884535.678951, caravela-3,7,113,19,3,3.0499789714813232
29,1710884538.729148, caravela-3,7,113,22,3,3.050196886062622
30,1710884544.928857, caravela-3,7,113,43,7,6.199709177017212
31,1710884548.978998, caravela-3,7,113,26,4,4.050140857696533
32,1710884553.128974, caravela-3,7,113,28,4,4.149976015090942
33,1710884557.278912, caravela-3,7,113,28,4,4.149938106536865
34,1710884563.479042, caravela-3,7,113,42,9,6.200129985809326
