time, system, entity , mmsi, msg_in, msg_out,iter_time
1709503904.72907, caravela,7,111,16,11,
1709503908.82859, caravela,7,111,12,5,4.09951305389404
1709503912.98221, caravela,7,111,15,4,4.15362000465393
1709503917.12842, caravela,7,111,12,5,4.14621686935425
1709503921.17883, caravela,7,111,12,4,4.05040097236633
1709503931.47846, caravela,7,111,27,13,10.2996380329132
1709503935.6305, caravela,7,111,15,4,4.15203714370728
1709503943.98122, caravela,7,111,24,8,8.35071897506714
1709503949.07862, caravela,7,111,15,6,5.09739804267883
1709503958.32945, caravela,7,111,24,13,9.25083589553833
1709503966.58167, caravela,7,111,27,13,8.25222110748291
1709503975.87851, caravela,7,111,27,12,9.29683899879456
1709503980.93064, caravela,7,111,12,7,5.05212497711182
1709503985.07848, caravela,7,111,12,4,4.1478419303894
1709503989.17998, caravela,7,111,12,5,4.10150289535522
1709503902.30376, caravela-2,7,112,14,8,
1709503906.3977, caravela-2,7,112,8,4,4.0939359664917
1709503911.49681, caravela-2,7,112,9,5,5.09910988807678
1709503915.64777, caravela-2,7,112,8,4,4.15095996856689
1709503919.69687, caravela-2,7,112,8,4,4.04910206794739
1709503923.84738, caravela-2,7,112,8,4,4.15051007270813
1709503930.04752, caravela-2,7,112,12,6,6.20013403892517
1709503933.14717, caravela-2,7,112,6,3,3.09965181350708
1709503936.24739, caravela-2,7,112,6,3,3.10021996498108
1709503939.34755, caravela-2,7,112,6,3,3.1001660823822
1709503942.44739, caravela-2,7,112,6,3,3.09983897209167
1709503947.59766, caravela-2,7,112,10,5,5.15027117729187
1709503978.59683, caravela-2,7,112,61,30,30.9991669654846
1709503981.64673, caravela-2,7,112,6,3,3.04989790916443
1709503986.84783, caravela-2,7,112,10,5,5.20110201835632
1709723063.2249, caravela,7,111,5,3,
1709723067.27565, caravela,7,111,13,5,4.05074501037598
1709723072.42502, caravela,7,111,15,7,5.14936995506287
1709723078.57506, caravela,7,111,18,9,6.15004301071167
1709723081.62578, caravela,7,111,9,3,3.05071997642517
1709723088.87502, caravela,7,111,18,8,7.24923491477966
1709723094.07514, caravela,7,111,15,5,5.20012402534485
1709723097.12526, caravela,7,111,9,3,3.05012392997742
1709723100.17515, caravela,7,111,9,3,3.04988622665405
1709723106.32564, caravela,7,111,18,6,6.1504909992218
1709723109.42518, caravela,7,111,9,3,3.09953379631042
1709723114.57501, caravela,7,111,15,7,5.14983201026917
1709723117.62664, caravela,7,111,9,3,3.05163097381592
1709723121.72517, caravela,7,111,12,4,4.09852719306946
1709723131.02514, caravela,7,111,27,9,9.29997396469116
1709723139.27476, caravela,7,111,24,13,8.24961686134338
1709723147.47526, caravela,7,111,24,12,8.2005021572113
1709723150.52926, caravela,7,111,9,3,3.05400204658508
1709723060.55579, caravela-2,7,112,4,3,
1709723065.75554, caravela-2,7,112,10,5,5.19974589347839
1709723070.90566, caravela-2,7,112,10,5,5.15011501312256
1709723076.05576, caravela-2,7,112,10,5,5.15010404586792
1709723079.11058, caravela-2,7,112,6,3,3.0548210144043
1709723083.3056, caravela-2,7,112,8,4,4.19501805305481
1709723086.40549, caravela-2,7,112,7,3,3.09988689422607
1709723090.5558, caravela-2,7,112,8,5,4.15031409263611
1709723093.60558, caravela-2,7,112,5,3,3.04978394508362
1709723096.70565, caravela-2,7,112,7,3,3.10006904602051
1709723102.85575, caravela-2,7,112,12,8,6.15009999275208
1709723105.9578, caravela-2,7,112,6,3,3.1020450592041
1709723112.15555, caravela-2,7,112,12,6,6.19775605201721
1709723115.15637, caravela-2,7,112,6,3,3.00081396102905
1709723119.25678, caravela-2,7,112,8,4,4.10041689872742
1709723127.60625, caravela-2,7,112,16,13,8.34946298599243
1709723148.10567, caravela-2,7,112,40,20,20.4994230270386
1709723151.20588, caravela-2,7,112,5,3,3.1002140045166
1709728910.12459, caravela,7,111,5,3,
1709728914.32443, caravela,7,111,13,5,4.19983100891113
1709728917.42475, caravela,7,111,11,3,3.10031914710999
1709728921.52484, caravela,7,111,14,5,4.10009098052979
1709728928.67435, caravela,7,111,23,11,7.14951300621033
1709728937.97795, caravela,7,111,29,12,9.30359697341919
1709728943.12501, caravela,7,111,15,7,5.14706707000732
1709728947.27439, caravela,7,111,12,4,4.1493718624115
1709728951.42433, caravela,7,111,12,5,4.14994192123413
1709728954.42461, caravela,7,111,9,3,3.00028705596924
1709728958.52424, caravela,7,111,12,4,4.09962916374207
1709728964.62498, caravela,7,111,15,8,6.10073280334473
1709728967.67464, caravela,7,111,8,3,3.04966115951538
1709728973.8744, caravela,7,111,18,9,6.19976592063904
1709728976.92431, caravela,7,111,9,3,3.04991102218628
1709728980.02503, caravela,7,111,9,3,3.10071301460266
1709728983.12421, caravela,7,111,9,3,3.09918284416199
1709728988.22438, caravela,7,111,15,6,5.10017108917236
1709728994.37416, caravela,7,111,18,9,6.14977812767029
1709728998.47424, caravela,7,111,10,4,4.10007882118225
1709729001.57418, caravela,7,111,6,3,3.09994602203369
1709729004.62455, caravela,7,111,9,3,3.05036401748657
1709728908.39536, caravela-2,7,112,6,4,
1709728912.49524, caravela-2,7,112,10,4,4.09988594055176
1709728915.6453, caravela-2,7,112,8,3,3.15005803108215
1709728919.74521, caravela-2,7,112,10,4,4.09991097450256
1709728926.89668, caravela-2,7,112,15,7,7.15147304534912
1709728931.09521, caravela-2,7,112,10,4,4.19852304458618
1709728937.29544, caravela-2,7,112,12,6,6.2002329826355
1709728941.44675, caravela-2,7,112,8,4,4.15130805969238
1709728944.49551, caravela-2,7,112,6,3,3.04876494407654
1709728949.69575, caravela-2,7,112,10,5,5.20023608207703
1709728952.74638, caravela-2,7,112,6,3,3.05063199996948
1709728955.84572, caravela-2,7,112,6,3,3.09934401512146
1709728958.9452, caravela-2,7,112,6,3,3.09947180747986
1709728963.00035, caravela-2,7,112,8,4,4.05515313148499
1709728966.0984, caravela-2,7,112,6,3,3.09804606437683
1709728972.29565, caravela-2,7,112,12,6,6.19724988937378
1709728975.34534, caravela-2,7,112,6,3,3.04969596862793
1709728978.39819, caravela-2,7,112,6,3,3.05285096168518
1709728981.54587, caravela-2,7,112,6,3,3.14767813682556
1709728986.69533, caravela-2,7,112,10,5,5.14945983886719
1709728992.89501, caravela-2,7,112,12,6,6.19968008995056
1709728995.89551, caravela-2,7,112,6,3,3.0005030632019
1709728998.99514, caravela-2,7,112,6,3,3.09962797164917
1709729003.14507, caravela-2,7,112,8,4,4.14993190765381
1710838157.44227, caravela,7,111,6,3,
1710838162.59252, caravela,7,111,15,6,5.15025591850281
1710838170.89061, caravela,7,111,24,12,8.29808902740479
1710838176.9909, caravela,7,111,18,8,6.10029411315918
1710838182.14281, caravela,7,111,15,7,5.15190100669861
1710838186.29047, caravela,7,111,12,4,4.14766383171082
1710838189.34091, caravela,7,111,9,3,3.05043697357178
1710838194.49087, caravela,7,111,15,5,5.14996814727783
1710838197.59101, caravela,7,111,9,3,3.10013198852539
1710838203.74031, caravela,7,111,18,7,6.14930105209351
1710838207.89289, caravela,7,111,12,5,4.15258693695068
1710838214.09095, caravela,7,111,18,8,6.19805788993835
1710838218.1908, caravela,7,111,12,5,4.09984517097473
1710838221.29067, caravela,7,111,9,3,3.09986996650696
1710838225.44081, caravela,7,111,12,4,4.150141954422
1710838229.54145, caravela,7,111,12,4,4.10063791275024
1710838233.69084, caravela,7,111,12,4,4.14938902854919
1710838236.79079, caravela,7,111,9,3,3.09995293617249
1710838242.94073, caravela,7,111,18,7,6.14994215965271
1710838247.09054, caravela,7,111,12,5,4.14980983734131
1710838250.14306, caravela,7,111,9,3,3.05251908302307
1710838130.22014, caravela-2,7,112,6,4,
1710838135.32049, caravela-2,7,112,10,5,5.10034489631653
1710838143.57009, caravela-2,7,112,16,8,8.24960207939148
1710838149.77039, caravela-2,7,112,12,6,6.20029592514038
1710838154.91953, caravela-2,7,112,10,5,5.14914798736572
1710838158.02005, caravela-2,7,112,6,3,3.10051202774048
1710838161.1197, caravela-2,7,112,6,3,3.09965515136719
1710838166.22007, caravela-2,7,112,10,6,5.10037088394165
1710838169.32003, caravela-2,7,112,6,3,3.09996008872986
1710838176.47032, caravela-2,7,112,14,7,7.15028500556946
1710838180.52006, caravela-2,7,112,8,4,4.0497419834137
1710838186.6697, caravela-2,7,112,12,6,6.14963793754578
1710838190.8751, caravela-2,7,112,8,4,4.20540404319763
1710838193.96989, caravela-2,7,112,6,3,3.09479188919067
1710838198.01972, caravela-2,7,112,8,4,4.04982900619507
1710838201.1201, caravela-2,7,112,6,3,3.10038113594055
1710838205.26959, caravela-2,7,112,8,4,4.14948701858521
1710838209.36974, caravela-2,7,112,8,4,4.10014796257019
1710838215.56956, caravela-2,7,112,12,6,6.19981789588928
1710838219.77005, caravela-2,7,112,8,4,4.20049715042114
1710838222.81965, caravela-2,7,112,6,3,3.04959797859192
1710838518.16815, caravela,7,111,5,3,
1710838522.26723, caravela,7,111,12,4,4.09907793998718
1710838528.36831, caravela,7,111,19,6,6.1010799407959
1710838531.4181, caravela,7,111,10,3,3.04978919029236
1710838537.61751, caravela,7,111,19,6,6.19940996170044
1710838542.71762, caravela,7,111,16,5,5.10011386871338
1710838545.81761, caravela,7,111,9,3,3.09998202323914
1710838548.91769, caravela,7,111,9,3,3.10008192062378
1710838555.06821, caravela,7,111,21,6,6.15052008628845
1710838558.21756, caravela,7,111,12,3,3.14934992790222
1710838567.41763, caravela,7,111,29,12,9.20007610321045
1710838575.66739, caravela,7,111,27,12,8.24975609779358
1710838583.81793, caravela,7,111,26,13,8.15053677558899
1710838593.1675, caravela,7,111,28,13,9.34957718849182
1710838598.26749, caravela,7,111,15,5,5.09998893737793
1710838601.3679, caravela,7,111,9,3,3.10040497779846
1710838604.41758, caravela,7,111,9,3,3.04968595504761
1710838608.4677, caravela,7,111,12,5,4.05012011528015
1710838516.22843, caravela-2,7,112,6,4,
1710838519.27828, caravela-2,7,112,6,3,3.04985499382019
1710838525.52862, caravela-2,7,112,12,7,6.25033402442932
1710838528.5798, caravela-2,7,112,7,3,3.05118203163147
1710838534.67953, caravela-2,7,112,14,6,6.09973311424255
1710838539.82913, caravela-2,7,112,10,6,5.14959692955017
1710838542.92903, caravela-2,7,112,7,3,3.09990191459656
1710838546.02876, caravela-2,7,112,6,3,3.09973096847534
1710838552.17926, caravela-2,7,112,15,9,6.15049910545349
1710838555.32947, caravela-2,7,112,8,3,3.15020990371704
1710838560.47856, caravela-2,7,112,11,5,5.14908719062805
1710838565.57839, caravela-2,7,112,12,5,5.09983777999878
1710838573.77995, caravela-2,7,112,19,8,8.20155310630798
1710838596.3285, caravela-2,7,112,47,22,22.548553943634
1710838599.42844, caravela-2,7,112,6,3,3.09993600845337
1710838602.47823, caravela-2,7,112,6,3,3.04979300498962
1710838606.57828, caravela-2,7,112,8,4,4.10004806518555
