,time,asv_1,asv_2
63,0.0,"(63.32942272851971, 10.079846527466072)","(63.33132265656837, 10.079856840706384)"
64,0.6037728786468506,"(63.32942702570317, 10.079846527466072)","(63.33131807290601, 10.079856840706384)"
65,0.9999778270721436,"(63.329431322886634, 10.079846527466072)","(63.33131348924364, 10.079856554227486)"
66,1.6030828952789307,"(63.329435906549, 10.07984681394497)","(63.33130890558128, 10.079856267748589)"
67,1.999985933303833,"(63.32944049021137, 10.079847100423867)","(63.33130432191892, 10.079856267748589)"
68,2.6037259101867676,"(63.32944507387373, 10.079847100423867)","(63.33129973825656, 10.079856267748589)"
69,2.999958038330078,"(63.32944965753608, 10.079847100423867)","(63.331295441073095, 10.079856267748589)"
70,3.603126049041748,"(63.32945424119844, 10.079847100423867)","(63.331291143889636, 10.079856267748589)"
71,3.99932599067688,"(63.3294588248608, 10.079847100423867)","(63.33128656022727, 10.079856267748589)"
72,4.60393500328064,"(63.32946340852317, 10.079847100423867)","(63.33128197656491, 10.079856267748589)"
73,4.999311923980713,"(63.32946799218553, 10.079847100423867)","(63.33127739290255, 10.079856267748589)"
74,5.603119850158691,"(63.329472289368994, 10.079847100423867)","(63.33127280924019, 10.079856267748589)"
75,5.999253034591675,"(63.32947658655245, 10.079847100423867)","(63.33126822557783, 10.079856267748589)"
76,6.604087829589844,"(63.32948117021481, 10.079847386902765)","(63.33126364191547, 10.079856267748589)"
77,7.003572940826416,"(63.32948575387717, 10.079847673381662)","(63.331259344732004, 10.079856267748589)"
78,7.603179931640625,"(63.32949033753954, 10.079847673381662)","(63.33125504754853, 10.079856267748589)"
79,7.999430894851685,"(63.329494921201906, 10.079847673381662)","(63.33125046388618, 10.079856267748589)"
80,8.603663921356201,"(63.32949950486426, 10.079847673381662)","(63.33124588022382, 10.079856267748589)"
81,9.00031590461731,"(63.32950408852662, 10.079847673381662)","(63.33124129656146, 10.079856267748589)"
82,9.6044340133667,"(63.329508385710085, 10.079847673381662)","(63.3312367128991, 10.079856267748589)"
83,10.000635862350464,"(63.329512682893544, 10.079847673381662)","(63.33123241571563, 10.079856267748589)"
84,10.603929042816162,"(63.32951726655591, 10.07984795986056)","(63.331228118532174, 10.079856267748589)"
85,11.000553846359253,"(63.32952185021828, 10.079848246339457)","(63.33122353486981, 10.079855981269692)"
86,11.604240894317627,"(63.32952643388063, 10.079848246339457)","(63.33121895120745, 10.079855694790796)"
87,12.008376836776733,"(63.32953101754299, 10.079848246339457)","(63.33121436754509, 10.079855694790796)"
88,12.60406494140625,"(63.32953560120535, 10.079848246339457)","(63.33120978388273, 10.079855694790796)"
89,13.000224828720093,"(63.32954018486771, 10.079848246339457)","(63.33120520022037, 10.079855694790796)"
90,13.603057861328125,"(63.329544482051176, 10.079848246339457)","(63.331200616558, 10.079855694790796)"
