,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1710842896.233345, caravela,7,111,11,4,
1,1710842899.283411, caravela,7,111,9,3,3.0500659942626953
2,1710842902.283541, caravela,7,111,9,3,3.0001299381256104
3,1710842906.383368, caravela,7,111,12,4,4.09982705116272
4,1710842910.435123, caravela,7,111,12,4,4.051754951477051
5,1710842917.533734, caravela,7,111,21,7,7.098611116409302
6,1710842920.584238, caravela,7,111,9,3,3.050503969192505
7,1710842924.683467, caravela,7,111,12,5,4.099228858947754
8,1710842927.734382, caravela,7,111,5,3,3.050915002822876
9,1710842931.834288, caravela,7,111,11,5,4.099905967712402
10,1710842936.307401, caravela,7,111,10,4,4.473113059997559
11,1710842941.434154, caravela,7,111,17,5,5.126753091812134
12,1710842945.533606, caravela,7,111,12,5,4.099452018737793
13,1710842950.633351, caravela,7,111,15,7,5.099745035171509
14,1710842954.68458, caravela,7,111,9,4,4.051229000091553
15,1710842958.833334, caravela,7,111,13,5,4.148753881454468
16,1710842966.983475, caravela,7,111,24,12,8.15014100074768
17,1710842970.084822, caravela,7,111,9,3,3.101346969604492
18,1710842974.136014, caravela,7,111,12,5,4.051192045211792
19,1710842977.233573, caravela,7,111,9,3,3.0975589752197266
20,1710842982.333547, caravela,7,111,15,6,5.099974155426025
21,1710842988.484395, caravela,7,111,18,7,6.150847911834717
22,1710842991.584181, caravela,7,111,7,3,3.0997860431671143
23,1710842996.683648, caravela,7,111,12,5,5.099467039108276
24,1710842999.734736, caravela,7,111,9,3,3.0510878562927246
25,1710843002.833371, caravela,7,111,9,3,3.098634958267212
26,1710843009.983739, caravela,7,111,18,8,7.150367975234985
27,1710843015.083453, caravela,7,111,15,6,5.099714040756226
28,1710843019.183693, caravela,7,111,12,4,4.100239992141724
29,1710843022.333452, caravela,7,111,9,3,3.14975905418396
30,1710843026.434451, caravela,7,111,12,4,4.100999116897583
31,1710843034.733318, caravela,7,111,24,13,8.298866987228394
32,1710843041.934182, caravela,7,111,24,10,7.200863838195801
33,1710843051.284556, caravela,7,111,27,9,9.350373983383179
34,1710843054.334748, caravela,7,111,9,3,3.05019211769104
35,1710843058.433409, caravela,7,111,12,4,4.098660945892334
36,1710843063.583446, caravela,7,111,15,5,5.150037050247192
37,1710843072.783333, caravela,7,111,24,13,9.199887037277222
38,1710843075.834642, caravela,7,111,9,3,3.0513088703155518
39,1710843081.034304, caravela,7,111,15,6,5.19966197013855
40,1710843088.233959, caravela,7,111,21,10,7.199655055999756
41,1710843092.283386, caravela,7,111,12,4,4.049427032470703
42,1710843095.383354, caravela,7,111,9,3,3.0999679565429688
43,1710843098.433455, caravela,7,111,9,3,3.0501010417938232
44,1710843104.634707, caravela,7,111,18,6,6.201251983642578
45,1710843107.683479, caravela,7,111,9,3,3.048772096633911
46,1710843110.738532, caravela,7,111,9,3,3.0550529956817627
47,1710843118.933854, caravela,7,111,24,8,8.195322036743164
48,1710843127.28364, caravela,7,111,24,13,8.349785804748535
49,1710843131.38341, caravela,7,111,12,5,4.0997700691223145
50,1710843140.633857, caravela,7,111,27,9,9.250447034835815
51,1710843148.883521, caravela,7,111,24,13,8.249664068222046
52,1710843158.234715, caravela,7,111,27,12,9.351193904876709
53,1710843166.434647, caravela,7,111,24,13,8.199932098388672
54,1710843176.733259, caravela,7,111,30,13,10.298611879348755
0,1710842889.568528, caravela-2,7,112,7,6,
1,1710842893.716844, caravela-2,7,112,8,4,4.148316144943237
2,1710842896.766697, caravela-2,7,112,6,3,3.0498528480529785
3,1710842899.866509, caravela-2,7,112,6,3,3.0998120307922363
4,1710842903.96633, caravela-2,7,112,8,4,4.099821090698242
5,1710842907.016788, caravela-2,7,112,6,3,3.0504579544067383
6,1710842911.066616, caravela-2,7,112,8,4,4.049828052520752
7,1710842915.11668, caravela-2,7,112,8,4,4.050063848495483
8,1710842919.168942, caravela-2,7,112,8,4,4.0522620677948
9,1710842922.217155, caravela-2,7,112,6,3,3.048213005065918
10,1710842926.366623, caravela-2,7,112,8,4,4.149467945098877
11,1710842930.866255, caravela-2,7,112,8,4,4.499632120132446
12,1710842936.016505, caravela-2,7,112,10,5,5.15024995803833
13,1710842940.066868, caravela-2,7,112,8,4,4.050363063812256
14,1710842945.216709, caravela-2,7,112,10,5,5.149840831756592
15,1710842948.366833, caravela-2,7,112,7,3,3.1501240730285645
16,1710842953.066555, caravela-2,7,112,8,4,4.699722051620483
17,1710842961.2668, caravela-2,7,112,16,8,8.200244903564453
18,1710842964.41698, caravela-2,7,112,6,3,3.1501801013946533
