,time,asv_1,asv_2
8,0.0,"(63.3294714299323, 10.079977734801158)","(63.330429988323544, 10.07986314324213)"
9,0.9762330055236816,"(63.329476013594665, 10.079979453674543)","(63.33043228015473, 10.07986314324213)"
10,0.999953031539917,"(63.32948031077812, 10.079981172547928)","(63.33043457198592, 10.07986314324213)"
11,1.976396083831787,"(63.32948460796159, 10.079982891421313)","(63.3304365773382, 10.07986314324213)"
12,2.000253915786743,"(63.32948919162395, 10.0799843238158)","(63.330438582690476, 10.07986314324213)"
13,2.9769880771636963,"(63.32949377528631, 10.07998575621029)","(63.330440874521656, 10.07986314324213)"
14,2.999958038330078,"(63.32949835894867, 10.079987475083675)","(63.33044316635284, 10.07986314324213)"
15,3.9793930053710938,"(63.32950294261102, 10.07998919395706)","(63.33044517170512, 10.079862856763233)"
16,3.999974012374878,"(63.329507239794495, 10.079990912830446)","(63.33044717705741, 10.079862570284336)"
17,4.976227045059204,"(63.32951153697796, 10.079992631703831)","(63.33044946888859, 10.079862570284336)"
18,4.999972105026245,"(63.32951612064032, 10.079994064098319)","(63.33045176071977, 10.079862570284336)"
19,5.976186037063599,"(63.32952070430268, 10.079995496492806)","(63.330453766072054, 10.079862570284336)"
20,5.999939918518066,"(63.32952528796504, 10.079997215366191)","(63.33045577142434, 10.079862570284336)"
21,6.976223945617676,"(63.3295298716274, 10.079998934239576)","(63.33045806325552, 10.079862570284336)"
22,7.00012993812561,"(63.329534168810866, 10.080000366634064)","(63.33046035508669, 10.079862570284336)"
23,7.976202011108398,"(63.329538465994325, 10.080001799028553)","(63.33046236043898, 10.079862570284336)"
24,7.999988079071045,"(63.32954304965669, 10.080003517901938)","(63.330464365791265, 10.079862570284336)"
25,8.97669005393982,"(63.32954763331905, 10.080005236775323)","(63.330466657622445, 10.079862283805438)"
26,9.001155138015747,"(63.32955221698141, 10.080006669169812)","(63.330468949453625, 10.07986199732654)"
27,9.97617506980896,"(63.32955680064377, 10.0800081015643)","(63.330470954805904, 10.07986199732654)"
28,10.000087976455688,"(63.32956138430613, 10.080009820437684)","(63.33047296015819, 10.07986199732654)"
29,10.979680061340332,"(63.3295659679685, 10.08001153931107)","(63.33047525198937, 10.07986199732654)"
30,10.999972105026245,"(63.32957026515196, 10.080012971705557)","(63.33047754382055, 10.07986199732654)"
31,11.97628903388977,"(63.329574562335424, 10.080014404100046)","(63.33047983565173, 10.07986199732654)"
32,11.999990940093994,"(63.32957914599778, 10.080016122973431)","(63.3304821274829, 10.07986199732654)"
33,12.978688955307007,"(63.32958372966014, 10.080017841846816)","(63.33048413283519, 10.07986199732654)"
34,12.999956130981445,"(63.32958802684361, 10.080019274241304)","(63.330486138187474, 10.07986199732654)"
35,13.976205110549927,"(63.32959232402707, 10.080020706635791)","(63.330488430018654, 10.079861710847643)"
36,14.000133037567139,"(63.329596907689435, 10.08002213903028)","(63.330490721849834, 10.079861424368746)"
37,14.976203918457031,"(63.329601491351795, 10.080023571424768)","(63.33049272720211, 10.079861424368746)"
38,14.999923944473267,"(63.329606075014155, 10.080025003819255)","(63.3304947325544, 10.079861424368746)"
39,15.976683139801025,"(63.329610658676515, 10.080026436213743)","(63.33049702438558, 10.079861424368746)"
40,15.999966144561768,"(63.32961495585998, 10.080028155087128)","(63.33049931621676, 10.079861424368746)"
41,16.97619915008545,"(63.32961925304344, 10.080029873960514)","(63.33050160804794, 10.079861424368746)"
42,16.999974012374878,"(63.3296238367058, 10.080031306355002)","(63.330503899879126, 10.079861424368746)"
43,17.976205110549927,"(63.32962842036816, 10.08003273874949)","(63.33050590523141, 10.079861424368746)"
44,17.999928951263428,"(63.32963271755163, 10.080034171143978)","(63.3305079105837, 10.079861424368746)"
45,18.97624897956848,"(63.3296370147351, 10.080035603538466)","(63.33051020241487, 10.079861137889848)"
46,18.999938011169434,"(63.32964159839746, 10.080037322411851)","(63.33051249424605, 10.07986085141095)"
47,19.97656798362732,"(63.32964618205981, 10.080039041285236)","(63.33051478607723, 10.07986085141095)"
48,20.00083303451538,"(63.32965076572217, 10.080040473679723)","(63.33051707790841, 10.07986085141095)"
49,20.9767849445343,"(63.32965534938453, 10.08004190607421)","(63.3305190832607, 10.07986085141095)"
50,21.001167058944702,"(63.32965964656799, 10.080043338468698)","(63.33052108861298, 10.07986085141095)"
51,21.976208925247192,"(63.329663943751456, 10.080044770863188)","(63.33052338044416, 10.07986085141095)"
52,21.9997079372406,"(63.32966852741382, 10.080046489736572)","(63.330525672275336, 10.07986085141095)"
53,22.97624397277832,"(63.32967311107619, 10.080048208609957)","(63.330527964106516, 10.07986085141095)"
54,22.99998712539673,"(63.329677408259656, 10.080049641004447)","(63.330530255937695, 10.07986085141095)"
