timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1709815503.133799, caravela-2, 7, -0.00777734, 0.000000
1709815504.183568, caravela-2, 7, -0.00772964, 0.000000
1709815505.233521, caravela-2, 7, -0.00775502, 0.000000
1709815506.233669, caravela-2, 7, -0.00776282, 0.000000
1709815507.235031, caravela-2, 7, -0.00776925, 0.000000
1709815508.283566, caravela-2, 7, -0.00776204, 0.000000
1709815509.283659, caravela-2, 7, -0.00776174, 0.000000
1709815510.283850, caravela-2, 7, -0.00775911, 0.000000
1709815511.284160, caravela-2, 7, -0.00775552, 0.000000
1709815512.333528, caravela-2, 7, -0.00775781, 0.000000
1709815513.333540, caravela-2, 7, -0.00775766, 0.000000
1709815514.383639, caravela-2, 7, -0.00775001, 0.000000
1709815515.383751, caravela-2, 7, -0.00774751, 0.000000
1709815516.433491, caravela-2, 7, -0.00775552, 0.000000
1709815517.483482, caravela-2, 7, -0.00774089, 0.000000
1709815518.483539, caravela-2, 7, -0.0077482, 0.000000
1709815519.483559, caravela-2, 7, -0.00774938, 0.000000
1709815520.483695, caravela-2, 7, -0.00774588, 0.000000
1709815521.533556, caravela-2, 7, -0.00774317, 0.000000
1709815522.535068, caravela-2, 7, -0.0077495, 0.000000
1709815523.583479, caravela-2, 7, -0.00774311, 0.000000
1709815524.633739, caravela-2, 7, -0.0077457, 0.000000
1709815525.683483, caravela-2, 7, -0.00774443, 0.000000
1709815526.683699, caravela-2, 7, -0.00775379, 0.000000
1709815527.733530, caravela-2, 7, -0.00775363, 0.000000
1709815528.733523, caravela-2, 7, -0.00775572, 0.000000
1709815529.734113, caravela-2, 7, -0.00775508, 0.000000
1709815530.783890, caravela-2, 7, -0.00775449, 0.000000
1709815531.784298, caravela-2, 7, -0.00774918, 0.000000
1709815532.833545, caravela-2, 7, -0.00774882, 0.000000
1709815533.883771, caravela-2, 7, -0.00774716, 0.000000
1709815534.933603, caravela-2, 7, -0.00775233, 0.000000
1709815535.983934, caravela-2, 7, -0.00774373, 0.000000
1709815537.033518, caravela-2, 7, -0.00773791, 0.000000
1709815538.083446, caravela-2, 7, -0.00774939, 0.000000
1709815539.083664, caravela-2, 7, -0.00773839, 0.000000
1709815540.084261, caravela-2, 7, -0.00774155, 0.000000
1709815541.085593, caravela-2, 7, -0.00774767, 0.000000
1709815542.134035, caravela-2, 7, -0.00775089, 0.000000
1709815543.134112, caravela-2, 7, -0.00775239, 0.000000
1709815544.184025, caravela-2, 7, -0.00773809, 0.000000
1709815545.233701, caravela-2, 7, -0.00774628, 0.000000
1709815546.234246, caravela-2, 7, -0.00772612, 0.000000
1709815547.283432, caravela-2, 7, -0.00772466, 0.000000
1709815548.283470, caravela-2, 7, -0.00772192, 0.000000
1709815549.283659, caravela-2, 7, -0.00772339, 0.000000
1709815550.283692, caravela-2, 7, -0.00771836, 0.000000
1709815551.284411, caravela-2, 7, -0.00771744, 0.000000
1709815552.334794, caravela-2, 7, -0.00772482, 0.000000
1709815553.383586, caravela-2, 7, -0.00772284, 0.000000
1709815554.383845, caravela-2, 7, -0.00771806, 0.000000
1709815555.433784, caravela-2, 7, -0.00771403, 0.000000
1709815556.433764, caravela-2, 7, -0.00770075, 0.000000
1709815557.483596, caravela-2, 7, -0.00771669, 0.000000
1709815558.535126, caravela-2, 7, -0.00770404, 0.000000
1709815559.536774, caravela-2, 7, -0.00771089, 0.000000
1709815560.587063, caravela-2, 7, 0.25407726, 15.000000
1709815561.583848, caravela-2, 7, 0.25407726, 0.000000
1709815562.583943, caravela-2, 7, 0.25407726, 0.000000
1709815563.584186, caravela-2, 7, 0.25407726, 0.000000
1709815564.652298, caravela-2, 7, 0.25407726, 0.000000
1709815565.683932, caravela-2, 7, 0.25407726, 0.000000
1709815566.684291, caravela-2, 7, 0.25407726, 0.000000
1709815567.734063, caravela-2, 7, 0.25407726, 0.000000
1709815568.783891, caravela-2, 7, 0.25407726, 0.000000
1709815569.834254, caravela-2, 7, 0.25407726, 0.000000
1709815570.837892, caravela-2, 7, -0.0975585, 0.000000
1709815571.883770, caravela-2, 7, -0.12374348, 0.000000
1709815572.884011, caravela-2, 7, -0.13896891, 0.000000
1709815573.933993, caravela-2, 7, -0.15957335, 0.000000
1709815575.005763, caravela-2, 7, -0.18035599, 0.000000
1709815576.034208, caravela-2, 7, -0.20024216, 0.000000
1709815577.034493, caravela-2, 7, -0.21876008, 0.000000
1709815578.083635, caravela-2, 7, -0.23741272, 0.000000
1709815579.084143, caravela-2, 7, -0.25435491, 0.000000
1709815580.633719, caravela-2, 7, -0.00020171, 0.000000
1709815581.633946, caravela-2, 7, 0.00025154, 0.000000
1709815582.634329, caravela-2, 7, 0.00073478, 0.000000
1709815583.634417, caravela-2, 7, 0.00107251, 0.000000
1709815584.684166, caravela-2, 7, 0.0012567, 0.000000
1709815585.733485, caravela-2, 7, 0.0012567, 0.000000
1709815586.733526, caravela-2, 7, 0.0012567, 0.000000
1709815587.733668, caravela-2, 7, 0.0012567, 0.000000
1709815588.783784, caravela-2, 7, 0.0012567, 0.000000
1709815589.784094, caravela-2, 7, 0.0012567, 0.000000
1709815590.839808, caravela-2, 7, 0.26333727, 15.000000
1709815591.883988, caravela-2, 7, 0.26333727, 0.000000
1709815592.884064, caravela-2, 7, 0.26333727, 0.000000
1709815593.933709, caravela-2, 7, 0.26333727, 0.000000
1709815594.983645, caravela-2, 7, 0.26333727, 0.000000
1709815596.033369, caravela-2, 7, 0.26333727, 0.000000
1709815597.033474, caravela-2, 7, 0.26333727, 0.000000
1709815598.033878, caravela-2, 7, 0.26333727, 0.000000
1709815599.034052, caravela-2, 7, 0.26333727, 0.000000
1709815600.088249, caravela-2, 7, -0.00308803, 0.000000
1709815601.134842, caravela-2, 7, -0.00308803, 0.000000
1709815602.183476, caravela-2, 7, -0.00308803, 0.000000
1709815603.183655, caravela-2, 7, -0.00533538, 0.000000
1709815604.183890, caravela-2, 7, -0.00578409, 0.000000
1709815605.184003, caravela-2, 7, -0.00605673, 0.000000
1709815606.234421, caravela-2, 7, -0.00624035, 0.000000
1709815607.283617, caravela-2, 7, -0.00635088, 0.000000
1709815608.286125, caravela-2, 7, -0.00635088, 0.000000
1709815609.333719, caravela-2, 7, -0.00635088, 0.000000
1709815610.339063, caravela-2, 7, -0.00644718, 0.000000
1709815611.334518, caravela-2, 7, -0.00644718, 0.000000
1709815612.334663, caravela-2, 7, -0.00644718, 0.000000
1709815613.337538, caravela-2, 7, -0.00644718, 0.000000
1709815614.384074, caravela-2, 7, -0.00644718, 0.000000
1709815615.434304, caravela-2, 7, -0.00644718, 0.000000
1709815616.483519, caravela-2, 7, -0.00644718, 0.000000
1709815617.483649, caravela-2, 7, -0.00644718, 0.000000
1709815618.533637, caravela-2, 7, -0.00644718, 0.000000
1709815619.536481, caravela-2, 7, -0.00644718, 0.000000
1709815620.588284, caravela-2, 7, 0.25533721, 15.000000
1709815621.584202, caravela-2, 7, 0.25533721, 0.000000
1709815622.633510, caravela-2, 7, 0.25533721, 0.000000
1709815623.633643, caravela-2, 7, 0.25533721, 0.000000
1709815624.633811, caravela-2, 7, 0.25533721, 0.000000
1709815625.634317, caravela-2, 7, 0.25533721, 0.000000
1709815626.683925, caravela-2, 7, 0.25533721, 0.000000
1709815627.733878, caravela-2, 7, 0.25533721, 0.000000
1709815628.783558, caravela-2, 7, 0.25533721, 0.000000
1709815629.783899, caravela-2, 7, -0.01160528, 0.000000
1709815630.834347, caravela-2, 7, -0.01266339, 0.000000
1709815631.887677, caravela-2, 7, -0.0134707, 0.000000
1709815632.934171, caravela-2, 7, -0.01416343, 0.000000
1709815633.935154, caravela-2, 7, -0.01466265, 0.000000
1709815634.983954, caravela-2, 7, -0.01498922, 0.000000
1709815636.033950, caravela-2, 7, -0.01514907, 0.000000
1709815637.034008, caravela-2, 7, -0.01529799, 0.000000
1709815638.083731, caravela-2, 7, -0.0153625, 0.000000
1709815639.084242, caravela-2, 7, -0.0153939, 0.000000
1709815640.136667, caravela-2, 7, -0.01540997, 0.000000
1709815641.136560, caravela-2, 7, -0.01540997, 0.000000
1709815642.183588, caravela-2, 7, -0.01540997, 0.000000
1709815643.233947, caravela-2, 7, -0.01540997, 0.000000
1709815644.283528, caravela-2, 7, -0.01540997, 0.000000
1709815645.333585, caravela-2, 7, -0.01540997, 0.000000
1709815646.333909, caravela-2, 7, -0.01540997, 0.000000
1709815647.334007, caravela-2, 7, -0.01540997, 0.000000
1709815648.383483, caravela-2, 7, -0.01540997, 0.000000
1709815649.383709, caravela-2, 7, -0.01540997, 0.000000
