timestamp (seconds since 01/01/1970), system, entity , value (rad), off (°)
1709815525.640359, caravela, 7, -0.00444841, 0.000000
1709815526.640283, caravela, 7, -0.00439163, 0.000000
1709815527.690200, caravela, 7, -0.00438601, 0.000000
1709815528.690261, caravela, 7, -0.00441062, 0.000000
1709815529.740189, caravela, 7, -0.00441062, 0.000000
1709815530.741692, caravela, 7, 0.25735913, 15.000000
1709815531.790174, caravela, 7, 0.25735913, 0.000000
1709815532.840281, caravela, 7, 0.25735913, 0.000000
1709815533.845910, caravela, 7, 0.25735913, 0.000000
1709815534.890332, caravela, 7, 0.25735913, 0.000000
1709815535.940131, caravela, 7, 0.25735913, 0.000000
1709815536.942301, caravela, 7, 0.25735913, 0.000000
1709815537.990782, caravela, 7, 0.25735913, 0.000000
1709815539.040154, caravela, 7, 0.25735913, 0.000000
1709815540.041767, caravela, 7, -0.07575142, 0.000000
1709815541.090076, caravela, 7, -0.09471954, 0.000000
1709815542.090723, caravela, 7, -0.11121434, 0.000000
1709815543.090931, caravela, 7, -0.12867951, 0.000000
1709815544.092293, caravela, 7, -0.14603789, 0.000000
1709815545.140632, caravela, 7, -0.16378401, 0.000000
1709815546.190177, caravela, 7, -0.18075646, 0.000000
1709815547.191095, caravela, 7, -0.19613121, 0.000000
1709815548.240193, caravela, 7, -0.21116138, 0.000000
1709815549.290001, caravela, 7, -0.22475731, 0.000000
1709815550.290159, caravela, 7, -0.23633844, 0.000000
1709815551.290507, caravela, 7, -0.24667456, 0.000000
1709815552.340146, caravela, 7, -0.25693877, 0.000000
1709815553.341617, caravela, 7, -0.26599048, 0.000000
1709815554.390493, caravela, 7, -0.27541064, 0.000000
1709815556.139980, caravela, 7, -0.27541064, 0.000000
1709815557.140404, caravela, 7, -0.27541064, 0.000000
1709815558.140634, caravela, 7, -0.27541064, 0.000000
1709815559.190538, caravela, 7, -0.27541064, 0.000000
1709815560.241753, caravela, 7, 0.26313608, 15.000000
1709815561.240323, caravela, 7, 0.26313608, 0.000000
1709815562.241329, caravela, 7, 0.26313608, 0.000000
1709815563.290111, caravela, 7, 0.26313608, 0.000000
1709815564.290296, caravela, 7, 0.26313608, 0.000000
1709815565.290876, caravela, 7, 0.26313608, 0.000000
1709815566.341778, caravela, 7, 0.26313608, 0.000000
1709815567.391056, caravela, 7, 0.26313608, 0.000000
1709815568.391142, caravela, 7, 0.26313608, 0.000000
1709815569.440557, caravela, 7, 0.26313608, 0.000000
1709815570.491595, caravela, 7, 0.26564965, 15.000000
1709815571.491736, caravela, 7, 0.26564965, 0.000000
1709815572.540891, caravela, 7, 0.26564965, 0.000000
1709815573.590277, caravela, 7, 0.26564965, 0.000000
1709815574.590531, caravela, 7, 0.26564965, 0.000000
1709815575.591381, caravela, 7, 0.26564965, 0.000000
1709815576.640308, caravela, 7, 0.26564965, 0.000000
1709815577.689971, caravela, 7, 0.26564965, 0.000000
1709815578.690015, caravela, 7, -0.00132687, 0.000000
1709815579.690061, caravela, 7, -0.00199182, 0.000000
1709815580.690193, caravela, 7, -0.00267343, 0.000000
1709815581.691993, caravela, 7, -0.00323591, 0.000000
1709815582.740914, caravela, 7, -0.0036983, 0.000000
1709815583.740855, caravela, 7, -0.0036983, 0.000000
1709815584.741429, caravela, 7, -0.0036983, 0.000000
1709815585.789974, caravela, 7, -0.0036983, 0.000000
1709815586.790055, caravela, 7, -0.0036983, 0.000000
1709815587.840033, caravela, 7, -0.0036983, 0.000000
1709815588.889810, caravela, 7, -0.0036983, 0.000000
1709815589.890218, caravela, 7, -0.0036983, 0.000000
1709815590.893708, caravela, 7, -0.00463538, 0.000000
1709815591.940809, caravela, 7, -0.00463538, 0.000000
1709815592.991077, caravela, 7, -0.00463538, 0.000000
1709815594.040109, caravela, 7, -0.00463538, 0.000000
1709815595.040316, caravela, 7, -0.00463538, 0.000000
1709815596.040375, caravela, 7, -0.00463538, 0.000000
1709815597.089938, caravela, 7, -0.00463538, 0.000000
1709815598.089995, caravela, 7, -0.00463538, 0.000000
1709815599.140241, caravela, 7, -0.00463538, 0.000000
1709815600.193112, caravela, 7, 0.25713602, 15.000000
1709815601.240240, caravela, 7, 0.25713602, 0.000000
1709815602.291033, caravela, 7, 0.25713602, 0.000000
1709815603.291483, caravela, 7, 0.25713602, 0.000000
1709815604.345066, caravela, 7, 0.25713602, 0.000000
1709815605.390122, caravela, 7, 0.25713602, 0.000000
1709815606.390665, caravela, 7, 0.25713602, 0.000000
1709815607.440400, caravela, 7, 0.25713602, 0.000000
1709815608.492531, caravela, 7, 0.25713602, 0.000000
1709815609.540238, caravela, 7, 0.25713602, 0.000000
1709815610.543195, caravela, 7, -0.00965153, 0.000000
1709815611.590409, caravela, 7, -0.00965153, 0.000000
1709815612.641682, caravela, 7, -0.00965153, 0.000000
1709815613.693062, caravela, 7, -0.00965153, 0.000000
1709815614.702789, caravela, 7, -0.00965153, 0.000000
1709815615.740531, caravela, 7, -0.00965153, 0.000000
1709815616.795916, caravela, 7, -0.00965153, 0.000000
1709815617.840959, caravela, 7, -0.00965153, 0.000000
1709815618.890663, caravela, 7, -0.00965153, 0.000000
1709815619.890800, caravela, 7, -0.00965153, 0.000000
1709815620.942933, caravela, 7, 0.24859744, 15.000000
1709815621.990624, caravela, 7, 0.24859744, 0.000000
1709815623.040187, caravela, 7, 0.24859744, 0.000000
1709815624.040397, caravela, 7, 0.24859744, 0.000000
1709815625.089964, caravela, 7, 0.24859744, 0.000000
1709815626.090306, caravela, 7, 0.24859744, 0.000000
1709815627.090342, caravela, 7, 0.24859744, 0.000000
1709815628.091882, caravela, 7, 0.24859744, 0.000000
1709815629.140473, caravela, 7, 0.24859744, 0.000000
1709815630.193525, caravela, 7, 0.24403298, 15.000000
1709815631.240153, caravela, 7, 0.24403298, 0.000000
