timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1710841810.938543, caravela-2, 45, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, MANUAL_INPUT, 0, 0, 0, 0.000000, 1.1053214, 0.17592684, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1710841920.891591, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35520.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841921.891768, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35521.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841922.891608, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35522.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841923.891614, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35523.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841924.891615, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35524.000000, 1.10532139, 0.17592684, -0.000207, 8, -0.000001, 0.332983, 0.900000, 0.000000, 2.000000, 0.000000
1710841925.891626, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35525.000000, 1.10532135, 0.17592684, -0.000971, 8, -0.000069, 0.215666, 0.900000, 0.000000, 2.000000, 0.000000
1710841926.891594, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35526.000000, 1.10532135, 0.17592684, -0.000959, 8, -0.003012, 0.187206, 0.900000, 0.000000, 2.000000, 0.000000
1710841927.891784, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35527.000000, 1.10532138, 0.17592684, -0.000448, 8, -0.006268, 0.200637, 0.900000, 0.000000, 2.000000, 0.000000
1710841928.891738, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35528.000000, 1.10532141, 0.17592684, 0.000117, 8, -0.007689, 0.218069, 0.900000, 0.000000, 2.000000, 0.000000
1710841929.895237, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35529.000000, 1.10532144, 0.17592684, 0.000726, 8, -0.008046, 0.233398, 0.900000, 0.000000, 2.000000, 0.000000
1710841930.891868, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35530.000000, 1.10532148, 0.17592684, 0.001374, 8, -0.008042, 0.247227, 0.900000, 0.000000, 2.000000, 0.000000
1710841931.891720, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35531.000000, 1.10532152, 0.17592683, 0.002058, 8, -0.007883, 0.260069, 0.900000, 0.000000, 2.000000, 0.000000
1710841932.891621, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35532.000000, 1.10532156, 0.17592683, 0.002776, 8, -0.007772, 0.271882, 0.900000, 0.000000, 2.000000, 0.000000
1710841933.891593, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35533.000000, 1.10532161, 0.17592683, 0.003524, 8, -0.007772, 0.282854, 0.900000, 0.000000, 2.000000, 0.000000
1710841934.891827, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35534.000000, 1.10532165, 0.17592683, 0.004301, 8, -0.007792, 0.293022, 0.900000, 0.000000, 2.000000, 0.000000
1710841935.891586, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35535.000000, 1.1053217, 0.17592683, 0.005105, 8, -0.007843, 0.302556, 0.900000, 0.000000, 2.000000, 0.000000
1710841936.891627, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35536.000000, 1.10532175, 0.17592683, 0.005933, 8, -0.007917, 0.311534, 0.900000, 0.000000, 2.000000, 0.000000
1710841937.891631, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35537.000000, 1.1053218, 0.17592683, 0.006786, 8, -0.007927, 0.319968, 0.900000, 0.000000, 2.000000, 0.000000
