timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1710841810.483863, caravela, 36, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 31561.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841939.431492, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35539.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841940.431427, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35540.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841941.432172, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35541.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841942.431749, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35542.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841943.431187, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35543.000000, 1.10529858, 0.17592651, -0.000243, 8, 0.000000, 0.333707, 0.900000, 0.000000, 2.000000, 0.000000
1710841944.431451, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35544.000000, 1.10529854, 0.17592651, -0.001001, 8, -0.000046, 0.216356, 0.900000, 0.000000, 2.000000, 0.000000
1710841945.431459, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35545.000000, 1.10529854, 0.17592651, -0.000941, 8, -0.001723, 0.280584, 0.900000, 0.000000, 2.000000, 0.000000
1710841946.431440, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35546.000000, 1.1052986, 0.17592651, 0.000163, 8, -0.003283, 0.536588, 0.900000, 0.000000, 2.000000, 0.000000
1710841947.432151, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35547.000000, 1.10529871, 0.17592651, 0.001907, 8, -0.004042, 0.761236, 0.900000, 0.000000, 2.000000, 0.000000
