,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1710849493.900403, caravela,7,111,17,4,
1,1710849498.04954, caravela,7,111,21,4,4.149137020111084
2,1710849502.157386, caravela,7,111,23,5,4.107846021652222
3,1710849505.249517, caravela,7,111,17,3,3.0921308994293213
4,1710849514.549861, caravela,7,111,49,9,9.300343990325928
5,1710849520.651169, caravela,7,111,33,9,6.101308107376099
6,1710849528.900028, caravela,7,111,44,11,8.24885892868042
7,1710849533.050538, caravela,7,111,23,5,4.15051007270813
8,1710849537.100571, caravela,7,111,26,4,4.0500328540802
9,1710849540.149843, caravela,7,111,18,3,3.049272060394287
10,1710849544.249532, caravela,7,111,20,4,4.09968900680542
11,1710849550.47241, caravela,7,111,30,6,6.2228779792785645
12,1710849556.699433, caravela,7,111,35,7,6.227023124694824
13,1710849567.000298, caravela,7,111,50,12,10.300864934921265
14,1710849570.051226, caravela,7,111,15,3,3.0509278774261475
15,1710849573.099588, caravela,7,111,13,3,3.0483620166778564
16,1710849585.499452, caravela,7,111,62,13,12.399864196777344
17,1710849591.649958, caravela,7,111,30,8,6.150505781173706
18,1710849598.949806, caravela,7,111,29,10,7.2998480796813965
19,1710849604.099927, caravela,7,111,22,7,5.150120973587036
20,1710849607.149663, caravela,7,111,15,3,3.0497360229492188
0,1710849492.831218, caravela-2,7,112,15,5,
1,1710849497.880315, caravela-2,7,112,23,5,5.049097061157227
2,1710849504.08081, caravela-2,7,112,26,6,6.200495004653931
3,1710849508.180639, caravela-2,7,112,18,5,4.0998289585113525
4,1710849513.380095, caravela-2,7,112,23,6,5.199455976486206
5,1710849519.582124, caravela-2,7,112,26,7,6.20202898979187
6,1710849523.68017, caravela-2,7,112,18,5,4.098046064376831
7,1710849527.780353, caravela-2,7,112,19,4,4.100183010101318
8,1710849531.880173, caravela-2,7,112,18,4,4.099819898605347
9,1710849534.931318, caravela-2,7,112,16,3,3.051145076751709
10,1710849538.031162, caravela-2,7,112,12,3,3.099843978881836
11,1710849541.129666, caravela-2,7,112,17,3,3.098504066467285
12,1710849547.230252, caravela-2,7,112,24,8,6.1005859375
13,1710849551.379511, caravela-2,7,112,16,5,4.149259090423584
14,1710849554.434703, caravela-2,7,112,12,3,3.055191993713379
15,1710849559.629869, caravela-2,7,112,20,5,5.1951658725738525
16,1710849567.879598, caravela-2,7,112,32,9,8.249728918075562
17,1710849570.929669, caravela-2,7,112,12,3,3.0500710010528564
18,1710849574.979941, caravela-2,7,112,11,5,4.050271987915039
19,1710849578.029731, caravela-2,7,112,13,3,3.049790143966675
20,1710849585.329651, caravela-2,7,112,28,9,7.299920082092285
21,1710849590.430681, caravela-2,7,112,20,6,5.101029872894287
0,1710849489.906172, caravela-3,7,113,11,5,
1,1710849495.116148, caravela-3,7,113,16,6,5.209975957870483
2,1710849501.205793, caravela-3,7,113,21,8,6.089644908905029
3,1710849506.35566, caravela-3,7,113,18,5,5.149867057800293
4,1710849511.455901, caravela-3,7,113,17,5,5.10024094581604
5,1710849517.705972, caravela-3,7,113,21,6,6.250071048736572
6,1710849520.805649, caravela-3,7,113,10,3,3.099677085876465
7,1710849525.905968, caravela-3,7,113,18,5,5.100318908691406
8,1710849530.106014, caravela-3,7,113,15,4,4.200046062469482
9,1710849533.205698, caravela-3,7,113,11,3,3.099684000015259
10,1710849536.255988, caravela-3,7,113,11,3,3.0502898693084717
11,1710849539.355707, caravela-3,7,113,13,3,3.0997190475463867
12,1710849545.605714, caravela-3,7,113,18,6,6.250007152557373
13,1710849549.706652, caravela-3,7,113,11,4,4.100937843322754
14,1710849552.80594, caravela-3,7,113,9,3,3.099287986755371
15,1710849559.005947, caravela-3,7,113,19,7,6.200007200241089
16,1710849566.107397, caravela-3,7,113,20,7,7.101449966430664
17,1710849569.158515, caravela-3,7,113,9,3,3.0511178970336914
18,1710849573.308088, caravela-3,7,113,12,4,4.149573087692261
19,1710849576.355889, caravela-3,7,113,9,3,3.0478010177612305
20,1710849579.505831, caravela-3,7,113,9,3,3.149941921234131
21,1710849583.605764, caravela-3,7,113,12,4,4.099932909011841
22,1710849588.706453, caravela-3,7,113,15,5,5.100689172744751
23,1710849595.855781, caravela-3,7,113,22,7,7.149327993392944
24,1710849601.005915, caravela-3,7,113,15,5,5.150133848190308
25,1710849604.105918, caravela-3,7,113,9,3,3.1000030040740967
