,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709502017.20228, caravela,7,111,10,8,
1,1709502020.30074, caravela,7,111,9,3,3.09846019744873
2,1709502023.40069, caravela,7,111,9,3,3.0999538898468
3,1709502032.30129, caravela,7,111,29,11,8.90059900283814
4,1709502037.50098, caravela,7,111,15,7,5.19968700408936
5,1709502041.60076, caravela,7,111,12,5,4.09978294372559
6,1709502044.65075, caravela,7,111,10,3,3.04998898506165
7,1709502052.85067, caravela,7,111,26,12,8.19992017745972
8,1709502060.10135, caravela,7,111,22,11,7.2506799697876
9,1709502065.25071, caravela,7,111,15,5,5.14936089515686
10,1709502068.30091, caravela,7,111,10,3,3.05019903182983
11,1709502074.45067, caravela,7,111,19,9,6.14976191520691
12,1709502078.55073, caravela,7,111,13,5,4.1000599861145
13,1709502084.60088, caravela,7,111,19,9,6.05014610290527
14,1709502087.65114, caravela,7,111,9,3,3.05026602745056
15,1709502091.80118, caravela,7,111,12,4,4.15003895759583
16,1709502096.95162, caravela,7,111,15,7,5.15043807029724
17,1709502101.15271, caravela,7,111,14,4,4.20108795166016
18,1709502105.35071, caravela,7,111,12,4,4.19799900054932
19,1709502112.50155, caravela,7,111,21,7,7.15084004402161
20,1709502117.70176, caravela,7,111,17,5,5.20021486282349
21,1709502123.95182, caravela,7,111,18,8,6.25006198883057
22,1709502128.0514, caravela,7,111,12,4,4.09957909584045
23,1709502134.20074, caravela,7,111,18,7,6.14933800697327
24,1709502140.40128, caravela,7,111,18,6,6.20053696632385
25,1709502145.45084, caravela,7,111,15,5,5.04956007003784
26,1709502148.55332, caravela,7,111,9,3,3.10248398780823
27,1709502154.75267, caravela,7,111,18,7,6.19934487342835
28,1709502159.95092, caravela,7,111,15,5,5.19825005531311
29,1709502163.05055, caravela,7,111,9,3,3.09962797164917
30,1709502167.10133, caravela,7,111,12,4,4.05078315734863
31,1709502174.35053, caravela,7,111,24,11,7.24920296669006
32,1709502179.45088, caravela,7,111,15,6,5.10034799575806
33,1709502185.70116, caravela,7,111,18,6,6.25027585029602
34,1709502188.80107, caravela,7,111,9,3,3.09991121292114
36,1709502333.05073, caravela,7,111,5,5,5.19977283477783
37,1709502337.20061, caravela,7,111,4,4,4.14987516403198
38,1709502344.35059, caravela,7,111,3,3,7.14998388290405
0,1709502015.62739, caravela-2,7,112,11,6,
1,1709502018.67745, caravela-2,7,112,6,3,3.05005502700806
2,1709502021.77734, caravela-2,7,112,6,3,3.09989500045776
3,1709502025.88142, caravela-2,7,112,7,5,4.10407686233521
4,1709502031.02841, caravela-2,7,112,13,5,5.14698910713196
5,1709502036.17746, caravela-2,7,112,10,5,5.14905309677124
6,1709502040.32752, caravela-2,7,112,8,4,4.15005683898926
7,1709502043.47753, caravela-2,7,112,7,3,3.15001511573791
8,1709502051.72753, caravela-2,7,112,17,8,8.24999499320984
9,1709502058.87752, caravela-2,7,112,15,7,7.14998888969421
10,1709502062.92993, caravela-2,7,112,9,5,4.05240702629089
11,1709502067.02762, caravela-2,7,112,9,4,4.09769296646118
12,1709502073.22739, caravela-2,7,112,13,6,6.19976711273193
13,1709502077.32742, caravela-2,7,112,9,4,4.10003900527954
