,time,asv_1,asv_2,asv_3
68,0.0,"(63.32936829752917, 10.080212647497161)","(63.33040114944786, 10.077829907013143)","(63.32978216404319, 10.081046492075009)"
69,0.2520170211791992,"(63.32937078034629, 10.080216467215795)","(63.33039981254634, 10.077835827577026)","(63.32978483784623, 10.081043436300101)"
70,0.5017380714416504,"(63.3293732631634, 10.08022028693443)","(63.33039847564481, 10.077841748140909)","(63.32978751164928, 10.081040189539262)"
71,0.9996941089630127,"(63.329375745980514, 10.080224106653064)","(63.330397138743294, 10.077847859690724)","(63.329790185452325, 10.081036942778423)"
72,1.250797986984253,"(63.32937803781169, 10.080228117357631)","(63.33039580184177, 10.077853971240538)","(63.32979285925537, 10.081033696017585)"
73,1.5017800331115723,"(63.32938032964287, 10.080232128062196)","(63.33039446494025, 10.077860082790354)","(63.32979534207249, 10.081030640242677)"
74,2.000046968460083,"(63.32938262147405, 10.080236138766763)","(63.33039312803873, 10.077866003354236)","(63.329797824889596, 10.081027584467769)"
75,2.250786066055298,"(63.32938491330523, 10.080240531443192)","(63.3303917911372, 10.07787192391812)","(63.32980030770671, 10.081024528692861)"
76,2.502648115158081,"(63.32938720513641, 10.08024492411962)","(63.33039045423568, 10.077877844482003)","(63.32980298150975, 10.081021281932022)"
77,3.0000030994415283,"(63.32938949696759, 10.08024931679605)","(63.330389117334164, 10.077883765045886)","(63.32980565531279, 10.081018035171182)"
78,3.2527060508728027,"(63.329391597812844, 10.08025390045841)","(63.330387780432645, 10.077889685609769)","(63.32980832911583, 10.081014788410343)"
79,3.502082109451294,"(63.32939369865809, 10.08025848412077)","(63.330386443531125, 10.077895606173652)","(63.32981100291887, 10.081011541649504)"
80,3.999688148498535,"(63.32939579950334, 10.080263067783132)","(63.330385106629606, 10.077901717723467)","(63.32981367672192, 10.081008294888665)"
81,4.253833055496216,"(63.32939790034859, 10.080267651445494)","(63.33038376972808, 10.07790782927328)","(63.329816350524965, 10.081005048127826)"
82,4.501774072647095,"(63.32940000119383, 10.080272235107854)","(63.33038243282656, 10.077913940823096)","(63.32981902432801, 10.081001992352919)"
83,4.99976110458374,"(63.32940210203908, 10.080276818770216)","(63.33038109592504, 10.07791986138698)","(63.329821698131056, 10.080998936578013)"
84,5.250838041305542,"(63.329404202884334, 10.080281593418508)","(63.330379759023515, 10.077925781950862)","(63.3298243719341, 10.080995880803105)"
85,5.501784086227417,"(63.32940630372958, 10.080286368066801)","(63.330378422121996, 10.077931702514745)","(63.32982704573715, 10.080992634042266)"
86,5.999583005905151,"(63.32940840457483, 10.080291142715094)","(63.33037708522047, 10.07793781406456)","(63.329829719540186, 10.080989387281427)"
87,6.2522571086883545,"(63.32941031443415, 10.08029629933525)","(63.33037574831895, 10.077943925614374)","(63.32983239334323, 10.080986140520588)"
88,6.502457141876221,"(63.32941222429346, 10.080301455955405)","(63.330374411417424, 10.07795003716419)","(63.32983506714628, 10.08098308474568)"
89,6.999696969985962,"(63.329414134152785, 10.080306612575562)","(63.330373074515904, 10.077955957728072)","(63.32983774094932, 10.080980028970773)"
90,7.250813007354736,"(63.329416044012106, 10.080311769195719)","(63.33037173761438, 10.077961878291957)","(63.32984041475237, 10.080976973195865)"
91,7.501729965209961,"(63.32941795387142, 10.080316925815874)","(63.33037040071286, 10.07796779885584)","(63.32984289756948, 10.080973726435026)"
92,7.999835014343262,"(63.32941986373074, 10.08032208243603)","(63.33036906381134, 10.077973910405653)","(63.32984538038659, 10.080970479674187)"
93,8.251119136810303,"(63.329421773590056, 10.080327430042118)","(63.33036772690981, 10.077980021955469)","(63.329847863203696, 10.080967232913348)"
94,8.501750946044922,"(63.32942368344938, 10.080332777648206)","(63.330366390008294, 10.077986133505282)","(63.32985053700674, 10.08096398615251)"
95,8.99999713897705,"(63.32942559330869, 10.080338125254293)","(63.330365053106775, 10.077992054069165)","(63.32985321080979, 10.080960739391669)"
96,9.250900983810425,"(63.32942712119615, 10.080343090888519)","(63.33036371620525, 10.07799797463305)","(63.32985588461283, 10.08095749263083)"
97,9.501821041107178,"(63.329428649083596, 10.080348056522743)","(63.33036237930373, 10.078003895196932)","(63.32985855841588, 10.080954436855922)"
98,10.000365972518921,"(63.32943017697105, 10.080353022156968)","(63.3303610424022, 10.078010006746746)","(63.32986123221892, 10.080951381081016)"
99,10.250854015350342,"(63.329432086830366, 10.080358369763056)","(63.33035970550068, 10.078016118296562)","(63.32986390602196, 10.080948325306109)"
100,10.501736164093018,"(63.32943399668968, 10.080363717369144)","(63.33035836859916, 10.078022229846376)","(63.32986657982501, 10.08094507854527)"
101,10.999942064285278,"(63.329435906548994, 10.080369064975232)","(63.33035703169764, 10.078028341396191)","(63.329869253628054, 10.08094183178443)"
102,11.250852108001709,"(63.329437816408316, 10.080374030609457)","(63.33035569479611, 10.078034452946005)","(63.3298719274311, 10.080938585023592)"
103,11.501819133758545,"(63.32943972626763, 10.080378996243681)","(63.33035435789459, 10.07804056449582)","(63.329874601234145, 10.080935529248684)"
104,11.999685049057007,"(63.32944163612695, 10.080383961877907)","(63.330353211979, 10.078046485059703)","(63.329877275037184, 10.080932473473776)"
105,12.250858068466187,"(63.329443545986265, 10.08038892751213)","(63.33035206606342, 10.078052405623586)","(63.32987994884023, 10.080929417698869)"
106,12.501764059066772,"(63.32944545584559, 10.080393893146356)","(63.33035092014783, 10.078058326187469)","(63.32988262264327, 10.08092617093803)"
107,12.999935150146484,"(63.3294473657049, 10.08039885878058)","(63.33034958324631, 10.078064437737284)","(63.329885296446314, 10.080922924177191)"
108,13.250869989395142,"(63.32944946655015, 10.08040344244294)","(63.33034824634478, 10.078070549287098)","(63.32988797024935, 10.080919677416352)"
109,13.501813173294067,"(63.3294515673954, 10.080408026105301)","(63.330346909443264, 10.078076660836913)","(63.32989045306647, 10.080916430655513)"
110,14.000092029571533,"(63.32945366824065, 10.080412609767661)","(63.33034557254174, 10.078082581400796)","(63.32989293588358, 10.080913183894674)"
111,14.25077509880066,"(63.329455769085904, 10.080417193430023)","(63.33034423564022, 10.07808850196468)","(63.329895418700694, 10.080909937133836)"
112,14.501774072647095,"(63.32945786993115, 10.080421777092385)","(63.33034289873869, 10.078094422528563)","(63.32989809250374, 10.080906690372997)"
113,15.00261902809143,"(63.3294599707764, 10.080426360754746)","(63.33034156183717, 10.078100534078377)","(63.329900766306785, 10.080903443612156)"
114,15.250961065292358,"(63.32946226260758, 10.080430562445244)","(63.33034022493565, 10.078106645628193)","(63.32990344010983, 10.080900196851317)"
115,15.502084016799927,"(63.32946455443875, 10.08043476413574)","(63.33033888803413, 10.078112757178006)","(63.32990611391288, 10.08089714107641)"
116,15.99968695640564,"(63.32946684626993, 10.080438965826238)","(63.33033774211854, 10.078118868727822)","(63.329908787715915, 10.080894085301503)"
