,time,asv_1,asv_2,asv_3
46,0.0,"(63.32939751837672, 10.080026436213743)","(63.33048441931409, 10.07765649178715)","(63.32974415784278, 10.081289235194212)"
47,0.3252899646759033,"(63.3294003831657, 10.080029682974581)","(63.33048327339849, 10.077662603336966)","(63.32974702263176, 10.08128694336303)"
48,0.8318181037902832,"(63.32940324795467, 10.08003292973542)","(63.3304821274829, 10.07766871488678)","(63.3297496964348, 10.08128465153185)"
49,0.9997100830078125,"(63.32940611274365, 10.08003617649626)","(63.330480599595454, 10.077674826436596)","(63.32975237023784, 10.081282359700669)"
50,1.325326919555664,"(63.32940878654669, 10.080039232271167)","(63.330479071708, 10.07768093798641)","(63.32975504404089, 10.08128006786949)"
51,1.8312170505523682,"(63.32941146034974, 10.080042288046076)","(63.33047754382055, 10.077687049536225)","(63.32975790882986, 10.08127777603831)"
52,1.9995801448822021,"(63.329414134152785, 10.080045343820984)","(63.33047620691902, 10.077693161086039)","(63.32976077361884, 10.081275484207127)"
53,2.3252270221710205,"(63.32941680795583, 10.080048781567754)","(63.330474870017504, 10.077699272635854)","(63.32976363840781, 10.081273192375948)"
54,2.8313419818878174,"(63.329419481758876, 10.080052219314526)","(63.33047353311598, 10.077705384185668)","(63.32976650319679, 10.081270900544768)"
55,2.9995839595794678,"(63.32942215556192, 10.080055657061296)","(63.33047219621446, 10.07771130474955)","(63.32976936798577, 10.081268608713588)"
56,3.325700044631958,"(63.32942482936497, 10.080058903822135)","(63.33047085931293, 10.077717225313435)","(63.329772232774744, 10.081266316882408)"
57,3.8320159912109375,"(63.329427503168006, 10.080062150582974)","(63.33046952241141, 10.077723145877318)","(63.32977509756372, 10.081264025051226)"
58,3.999922037124634,"(63.32943017697105, 10.080065397343812)","(63.33046799452396, 10.077729257427132)","(63.32977796235269, 10.081261733220046)"
59,4.325482130050659,"(63.3294328507741, 10.080068644104651)","(63.33046646663651, 10.077735368976947)","(63.32978082714167, 10.081259441388864)"
60,4.8318281173706055,"(63.32943552457714, 10.08007189086549)","(63.33046493874905, 10.077741480526761)","(63.32978369193064, 10.081257149557684)"
61,4.9995880126953125,"(63.32943819838019, 10.080075137626329)","(63.3304634108616, 10.077747401090644)","(63.32978655671962, 10.081254857726503)"
62,5.325215101242065,"(63.32944087218323, 10.080078384387168)","(63.33046188297415, 10.077753321654528)","(63.32978942150859, 10.081252565895323)"
63,5.831347942352295,"(63.329443545986265, 10.080081631148008)","(63.33046035508669, 10.077759242218411)","(63.32979209531164, 10.081250274064143)"
64,6.000211000442505,"(63.329446219789304, 10.080084877908847)","(63.330459018185174, 10.077765353768227)","(63.32979476911468, 10.081247982232963)"
65,6.325237035751343,"(63.329449084578286, 10.080088124669686)","(63.33045768128365, 10.07777146531804)","(63.32979744291772, 10.081245690401783)"
66,6.831279039382935,"(63.32945194936726, 10.080091371430525)","(63.33045634438213, 10.077777576867856)","(63.3298003077067, 10.081243398570603)"
67,6.999565124511719,"(63.32945481415624, 10.080094618191364)","(63.33045481649467, 10.077783497431739)","(63.32980317249567, 10.081241106739421)"
68,7.325293064117432,"(63.32945748795928, 10.080097864952203)","(63.330453288607224, 10.077789417995621)","(63.32980603728465, 10.081238814908241)"
69,7.8314409255981445,"(63.32946016176233, 10.080101111713043)","(63.33045176071977, 10.077795338559504)","(63.32980890207362, 10.08123652307706)"
70,7.999593019485474,"(63.329462835565366, 10.080104358473882)","(63.33045042381825, 10.07780145010932)","(63.329811766862605, 10.08123423124588)"
71,8.325228929519653,"(63.32946550936841, 10.080107605234721)","(63.33044908691672, 10.077807561659133)","(63.32981463165158, 10.081231939414698)"
72,8.831284046173096,"(63.32946818317146, 10.08011085199556)","(63.3304477500152, 10.077813673208949)","(63.329817496440555, 10.081229647583518)"
73,8.999562978744507,"(63.3294708569745, 10.080114098756399)","(63.33044622212775, 10.077819593772832)","(63.32982036122953, 10.081227355752338)"
74,9.325324058532715,"(63.32947353077755, 10.080117345517237)","(63.3304446942403, 10.077825514336714)","(63.329823226018505, 10.081225063921158)"
75,9.831314086914062,"(63.32947620458059, 10.080120592278076)","(63.33044316635284, 10.077831434900597)","(63.32982609080749, 10.081222772089978)"
