,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709566063.40362, caravela,7,111,4,3,3.0000638961792
1,1709566068.50385, caravela,7,111,10,6,3.00006604194641
2,1709566072.55366, caravela,7,111,8,4,3.00009179115295
3,1709566075.55379, caravela,7,111,6,3,3.00009894371033
4,1709566078.65375, caravela,7,111,6,3,3.00011301040649
5,1709566081.75444, caravela,7,111,4,3,3.0001208782196
6,1709566087.95367, caravela,7,111,18,6,3.0001220703125
7,1709566091.05372, caravela,7,111,10,3,3.0001380443573
8,1709566095.25446, caravela,7,111,16,5,3.00013899803162
9,1709566103.45372, caravela,7,111,32,13,3.00014305114746
10,1709566107.50385, caravela,7,111,16,4,3.00015211105347
11,1709566110.60373, caravela,7,111,16,3,3.00016307830811
12,1709566114.75366, caravela,7,111,24,5,3.00056004524231
13,1709566119.85373, caravela,7,111,30,6,3.00084495544434
14,1709566126.10367, caravela,7,111,36,8,3.00334095954895
15,1709566129.15366, caravela,7,111,18,3,3.01084899902344
16,1709566135.30374, caravela,7,111,36,8,3.04832601547241
17,1709566138.40368, caravela,7,111,18,3,3.04973387718201
18,1709566143.55366, caravela,7,111,30,7,3.04978704452515
19,1709566151.75372, caravela,7,111,48,13,3.0498058795929
20,1709566156.90365, caravela,7,111,30,7,3.04980683326721
21,1709566162.05365, caravela,7,111,30,5,3.0498468875885
22,1709566167.20387, caravela,7,111,30,5,3.04984903335571
23,1709566170.35372, caravela,7,111,18,3,3.0498640537262
24,1709566173.40388, caravela,7,111,18,3,3.04986810684204
25,1709566178.55385, caravela,7,111,30,5,3.0498960018158
26,1709566181.60375, caravela,7,111,18,3,3.04990005493164
27,1709566184.65372, caravela,7,111,18,3,3.04990291595459
28,1709566187.70367, caravela,7,111,18,3,3.04990482330322
29,1709566190.75373, caravela,7,111,18,3,3.04990792274475
30,1709566197.9039, caravela,7,111,42,7,3.04990887641907
31,1709566203.05369, caravela,7,111,30,7,3.04991316795349
32,1709566207.15363, caravela,7,111,24,5,3.04991483688354
33,1709566212.30384, caravela,7,111,30,5,3.04991984367371
34,1709566216.47636, caravela,7,111,28,5,3.0499210357666
35,1709566225.65379, caravela,7,111,72,9,3.04992198944092
36,1709566228.75376, caravela,7,111,24,3,3.04993391036987
37,1709566233.90378, caravela,7,111,40,5,3.04993414878845
38,1709566238.05371, caravela,7,111,32,4,3.04993987083435
39,1709566241.15374, caravela,7,111,24,3,3.04994201660156
40,1709566246.35377, caravela,7,111,40,6,3.04994297027588
41,1709566249.40368, caravela,7,111,24,3,3.04994511604309
42,1709566253.55368, caravela,7,111,32,5,3.04994916915894
43,1709566257.65362, caravela,7,111,32,5,3.04995012283325
44,1709566260.75375, caravela,7,111,24,3,3.04995203018188
45,1709566263.85378, caravela,7,111,30,3,3.0499529838562
46,1709566268.00381, caravela,7,111,38,5,3.04995894432068
47,1709566273.2037, caravela,7,111,52,5,3.04996299743652
48,1709566278.30383, caravela,7,111,38,6,3.04996585845947
49,1709566282.45365, caravela,7,111,36,5,3.04996705055237
50,1709566286.45406, caravela,7,111,26,5,3.04996991157532
51,1709566292.65385, caravela,7,111,48,8,3.04997181892395
52,1709566295.70378, caravela,7,111,24,3,3.04997396469116
53,1709566298.80395, caravela,7,111,24,3,3.04997491836548
54,1709566303.95372, caravela,7,111,40,6,3.04997587203979
55,1709566308.05368, caravela,7,111,34,5,3.04997706413269
56,1709566311.10366, caravela,7,111,24,3,3.04997897148132
57,1709566315.25388, caravela,7,111,32,5,3.04997897148132
58,1709566319.35372, caravela,7,111,32,4,3.04997992515564
59,1709566324.50381, caravela,7,111,40,5,3.04998207092285
60,1709566328.65371, caravela,7,111,32,4,3.04998397827148
61,1709566333.85368, caravela,7,111,40,7,3.04998803138733
62,1709566337.95478, caravela,7,111,31,4,3.04999303817749
63,1709566344.15379, caravela,7,111,55,8,3.04999613761902
64,1709566349.30389, caravela,7,111,46,5,3.04999685287476
65,1709566353.40378, caravela,7,111,32,5,3.04999709129333
66,1709566360.60372, caravela,7,111,60,7,3.04999804496765
67,1709566364.7038, caravela,7,111,48,4,3.04999995231628
68,1709566367.80374, caravela,7,111,30,3,3.05000281333923
69,1709566370.90367, caravela,7,111,24,3,3.05000400543213
70,1709566376.05458, caravela,7,111,46,6,3.05000400543213
71,1709566384.20366, caravela,7,111,66,12,3.05000901222229
72,1709566387.30383, caravela,7,111,24,3,3.05000901222229
73,1709566393.45387, caravela,7,111,48,6,3.05000901222229
74,1709566397.60381, caravela,7,111,32,4,3.05001282691956
75,1709566400.70374, caravela,7,111,20,3,3.05002188682556
76,1709566403.75401, caravela,7,111,20,3,3.05002188682556
77,1709566408.9037, caravela,7,111,22,7,3.05002307891846
78,1709566415.05363, caravela,7,111,20,7,3.05002498626709
79,1709566420.1537, caravela,7,111,10,7,3.05002593994141
80,1709566428.35364, caravela,7,111,16,10,3.05002593994141
81,1709566432.50378, caravela,7,111,8,4,3.05002784729004
82,1709566435.60366, caravela,7,111,6,3,3.05002784729004
83,1709566438.65382, caravela,7,111,6,3,3.05003094673157
84,1709566441.80381, caravela,7,111,0,3,3.0500328540802
85,1709566445.95366, caravela,7,111,6,4,3.05003499984741
0,1709566088.42356, caravela-3,7,113,56,4,3.05003595352173
1,1709566091.52375, caravela-3,7,113,10,3,3.05003786087036
2,1709566095.67356, caravela-3,7,113,12,4,3.05004000663757
3,1709566102.87352, caravela-3,7,113,21,11,3.05004191398621
4,1709566106.02398, caravela-3,7,113,9,3,3.05004405975342
5,1709566110.12373, caravela-3,7,113,16,4,3.05004906654358
6,1709566114.27351, caravela-3,7,113,20,4,3.05005192756653
7,1709566119.32374, caravela-3,7,113,25,7,3.05005288124084
8,1709566125.52404, caravela-3,7,113,25,7,3.05005383491516
9,1709566134.77354, caravela-3,7,113,41,12,3.05006003379822
10,1709566137.82352, caravela-3,7,113,15,3,3.05006194114685
11,1709566142.97352, caravela-3,7,113,25,5,3.05006694793701
12,1709566151.17359, caravela-3,7,113,40,12,3.05006694793701
13,1709566158.42356, caravela-3,7,113,32,7,3.05007004737854
14,1709566161.47445, caravela-3,7,113,9,3,3.05007004737854
15,1709566164.57384, caravela-3,7,113,15,3,3.05007195472717
16,1709566167.67374, caravela-3,7,113,15,3,3.05007481575012
17,1709566171.82351, caravela-3,7,113,20,4,3.05007600784302
18,1709566174.87352, caravela-3,7,113,15,3,3.05007791519165
19,1709566182.07354, caravela-3,7,113,35,7,3.05008316040039
20,1709566186.17354, caravela-3,7,113,20,4,3.05008888244629
21,1709566192.42354, caravela-3,7,113,31,6,3.05008983612061
22,1709566200.52353, caravela-3,7,113,32,9,3.05009293556213
23,1709566203.62353, caravela-3,7,113,18,3,3.05009603500366
24,1709566208.82393, caravela-3,7,113,27,5,3.05009603500366
25,1709566219.12365, caravela-3,7,113,65,10,3.05009794235229
26,1709566224.27712, caravela-3,7,113,38,7,3.05011010169983
