,time,asv_1,asv_2
24,0.0,"(63.32941356119499, 10.079846527466072)","(63.331669868992215, 10.079866008031107)"
25,0.5676960945129395,"(63.32941814485735, 10.079846527466072)","(63.33166528532985, 10.079866008031107)"
26,1.0001029968261719,"(63.32942272851971, 10.079846527466072)","(63.33166070166749, 10.07986572155221)"
27,1.5671820640563965,"(63.32942702570317, 10.079846527466072)","(63.33165611800513, 10.079865435073312)"
28,2.0001649856567383,"(63.329431322886634, 10.079846527466072)","(63.33165153434277, 10.079865435073312)"
29,2.567652940750122,"(63.329435906549, 10.07984681394497)","(63.331646950680415, 10.079865435073312)"
30,2.9999020099639893,"(63.32944049021137, 10.079847100423867)","(63.33164236701805, 10.079865435073312)"
31,3.5675339698791504,"(63.32944507387373, 10.079847100423867)","(63.33163778335568, 10.079865435073312)"
32,4.000261068344116,"(63.32944965753608, 10.079847100423867)","(63.33163319969333, 10.079865435073312)"
33,4.567434072494507,"(63.32945424119844, 10.079847100423867)","(63.33162861603097, 10.079865435073312)"
34,5.0006489753723145,"(63.3294588248608, 10.079847100423867)","(63.33162403236861, 10.079865435073312)"
35,5.567219972610474,"(63.329463122044274, 10.079847100423867)","(63.33161944870625, 10.079865435073312)"
36,5.999936103820801,"(63.32946741922774, 10.079847100423867)","(63.33161486504389, 10.079865435073312)"
37,6.567194938659668,"(63.3294720028901, 10.079847100423867)","(63.33161028138152, 10.079865435073312)"
38,6.9999120235443115,"(63.32947658655245, 10.079847100423867)","(63.33160569771916, 10.079865435073312)"
39,7.567316055297852,"(63.32948117021481, 10.079847386902765)","(63.3316011140568, 10.079865435073312)"
40,7.999886989593506,"(63.32948575387717, 10.079847673381662)","(63.331596530394435, 10.079865148594415)"
41,8.567384958267212,"(63.32949033753954, 10.079847673381662)","(63.331591946732075, 10.079864862115517)"
42,8.999804019927979,"(63.329494921201906, 10.079847673381662)","(63.331587363069715, 10.079864862115517)"
43,9.567301988601685,"(63.32949950486426, 10.079847673381662)","(63.331582779407356, 10.079864862115517)"
44,10.00029993057251,"(63.32950408852662, 10.079847673381662)","(63.331578195744996, 10.079864862115517)"
45,10.5674569606781,"(63.329508385710085, 10.079847673381662)","(63.331573612082636, 10.079864862115517)"
46,11.000661134719849,"(63.329512682893544, 10.079847673381662)","(63.331569028420276, 10.079864862115517)"
47,11.567331075668335,"(63.32951726655591, 10.07984795986056)","(63.33156444475791, 10.079864862115517)"
48,12.000557899475098,"(63.32952185021828, 10.079848246339457)","(63.33156014757445, 10.079864862115517)"
49,12.567179918289185,"(63.32952643388063, 10.079848246339457)","(63.331555850390984, 10.079864862115517)"
50,12.999984979629517,"(63.32953101754299, 10.079848246339457)","(63.331551266728624, 10.079864862115517)"
51,13.567584991455078,"(63.32953560120535, 10.079848246339457)","(63.331546683066264, 10.079864862115517)"
52,13.999943017959595,"(63.32954018486771, 10.079848246339457)","(63.331542099403904, 10.079864862115517)"
53,14.567368030548096,"(63.329544482051176, 10.079848246339457)","(63.33153751574154, 10.079864862115517)"
54,14.999933958053589,"(63.329548779234635, 10.079848246339457)","(63.33153293207918, 10.07986457563662)"
55,15.567219018936157,"(63.329553362897, 10.079848246339457)","(63.33152834841682, 10.079864289157722)"
56,16.000410079956055,"(63.32955794655937, 10.079848246339457)","(63.33152376475446, 10.079864289157722)"
57,16.567223072052002,"(63.32956253022172, 10.079848532818355)","(63.3315191810921, 10.079864289157722)"
58,17.000741004943848,"(63.32956711388408, 10.079848819297252)","(63.33151459742973, 10.079864289157722)"
59,17.567227125167847,"(63.32957169754645, 10.079848819297252)","(63.33151001376737, 10.079864289157722)"
60,18.000230073928833,"(63.329576281208816, 10.079848819297252)","(63.33150543010501, 10.079864289157722)"
61,18.56748390197754,"(63.32958057839228, 10.079848819297252)","(63.33150084644265, 10.079864289157722)"
62,18.99994707107544,"(63.32958487557574, 10.079848819297252)","(63.33149626278029, 10.079864289157722)"
63,19.567219972610474,"(63.32958945923809, 10.079848819297252)","(63.33149167911794, 10.079864289157722)"
64,19.999962091445923,"(63.32959404290045, 10.079848819297252)","(63.331487381934465, 10.079864289157722)"
65,20.567268133163452,"(63.32959862656281, 10.079849105776152)","(63.331483084751, 10.079864289157722)"
66,21.000004053115845,"(63.32960321022517, 10.07984939225505)","(63.33147850108864, 10.079864289157722)"
67,21.56718611717224,"(63.32960750740864, 10.07984939225505)","(63.33147391742628, 10.079864289157722)"
68,21.999911069869995,"(63.32961180459211, 10.07984939225505)","(63.33146933376392, 10.079864002678825)"
69,22.567631006240845,"(63.32961638825447, 10.07984939225505)","(63.33146475010156, 10.079863716199926)"
70,22.999889135360718,"(63.32962097191683, 10.07984939225505)","(63.3314601664392, 10.079863716199926)"
71,23.56730008125305,"(63.329625555579184, 10.07984939225505)","(63.33145558277683, 10.079863716199926)"
72,23.999906063079834,"(63.329630139241544, 10.07984939225505)","(63.33145099911447, 10.079863716199926)"
73,24.567291021347046,"(63.32963472290391, 10.07984939225505)","(63.33144641545211, 10.079863716199926)"
74,24.9999680519104,"(63.32963930656628, 10.07984939225505)","(63.33144183178976, 10.079863716199926)"
75,25.5674889087677,"(63.329643603749744, 10.079849678733947)","(63.3314372481274, 10.079863716199926)"
76,25.999924898147583,"(63.3296479009332, 10.079849965212844)","(63.331432950943935, 10.079863716199926)"
77,26.567363023757935,"(63.329652484595556, 10.079849965212844)","(63.33142865376046, 10.079863716199926)"
78,26.99991512298584,"(63.329657068257916, 10.079849965212844)","(63.3314240700981, 10.079863716199926)"
79,27.567402124404907,"(63.32966165192028, 10.079849965212844)","(63.33141948643574, 10.079863716199926)"
80,28.00055694580078,"(63.32966623558265, 10.079849965212844)","(63.33141490277338, 10.079863716199926)"
81,28.567222118377686,"(63.329670532766116, 10.079849965212844)","(63.33141031911102, 10.079863716199926)"
82,29.00011897087097,"(63.329674829949575, 10.079849965212844)","(63.331405735448655, 10.079863716199926)"
83,29.567158937454224,"(63.329679413611935, 10.079850251691742)","(63.331401151786295, 10.079863716199926)"
84,30.000612020492554,"(63.329683997274294, 10.07985053817064)","(63.331396568123935, 10.079863429721028)"
85,30.567222118377686,"(63.32968858093665, 10.07985053817064)","(63.331391984461575, 10.07986314324213)"
86,30.999905109405518,"(63.32969316459901, 10.07985053817064)","(63.33138768727811, 10.07986314324213)"
87,31.567238092422485,"(63.329697748261374, 10.07985053817064)","(63.33138339009465, 10.07986314324213)"
88,31.999902963638306,"(63.32970233192374, 10.07985053817064)","(63.331378806432284, 10.07986314324213)"
89,32.567349910736084,"(63.32970662910721, 10.07985053817064)","(63.331374222769924, 10.07986314324213)"
90,33.00021004676819,"(63.329710926290666, 10.07985053817064)","(63.331369639107564, 10.07986314324213)"
91,33.56738996505737,"(63.329715509953026, 10.07985053817064)","(63.331365055445204, 10.07986314324213)"
92,34.000032901763916,"(63.329720093615386, 10.07985053817064)","(63.331360471782844, 10.07986314324213)"
93,34.56751203536987,"(63.32972467727775, 10.079850824649537)","(63.33135588812049, 10.07986314324213)"
94,34.999759912490845,"(63.32972926094011, 10.079851111128432)","(63.331351590937025, 10.07986314324213)"
95,35.567259073257446,"(63.32973355812358, 10.079851111128432)","(63.33134729375356, 10.07986314324213)"
96,36.000231981277466,"(63.32973785530704, 10.079851111128432)","(63.33134271009119, 10.07986314324213)"
97,36.567198038101196,"(63.3297424389694, 10.079851111128432)","(63.33133812642883, 10.07986314324213)"
98,37.0004141330719,"(63.32974702263176, 10.079851111128432)","(63.33133354276647, 10.079862856763233)"
99,37.56724309921265,"(63.32975160629411, 10.079851111128432)","(63.33132895910411, 10.079862570284336)"
100,37.99994707107544,"(63.32975618995647, 10.079851111128432)","(63.33132437544175, 10.079862570284336)"
101,38.567487955093384,"(63.329760487139936, 10.07985139760733)","(63.331319791779386, 10.079862570284336)"
102,38.99995708465576,"(63.32976478432341, 10.079851684086227)","(63.331315208117026, 10.079862570284336)"
103,39.56744694709778,"(63.32976936798577, 10.079851684086227)","(63.331310624454666, 10.079862570284336)"
104,40.000396966934204,"(63.32977395164813, 10.079851684086227)","(63.33130632727121, 10.079862570284336)"
105,40.56766891479492,"(63.32977853531049, 10.079851684086227)","(63.33130203008774, 10.079862570284336)"
106,40.99991297721863,"(63.32978311897285, 10.079851684086227)","(63.33129744642538, 10.079862570284336)"
107,41.56721496582031,"(63.329787702635215, 10.079851684086227)","(63.33129286276303, 10.079862570284336)"
108,42.000219106674194,"(63.329792286297575, 10.079851684086227)","(63.33128827910066, 10.079862570284336)"
109,42.56746292114258,"(63.32979658348104, 10.079851684086227)","(63.331283695438295, 10.079862570284336)"
110,43.00022792816162,"(63.3298008806645, 10.079851684086227)","(63.331279111775935, 10.079862570284336)"
111,43.56712007522583,"(63.32980546432686, 10.079851970565127)","(63.331274528113575, 10.079862570284336)"
112,43.99990892410278,"(63.32981004798922, 10.079852257044024)","(63.331270230930116, 10.079862283805438)"
113,44.56769108772278,"(63.32981463165159, 10.079852257044024)","(63.33126593374665, 10.07986199732654)"
114,45.00005102157593,"(63.32981921531395, 10.079852257044024)","(63.33126135008429, 10.07986199732654)"
115,45.567371129989624,"(63.32982351249741, 10.079852257044024)","(63.33125676642192, 10.07986199732654)"
116,46.000288009643555,"(63.32982780968087, 10.079852257044024)","(63.33125218275956, 10.07986199732654)"
117,46.567163944244385,"(63.32983239334323, 10.079852257044024)","(63.3312475990972, 10.07986199732654)"
