,time,asv_1,asv_2
32,0.0,"(63.3294124152794, 10.07988205084937)","(63.33056119565863, 10.082025485960955)"
33,0.5657379627227783,"(63.32941699894177, 10.079884629159448)","(63.33056176861643, 10.082015172720642)"
34,0.999985933303833,"(63.32942158260413, 10.079887207469527)","(63.33056205509533, 10.082005145959227)"
35,1.566330909729004,"(63.32942587978759, 10.079889785779606)","(63.330562341574236, 10.081995119197813)"
36,2.000166893005371,"(63.32943017697105, 10.079892364089684)","(63.330562914532024, 10.081985092436398)"
37,2.5660040378570557,"(63.32943447415451, 10.079894942399761)","(63.33056348748982, 10.081975065674984)"
38,3.0004870891571045,"(63.329438771337976, 10.07989752070984)","(63.33056377396871, 10.08196503891357)"
39,3.5657780170440674,"(63.329443355000336, 10.079900099019918)","(63.33056406044761, 10.081955012152154)"
40,4.0000059604644775,"(63.329447938662696, 10.079902677329995)","(63.3305646334054, 10.081944985390738)"
41,4.565680980682373,"(63.32945223584616, 10.079905255640075)","(63.330565206363204, 10.081934958629324)"
42,5.000385999679565,"(63.32945653302962, 10.079907833950152)","(63.3305654928421, 10.08192493186791)"
43,5.5657429695129395,"(63.32946111669199, 10.07991041226023)","(63.330565779321, 10.081914905106494)"
44,6.000253915786743,"(63.32946570035435, 10.079912990570309)","(63.33056606579989, 10.08190487834508)"
45,6.565623998641968,"(63.329469997537814, 10.079915568880386)","(63.33056635227879, 10.081894851583666)"
46,7.000431060791016,"(63.32947429472128, 10.079918147190464)","(63.33056692523658, 10.08188482482225)"
47,7.565764904022217,"(63.329478591904746, 10.079920439021645)","(63.330567498194384, 10.081874798060836)"
48,7.999985933303833,"(63.329482889088204, 10.079922730852825)","(63.33056778467328, 10.08186477129942)"
49,8.565739870071411,"(63.32948747275056, 10.079925309162903)","(63.33056807115217, 10.081854744538004)"
50,9.00042200088501,"(63.32949205641292, 10.079927887472982)","(63.330568644109974, 10.08184471777659)"
51,9.565764904022217,"(63.32949635359638, 10.07993046578306)","(63.33056921706777, 10.081834691015176)"
