time, system, entity , mmsi, msg_in, msg_out,iter_time
1709502674.1114, caravela,7,111,10,7,
1709502677.21473, caravela,7,111,9,3,3.10333490371704
1709502681.36132, caravela,7,111,12,5,4.1465859413147
1709502686.46143, caravela,7,111,15,5,5.10011219978333
1709502690.56227, caravela,7,111,12,4,4.10083889961243
1709502694.71318, caravela,7,111,12,5,4.15090990066528
1709502702.96153, caravela,7,111,24,8,8.24835109710693
1709502706.06173, caravela,7,111,9,3,3.1001980304718
1709502711.26169, caravela,7,111,15,5,5.19996094703674
1709502715.41308, caravela,7,111,12,4,4.15139102935791
1709502720.51305, caravela,7,111,15,5,5.0999698638916
1709502723.56184, caravela,7,111,9,3,3.04879212379456
1709502727.66172, caravela,7,111,12,4,4.09987592697144
1709502731.76183, caravela,7,111,12,4,4.10011100769043
1709502734.91245, caravela,7,111,9,3,3.15061807632446
1709502742.16379, caravela,7,111,21,7,7.25134587287903
1709502747.31202, caravela,7,111,15,6,5.14822506904602
1709502759.71161, caravela,7,111,36,12,12.3995900154114
1709502763.86137, caravela,7,111,12,4,4.14975905418396
1709502767.91313, caravela,7,111,12,4,4.05176186561585
1709502773.06183, caravela,7,111,15,7,5.14869904518127
1709502778.26206, caravela,7,111,15,5,5.20023012161255
1709502782.36154, caravela,7,111,12,4,4.09948682785034
1709502785.46167, caravela,7,111,9,3,3.10013008117676
1709502789.56165, caravela,7,111,12,4,4.09997391700745
1709502794.71323, caravela,7,111,18,7,5.1515851020813
1709502799.91139, caravela,7,111,15,6,5.19815802574158
1709502802.91249, caravela,7,111,9,3,3.00109696388245
1709502807.01198, caravela,7,111,12,4,4.09949612617493
1709502810.06143, caravela,7,111,4,3,3.0494499206543
1709502672.16449, caravela-3,7,113,10,6,
1709502675.21563, caravela-3,7,113,6,3,3.05114793777466
1709502679.36447, caravela-3,7,113,8,4,4.14883804321289
1709502684.46873, caravela-3,7,113,10,5,5.10425996780396
1709502688.56478, caravela-3,7,113,8,4,4.09604907035828
1709502692.66441, caravela-3,7,113,8,4,4.09963488578796
1709502699.86633, caravela-3,7,113,14,8,7.20191121101379
1709502702.96595, caravela-3,7,113,6,3,3.09962487220764
1709502708.11453, caravela-3,7,113,10,7,5.14857506752014
1709502712.26449, caravela-3,7,113,8,5,4.14996886253357
1709502717.41542, caravela-3,7,113,10,7,5.1509211063385
1709502720.4679, caravela-3,7,113,6,3,3.0524799823761
1709502724.66589, caravela-3,7,113,8,4,4.197998046875
1709502728.76461, caravela-3,7,113,8,5,4.09872007369995
1709502731.81568, caravela-3,7,113,6,3,3.0510618686676
1709502738.9644, caravela-3,7,113,14,10,7.14872312545776
1709502745.2147, caravela-3,7,113,12,6,6.25030183792114
1709502753.36481, caravela-3,7,113,16,13,8.15011096000671
1709502760.56441, caravela-3,7,113,14,8,7.1995952129364
1709502764.61519, caravela-3,7,113,8,5,4.0507869720459
1709502770.71572, caravela-3,7,113,12,6,6.10053086280823
1709502774.91443, caravela-3,7,113,8,4,4.19870400428772
1709502778.96536, caravela-3,7,113,8,5,4.05093002319336
1709502782.06461, caravela-3,7,113,6,3,3.09925293922424
1709502786.1646, caravela-3,7,113,8,5,4.0999870300293
1709502789.21579, caravela-3,7,113,6,3,3.05119395256042
1709502793.31458, caravela-3,7,113,7,4,4.09878420829773
1709502798.41451, caravela-3,7,113,10,5,5.09993195533752
1709502801.465, caravela-3,7,113,6,3,3.05049085617065
1709502804.56448, caravela-3,7,113,6,3,3.09948205947876
1709673534.8266, caravela,7,111,13,5,
1709673537.8766, caravela,7,111,10,3,3.05000495910645
1709673545.07663, caravela,7,111,21,8,7.20002412796021
1709673549.12696, caravela,7,111,12,5,4.05033087730408
1709673552.22671, caravela,7,111,9,3,3.09975290298462
1709673556.32648, caravela,7,111,12,5,4.09976720809937
1709673559.42839, caravela,7,111,9,3,3.10190987586975
1709673567.67647, caravela,7,111,24,13,8.24808311462402
1709673570.72684, caravela,7,111,5,3,3.0503659248352
1709673577.87676, caravela,7,111,21,9,7.14992594718933
1709673581.02656, caravela,7,111,9,3,3.14979815483093
1709673584.07661, caravela,7,111,9,3,3.05005192756653
1709673588.2268, caravela,7,111,12,4,4.1501898765564
1709673595.42651, caravela,7,111,21,9,7.19971013069153
1709673603.67646, caravela,7,111,22,12,8.24995303153992
1709673606.72677, caravela,7,111,6,3,3.05030488967895
1709673610.82638, caravela,7,111,12,5,4.09961104393005
1709673613.87655, caravela,7,111,9,3,3.0501720905304
1709673619.0268, caravela,7,111,15,6,5.15024590492249
1709673623.12706, caravela,7,111,12,4,4.10026407241821
1709673628.32678, caravela,7,111,15,6,5.19971680641174
1709673632.47675, caravela,7,111,13,4,4.14996814727783
1709673638.57668, caravela,7,111,18,6,6.09993004798889
1709673641.57706, caravela,7,111,10,3,3.00038194656372
1709673645.67671, caravela,7,111,12,4,4.09964990615845
1709673648.72693, caravela,7,111,9,3,3.05022406578064
1709673652.82679, caravela,7,111,12,4,4.09986090660095
1709673658.97732, caravela,7,111,18,9,6.15052103996277
1709673662.0269, caravela,7,111,9,3,3.04958605766296
1709673666.1268, caravela,7,111,12,4,4.09990096092224
1709673669.22679, caravela,7,111,4,3,3.09999203681946
1709673672.32677, caravela,7,111,3,3,3.09997701644897
1709673526.90814, caravela-3,7,113,9,6,
1709673530.00726, caravela-3,7,113,7,3,3.09911918640137
1709673534.15696, caravela-3,7,113,8,4,4.14970588684082
1709673538.25821, caravela-3,7,113,8,4,4.10124611854553
1709673542.357, caravela-3,7,113,8,4,4.09879398345947
1709673545.45798, caravela-3,7,113,6,3,3.10097789764404
1709673549.73325, caravela-3,7,113,8,4,4.27526807785034
1709673552.75756, caravela-3,7,113,6,3,3.02430891990662
1709673561.05802, caravela-3,7,113,16,8,8.30046510696411
1709673564.15685, caravela-3,7,113,6,3,3.09883189201355
1709673567.20706, caravela-3,7,113,6,3,3.05020809173584
1709673571.30699, caravela-3,7,113,8,4,4.09992504119873
1709673574.35864, caravela-3,7,113,6,3,3.05164980888367
1709673577.45819, caravela-3,7,113,6,3,3.09955716133118
1709673580.55742, caravela-3,7,113,6,3,3.09923100471497
1709673584.60805, caravela-3,7,113,8,4,4.05062484741211
1709673588.65821, caravela-3,7,113,8,4,4.0501561164856
1709673596.85789, caravela-3,7,113,16,8,8.19968986511231
1709673599.95721, caravela-3,7,113,6,3,3.09931921958923
1709673604.0072, caravela-3,7,113,8,4,4.04998588562012
1709673607.1078, caravela-3,7,113,6,3,3.10060405731201
1709673612.22762, caravela-3,7,113,10,5,5.11981201171875
1709673615.31039, caravela-3,7,113,6,3,3.08277702331543
1709673618.40716, caravela-3,7,113,6,3,3.0967710018158
1709673621.45797, caravela-3,7,113,6,3,3.05081081390381
1709673624.55715, caravela-3,7,113,7,3,3.09917807579041
1709673630.65928, caravela-3,7,113,13,7,6.10213112831116
1709673634.80721, caravela-3,7,113,8,4,4.14792084693909
1709673637.90722, caravela-3,7,113,6,3,3.10001802444458
1709673640.95723, caravela-3,7,113,6,3,3.05001091957092
1709673645.00739, caravela-3,7,113,8,4,4.05015110969543
1709673652.31069, caravela-3,7,113,14,7,7.30330491065979
1709673655.45704, caravela-3,7,113,6,3,3.1463451385498
1709673658.45757, caravela-3,7,113,6,3,3.00053691864014
1710840520.80386, caravela,7,111,5,3,
1710840523.85521, caravela,7,111,11,3,3.05134701728821
1710840529.05429, caravela,7,111,17,5,5.1990749835968
1710840532.15412, caravela,7,111,11,3,3.09983491897583
1710840537.35404, caravela,7,111,16,7,5.19991397857666
1710840541.45392, caravela,7,111,13,4,4.09988307952881
1710840546.60504, caravela,7,111,16,6,5.15111899375916
1710840553.80454, caravela,7,111,25,9,7.19950103759766
1710840560.10476, caravela,7,111,20,8,6.30022501945496
1710840564.2053, caravela,7,111,12,4,4.10053300857544
1710840573.45401, caravela,7,111,27,9,9.24870896339417
1710840577.60662, caravela,7,111,12,5,4.15261888504028
1710840583.854, caravela,7,111,18,6,6.24737310409546
1710840589.95624, caravela,7,111,18,6,6.10224509239197
1710840596.15363, caravela,7,111,18,6,6.19738793373108
1710840600.20525, caravela,7,111,12,4,4.05161595344543
1710840606.35381, caravela,7,111,18,6,6.14856004714966
1710840611.45364, caravela,7,111,16,7,5.09983086585999
1710840616.65399, caravela,7,111,15,5,5.2003481388092
1710840619.7046, caravela,7,111,9,3,3.0506100654602
1710840518.28732, caravela-3,7,113,6,4,
1710840521.38716, caravela-3,7,113,7,3,3.0998330116272
1710840525.53706, caravela-3,7,113,10,5,4.1499080657959
1710840528.63716, caravela-3,7,113,8,3,3.10009789466858
1710840534.83748, caravela-3,7,113,13,6,6.20032095909119
1710840537.88738, caravela-3,7,113,8,3,3.04989695549011
1710840540.98749, caravela-3,7,113,6,3,3.10010814666748
1710840544.08753, caravela-3,7,113,7,3,3.10003900527954
1710840551.33757, caravela-3,7,113,17,7,7.25004696846008
1710840557.53672, caravela-3,7,113,15,6,6.19914197921753
1710840560.5872, caravela-3,7,113,6,3,3.05048012733459
1710840569.73782, caravela-3,7,113,18,12,9.15062284469605
1710840574.83707, caravela-3,7,113,10,5,5.09924793243408
1710840580.0369, caravela-3,7,113,10,6,5.19983506202698
1710840586.28693, caravela-3,7,113,12,9,6.25002503395081
1710840592.38738, caravela-3,7,113,12,6,6.10045504570007
1710840596.48721, caravela-3,7,113,8,4,4.09983086585999
1710840602.68725, caravela-3,7,113,12,8,6.20003819465637
1710840608.98692, caravela-3,7,113,12,6,6.29966497421265
1710840613.04816, caravela-3,7,113,9,4,4.0612428188324
1710840617.13677, caravela-3,7,113,8,4,4.08861517906189
1710840751.43602, caravela,7,111,6,3,
1710840757.58587, caravela,7,111,18,9,6.14985084533691
1710840762.78634, caravela,7,111,15,5,5.20046401023865
1710840767.9359, caravela,7,111,15,5,5.1495680809021
1710840772.08665, caravela,7,111,12,4,4.15074706077576
1710840781.33584, caravela,7,111,29,11,9.24919080734253
1710840786.53601, caravela,7,111,16,5,5.2001690864563
1710840789.636, caravela,7,111,9,3,3.09998798370361
1710840795.73602, caravela,7,111,18,6,6.10002493858337
1710840806.08573, caravela,7,111,30,11,10.3497090339661
1710840811.23582, caravela,7,111,15,7,5.15008401870728
1710840815.28679, caravela,7,111,12,4,4.0509729385376
1710840818.38589, caravela,7,111,9,3,3.09910416603088
1710840821.5453, caravela,7,111,9,3,3.15940690040588
1710840826.68826, caravela,7,111,15,5,5.14296007156372
1710840830.78604, caravela,7,111,12,4,4.09777808189392
1710840834.88565, caravela,7,111,12,5,4.099613904953
1710840837.88681, caravela,7,111,9,3,3.00115609169006
1710840844.0356, caravela,7,111,19,6,6.14879393577576
1710840847.08565, caravela,7,111,9,3,3.05004501342773
1710840850.13619, caravela,7,111,11,3,3.05054593086243
1710840854.23626, caravela,7,111,14,4,4.10006904602051
1710840859.43599, caravela,7,111,11,3,5.19973087310791
1710840862.5358, caravela,7,111,3,3,3.09980511665344
1710840749.47751, caravela-3,7,113,6,4,
1710840755.62964, caravela-3,7,113,12,6,6.15212893486023
1710840759.77778, caravela-3,7,113,8,5,4.14813208580017
1710840764.88302, caravela-3,7,113,10,7,5.10524201393127
1710840770.07812, caravela-3,7,113,10,5,5.1951060295105
1710840775.32752, caravela-3,7,113,10,7,5.2493999004364
1710840779.42828, caravela-3,7,113,10,4,4.10075402259827
1710840783.47954, caravela-3,7,113,9,4,4.05126595497131
1710840786.57768, caravela-3,7,113,6,3,3.09814095497131
1710840792.67819, caravela-3,7,113,12,9,6.10050702095032
1710840800.92854, caravela-3,7,113,16,13,8.25035095214844
1710840803.97867, caravela-3,7,113,6,3,3.05012917518616
1710840809.12887, caravela-3,7,113,10,5,5.15020084381104
1710840812.1776, caravela-3,7,113,6,3,3.04872512817383
1710840815.22804, caravela-3,7,113,6,3,3.05044293403625
1710840818.33414, caravela-3,7,113,6,3,3.10609793663025
1710840823.529, caravela-3,7,113,10,7,5.19486403465271
1710840827.62772, caravela-3,7,113,8,5,4.09871816635132
1710840832.77833, caravela-3,7,113,10,5,5.15060782432556
1710840835.92859, caravela-3,7,113,6,3,3.15025901794434
1710840841.02767, caravela-3,7,113,11,7,5.09908509254456
1710840844.07818, caravela-3,7,113,6,3,3.05050897598267
1710840848.23032, caravela-3,7,113,9,4,4.1521430015564
1710840851.32751, caravela-3,7,113,8,3,3.09718990325928
1710840854.42933, caravela-3,7,113,8,3,3.10181212425232
1710840998.28717, caravela,7,111,8,5,
1710841002.38804, caravela,7,111,12,4,4.10086703300476
1710841007.53747, caravela,7,111,18,5,5.14943194389343
1710841015.78758, caravela,7,111,24,11,8.25010490417481
1710841020.93872, caravela,7,111,12,7,5.15114712715149
1710841024.03751, caravela,7,111,12,3,3.09878587722778
1710841027.08766, caravela,7,111,9,3,3.05014705657959
1710841031.18936, caravela,7,111,12,4,4.10170412063599
1710841037.38779, caravela,7,111,15,7,6.19843292236328
1710841040.48718, caravela,7,111,12,3,3.09938597679138
1710841045.63841, caravela,7,111,15,6,5.15122699737549
1710841049.73915, caravela,7,111,12,4,4.10074591636658
1710841055.83889, caravela,7,111,15,6,6.09974002838135
1710841065.13777, caravela,7,111,30,10,9.29887509346008
1710841072.28737, caravela,7,111,21,10,7.14960408210754
1710841080.43844, caravela,7,111,24,12,8.1510648727417
1710841084.54201, caravela,7,111,12,5,4.10357093811035
1710841087.58885, caravela,7,111,9,3,3.04683899879456
1710841093.73737, caravela,7,111,15,9,6.1485230922699
1710841097.88753, caravela,7,111,10,5,4.15016102790833
1710840995.36961, caravela-3,7,113,8,5,
1710840998.42033, caravela-3,7,113,6,3,3.05071806907654
1710841001.47026, caravela-3,7,113,5,3,3.04993104934692
1710841005.56998, caravela-3,7,113,8,4,4.09972786903381
1710841008.66958, caravela-3,7,113,7,3,3.0995991230011
1710841013.82002, caravela-3,7,113,9,5,5.15043497085571
1710841017.96947, caravela-3,7,113,9,4,4.14945602416992
1710841022.01984, caravela-3,7,113,7,4,4.05036783218384
1710841025.07024, caravela-3,7,113,6,3,3.05040216445923
1710841028.16954, caravela-3,7,113,6,3,3.09929203987122
1710841031.26948, caravela-3,7,113,6,3,3.09994697570801
1710841034.41947, caravela-3,7,113,7,3,3.14998197555542
1710841037.47028, caravela-3,7,113,5,3,3.05081582069397
1710841043.6197, caravela-3,7,113,12,6,6.14941906929016
1710841046.72041, caravela-3,7,113,6,3,3.10071301460266
1710841051.82, caravela-3,7,113,10,5,5.09959006309509
1710841055.91956, caravela-3,7,113,8,5,4.09955286979675
1710841060.01953, caravela-3,7,113,8,4,4.09997820854187
1710841063.06976, caravela-3,7,113,6,3,3.05022192001343
1710841070.21963, caravela-3,7,113,14,7,7.1498749256134
1710841079.41945, caravela-3,7,113,18,9,9.19981694221497
1710841082.4697, caravela-3,7,113,6,3,3.05025315284729
1710841085.5699, caravela-3,7,113,6,3,3.10019493103027
1710841091.77001, caravela-3,7,113,12,6,6.20010995864868
1710841095.87217, caravela-3,7,113,8,4,4.10215997695923
1710841098.97001, caravela-3,7,113,6,3,3.09784317016602
