,time,asv_1,asv_2
31,0.0,"(63.32941356119499, 10.079843662677098)","(63.33054859058714, 10.082044107089295)"
32,0.9355239868164062,"(63.32941814485735, 10.079843662677098)","(63.33054859058714, 10.082034080327881)"
33,0.9998741149902344,"(63.32942272851971, 10.079843662677098)","(63.33054859058714, 10.082024053566467)"
34,1.9354910850524902,"(63.32942702570317, 10.079843662677098)","(63.33054859058714, 10.082014026805052)"
35,1.9993491172790527,"(63.329431322886634, 10.079843662677098)","(63.330548877066036, 10.082004000043636)"
36,2.9364259243011475,"(63.329435906549, 10.0798433761982)","(63.33054916354494, 10.081993973282222)"
37,2.999479055404663,"(63.32944049021137, 10.079843089719303)","(63.33054916354494, 10.08198366004191)"
38,3.9357430934906006,"(63.32944507387373, 10.079843089719303)","(63.33054916354494, 10.081973346801599)"
39,4.000757932662964,"(63.32944965753608, 10.079843089719303)","(63.33054916354494, 10.081963320040185)"
40,4.935334920883179,"(63.32945424119844, 10.079843089719303)","(63.33054916354494, 10.081953293278769)"
41,4.999783039093018,"(63.3294588248608, 10.079843089719303)","(63.33054916354494, 10.081943266517353)"
42,5.935348987579346,"(63.32946340852317, 10.079843089719303)","(63.33054916354494, 10.081933239755939)"
43,5.999923944473267,"(63.32946799218553, 10.079843089719303)","(63.33054916354494, 10.081923212994525)"
44,6.935588121414185,"(63.329472289368994, 10.079843089719303)","(63.33054916354494, 10.081913186233109)"
45,6.9997570514678955,"(63.32947658655245, 10.079843089719303)","(63.33054916354494, 10.081903159471693)"
46,7.9364659786224365,"(63.32948117021481, 10.079843089719303)","(63.33054916354494, 10.08189313271028)"
47,7.999434947967529,"(63.32948575387717, 10.079843089719303)","(63.33054916354494, 10.081882819469968)"
48,8.935866117477417,"(63.32949033753954, 10.079843089719303)","(63.33054916354494, 10.081872506229654)"
49,8.999689102172852,"(63.329494921201906, 10.079843089719303)","(63.33054916354494, 10.08186247946824)"
50,9.93602705001831,"(63.32949950486426, 10.079843089719303)","(63.33054916354494, 10.081852452706826)"
51,9.99962306022644,"(63.32950408852662, 10.079843089719303)","(63.33054916354494, 10.08184242594541)"
