time, system, entity , mmsi, msg_in, msg_out,iter_time
1709502624.62894, caravela,7,111,20,8,
1709502627.72808, caravela,7,111,9,3,3.09913802146912
1709502639.02879, caravela,7,111,35,13,11.3007099628448
1709502644.28016, caravela,7,111,15,7,5.25137186050415
1709502648.37958, caravela,7,111,12,5,4.09941816329956
1709502651.52762, caravela,7,111,9,3,3.14804196357727
1709502655.62799, caravela,7,111,12,5,4.10037088394165
1709502658.72888, caravela,7,111,9,3,3.10089015960693
1709502662.9277, caravela,7,111,12,5,4.19881701469421
1709502665.97766, caravela,7,111,9,3,3.04996585845947
1709502671.07844, caravela,7,111,15,5,5.10077714920044
1709502675.22754, caravela,7,111,12,4,4.14910101890564
1709502679.27871, caravela,7,111,12,4,4.0511679649353
1709502682.37961, caravela,7,111,9,3,3.10089898109436
1709502685.42893, caravela,7,111,9,3,3.04932188987732
1709502688.52806, caravela,7,111,9,3,3.09912705421448
1709502692.6286, caravela,7,111,12,4,4.10054087638855
1709502697.83283, caravela,7,111,15,5,5.20423102378845
1709502700.92835, caravela,7,111,9,3,3.09551405906677
1709502705.07764, caravela,7,111,12,4,4.14929294586182
1709502710.22755, caravela,7,111,15,5,5.14991307258606
1709502713.22871, caravela,7,111,9,3,3.00115895271301
1709502613.66753, caravela-3,7,113,10,9,
1709502616.76685, caravela-3,7,113,6,3,3.09932112693787
1709502619.86792, caravela-3,7,113,6,3,3.10106992721558
1709502624.0166, caravela-3,7,113,8,4,4.14868497848511
1709502627.01874, caravela-3,7,113,6,3,3.00213408470154
1709502631.16711, caravela-3,7,113,10,4,4.14837002754211
1709502636.31828, caravela-3,7,113,11,5,5.15117192268372
1709502640.41706, caravela-3,7,113,8,4,4.09877800941467
1709502643.46666, caravela-3,7,113,6,3,3.04960608482361
1709502647.61864, caravela-3,7,113,8,4,4.15197491645813
1709502650.71817, caravela-3,7,113,6,3,3.09953498840332
1709502654.81921, caravela-3,7,113,8,4,4.10103392601013
1709502657.86733, caravela-3,7,113,6,3,3.04812097549438
1709502662.0672, caravela-3,7,113,8,5,4.19987106323242
1709502667.16712, caravela-3,7,113,10,5,5.0999219417572
1709502670.21887, caravela-3,7,113,6,3,3.0517520904541
1709502674.3669, caravela-3,7,113,8,4,4.14802193641663
1709502677.4213, caravela-3,7,113,6,3,3.0544011592865
1709502680.51835, caravela-3,7,113,6,3,3.09704899787903
1709502683.56785, caravela-3,7,113,6,3,3.04949903488159
1709502688.71692, caravela-3,7,113,10,7,5.14907693862915
1709502692.81681, caravela-3,7,113,8,4,4.09988784790039
1709502696.91672, caravela-3,7,113,8,4,4.0999071598053
1709502701.06749, caravela-3,7,113,8,5,4.15077495574951
1709502705.16714, caravela-3,7,113,8,4,4.09964609146118
1709730781.20949, caravela,7,111,23,9,
1709730784.35941, caravela,7,111,9,3,3.14992904663086
1709730790.55936, caravela,7,111,18,8,6.19994783401489
1709730793.65934, caravela,7,111,9,3,3.09997606277466
1709730799.91112, caravela,7,111,18,9,6.25178003311157
1709730803.0095, caravela,7,111,9,3,3.09838390350342
1709730809.15942, caravela,7,111,21,9,6.1499171257019
1709730813.30963, caravela,7,111,13,5,4.15021300315857
1709730817.40947, caravela,7,111,13,4,4.0998330116272
1709730822.46151, caravela,7,111,16,7,5.05204391479492
1709730826.61029, caravela,7,111,12,5,4.1487820148468
1709730830.75963, caravela,7,111,12,4,4.14933609962463
1709730839.00945, caravela,7,111,26,12,8.24981880187988
1709730849.3597, caravela,7,111,31,10,10.3502531051636
1709730852.46416, caravela,7,111,9,3,3.10446095466614
1709730856.55972, caravela,7,111,12,4,4.09556412696838
1709730860.65939, caravela,7,111,12,4,4.0996630191803
1709730865.80946, caravela,7,111,15,5,5.15007281303406
1709730868.90945, caravela,7,111,9,3,3.09999299049377
1709730771.7462, caravela-3,7,113,7,4,
1709730775.89096, caravela-3,7,113,8,4,4.14475703239441
1709730778.94055, caravela-3,7,113,6,3,3.04958605766296
1709730786.14032, caravela-3,7,113,14,7,7.19976902008057
1709730789.19187, caravela-3,7,113,6,3,3.05155110359192
1709730795.44038, caravela-3,7,113,12,6,6.24851298332214
1709730798.44096, caravela-3,7,113,7,3,3.00057888031006
1709730804.6406, caravela-3,7,113,15,6,6.19964194297791
1709730808.74029, caravela-3,7,113,9,4,4.09968900680542
1709730812.89289, caravela-3,7,113,9,4,4.15259909629822
1709730818.0404, caravela-3,7,113,10,5,5.14751195907593
1709730822.19064, caravela-3,7,113,8,4,4.15023612976074
1709730825.24115, caravela-3,7,113,6,3,3.05051183700562
1709730828.34045, caravela-3,7,113,6,3,3.09930396080017
1709730839.59056, caravela-3,7,113,26,12,11.2501041889191
1709730843.69057, caravela-3,7,113,8,4,4.10000801086426
1709730846.79235, caravela-3,7,113,6,3,3.10178780555725
1709730850.89062, caravela-3,7,113,8,4,4.09827017784119
1709730855.04071, caravela-3,7,113,8,5,4.15008997917175
1709730860.14071, caravela-3,7,113,10,7,5.09999299049377
1709730863.24032, caravela-3,7,113,6,3,3.09960985183716
1709732305.24696, caravela,7,111,9,4,
1709732309.39663, caravela,7,111,12,4,4.14966702461243
1709732313.49737, caravela,7,111,12,4,4.10074210166931
1709732319.64697, caravela,7,111,18,7,6.14959597587585
1709732323.72624, caravela,7,111,12,5,4.0792670249939
1709732328.84686, caravela,7,111,15,5,5.12062788009644
1709732331.94661, caravela,7,111,6,3,3.09974193572998
1709732337.09654, caravela,7,111,15,5,5.14993596076965
1709732341.19643, caravela,7,111,12,4,4.09989213943481
1709732345.29646, caravela,7,111,12,4,4.10002493858337
1709732349.39844, caravela,7,111,12,4,4.10197997093201
1709732353.59676, caravela,7,111,15,4,4.19831895828247
1709732360.79663, caravela,7,111,21,8,7.1998770236969
1709732364.99649, caravela,7,111,12,5,4.19985318183899
1709732369.0972, caravela,7,111,12,4,4.10071301460266
1709732372.19658, caravela,7,111,9,3,3.09938287734985
1709732375.24686, caravela,7,111,9,3,3.05027508735657
1709732383.39652, caravela,7,111,21,13,8.14966201782227
1709732386.44694, caravela,7,111,9,3,3.05042195320129
1709732389.49667, caravela,7,111,9,3,3.0497260093689
1709732392.54756, caravela,7,111,9,3,3.05089497566223
1709732395.64684, caravela,7,111,9,3,3.09927296638489
1709732400.79827, caravela,7,111,15,5,5.15142893791199
1709732303.65094, caravela-3,7,113,7,4,
1709732306.75131, caravela-3,7,113,6,3,3.10037207603455
1709732310.90269, caravela-3,7,113,8,4,4.15137815475464
1709732313.9513, caravela-3,7,113,6,3,3.04861092567444
1709732318.05099, caravela-3,7,113,8,4,4.09969687461853
1709732322.20106, caravela-3,7,113,8,4,4.15007019042969
1709732326.3027, caravela-3,7,113,8,4,4.10163688659668
1709732329.4512, caravela-3,7,113,7,3,3.14849901199341
1709732333.60302, caravela-3,7,113,8,5,4.15181708335876
1709732338.75132, caravela-3,7,113,10,5,5.14830493927002
1709732341.85788, caravela-3,7,113,6,3,3.10655498504639
1709732345.95092, caravela-3,7,113,8,4,4.09304690361023
1709732351.05174, caravela-3,7,113,9,5,5.10081315040588
1709732355.20122, caravela-3,7,113,8,4,4.14948201179504
1709732359.2513, caravela-3,7,113,8,4,4.05008387565613
1709732363.35093, caravela-3,7,113,8,4,4.0996310710907
1709732366.40165, caravela-3,7,113,6,3,3.05071592330933
1709732370.55198, caravela-3,7,113,8,4,4.15032696723938
1709732373.65176, caravela-3,7,113,6,3,3.09978318214416
1709732383.00799, caravela-3,7,113,19,10,9.35622692108154
1709732387.15111, caravela-3,7,113,8,4,4.14312505722046
1709732390.25106, caravela-3,7,113,6,3,3.09994888305664
1709732393.3053, caravela-3,7,113,6,3,3.05424213409424
1709732397.45138, caravela-3,7,113,8,4,4.14608097076416
1710839920.19995, caravela,7,111,14,11,
1710839924.39893, caravela,7,111,12,4,4.198979139328
1710839930.54885, caravela,7,111,18,6,6.14991593360901
1710839934.64912, caravela,7,111,12,5,4.10027503967285
1710839939.79906, caravela,7,111,15,7,5.14993596076965
1710839943.90011, caravela,7,111,12,4,4.10105204582214
1710839948.99931, caravela,7,111,15,6,5.09920406341553
1710839955.19986, caravela,7,111,18,9,6.20054197311401
1710839960.35046, caravela,7,111,15,7,5.15060091018677
1710839964.50056, caravela,7,111,12,4,4.15010404586792
1710839967.59938, caravela,7,111,9,3,3.09881711006165
1710839971.70082, caravela,7,111,12,5,4.10143685340881
1710839976.19875, caravela,7,111,15,4,4.49793004989624
1710839979.19963, caravela,7,111,6,3,3.00088500976562
1710839985.44994, caravela,7,111,18,6,6.25030493736267
1710839990.60022, caravela,7,111,15,6,5.15028500556946
1710839994.69891, caravela,7,111,12,4,4.09868597984314
1710839914.34023, caravela-3,7,113,13,7,
1710839917.38973, caravela-3,7,113,6,3,3.04950189590454
