,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709815681.999673, caravela,7,111,3,4,
1,1709815686.149319, caravela,7,111,4,4,4.149646043777466
2,1709815689.200005, caravela,7,111,3,3,3.0506861209869385
3,1709815692.30372, caravela,7,111,8,3,3.103714942932129
4,1709815696.399572, caravela,7,111,12,4,4.095851898193359
5,1709815700.599368, caravela,7,111,12,4,4.199796199798584
6,1709815704.749135, caravela,7,111,12,4,4.14976692199707
7,1709815709.850461, caravela,7,111,15,4,5.101325988769531
8,1709815712.899444, caravela,7,111,9,3,3.048983097076416
9,1709815720.199125, caravela,7,111,21,7,7.299680948257446
10,1709815723.249227, caravela,7,111,9,3,3.0501019954681396
11,1709815726.349175, caravela,7,111,9,3,3.099947929382324
12,1709815730.399406, caravela,7,111,12,5,4.050230979919434
13,1709815736.649312, caravela,7,111,18,8,6.249906063079834
14,1709815742.750072, caravela,7,111,18,6,6.100759983062744
15,1709815748.899366, caravela,7,111,19,9,6.149293899536133
16,1709815756.099211, caravela,7,111,24,8,7.1998450756073
17,1709815761.199203, caravela,7,111,15,6,5.099992036819458
18,1709815764.299308, caravela,7,111,9,3,3.100105047225952
19,1709815769.49934, caravela,7,111,12,7,5.200031995773315
20,1709815774.64971, caravela,7,111,15,7,5.150369882583618
21,1709815778.849284, caravela,7,111,12,4,4.199573993682861
22,1709815781.949113, caravela,7,111,9,3,3.0998289585113525
23,1709815786.049609, caravela,7,111,12,4,4.100496053695679
24,1709815792.250152, caravela,7,111,18,6,6.200543165206909
25,1709815796.399165, caravela,7,111,12,5,4.149012804031372
26,1709815804.699173, caravela,7,111,24,8,8.300008058547974
27,1709815808.799419, caravela,7,111,12,4,4.100245952606201
28,1709815812.899187, caravela,7,111,12,4,4.099768161773682
29,1709815818.000958, caravela,7,111,15,5,5.101770877838135
30,1709815823.099169, caravela,7,111,15,6,5.098211050033569
31,1709815827.14986, caravela,7,111,12,4,4.0506908893585205
32,1709815835.399263, caravela,7,111,24,13,8.24940299987793
33,1709815838.501003, caravela,7,111,9,3,3.1017401218414307
34,1709815846.700452, caravela,7,111,24,10,8.199449062347412
35,1709815850.849195, caravela,7,111,12,5,4.148742914199829
36,1709815853.949692, caravela,7,111,9,3,3.100497007369995
37,1709815861.14933, caravela,7,111,21,7,7.1996378898620605
38,1709815867.249313, caravela,7,111,18,6,6.099983215332031
39,1709815874.449669, caravela,7,111,21,7,7.200355768203735
40,1709815877.499329, caravela,7,111,9,3,3.0496602058410645
41,1709815882.599347, caravela,7,111,15,6,5.10001802444458
42,1709815885.649595, caravela,7,111,9,3,3.05024790763855
43,1709815888.749436, caravela,7,111,9,3,3.0998408794403076
44,1709815893.900244, caravela,7,111,15,6,5.150808095932007
45,1709815898.099336, caravela,7,111,12,5,4.199091911315918
46,1709815903.249297, caravela,7,111,15,5,5.149960994720459
47,1709815907.349954, caravela,7,111,12,4,4.100656986236572
48,1709815911.549204, caravela,7,111,12,4,4.199250221252441
49,1709815918.700202, caravela,7,111,21,11,7.150997877120972
50,1709815930.099188, caravela,7,111,33,11,11.398986101150513
51,1709815935.149443, caravela,7,111,15,5,5.050254821777344
52,1709815941.349295, caravela,7,111,18,6,6.199851989746094
53,1709815944.450211, caravela,7,111,9,3,3.1009161472320557
54,1709815954.699175, caravela,7,111,16,5,10.248963832855225
0,1709815684.307909, caravela-2,7,112,17,3,
1,1709815688.357365, caravela-2,7,112,8,4,4.049455881118774
2,1709815691.507254, caravela-2,7,112,6,3,3.1498889923095703
3,1709815695.607125, caravela-2,7,112,8,5,4.0998711585998535
4,1709815701.807009, caravela-2,7,112,12,6,6.199883937835693
5,1709815704.85742, caravela-2,7,112,6,3,3.0504109859466553
6,1709815711.057924, caravela-2,7,112,12,9,6.2005040645599365
7,1709815714.158601, caravela-2,7,112,6,3,3.100677013397217
8,1709815718.307145, caravela-2,7,112,8,4,4.148544073104858
9,1709815722.407209, caravela-2,7,112,8,4,4.100063800811768
10,1709815728.557122, caravela-2,7,112,12,6,6.14991307258606
11,1709815733.707121, caravela-2,7,112,10,7,5.149998903274536
12,1709815740.95717, caravela-2,7,112,15,7,7.250049114227295
13,1709815745.158518, caravela-2,7,112,10,4,4.201348066329956
14,1709815748.307348, caravela-2,7,112,6,3,3.148829936981201
15,1709815753.507136, caravela-2,7,112,10,5,5.1997880935668945
16,1709815756.557824, caravela-2,7,112,6,3,3.050687789916992
