timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1709815070.155862, caravela-2, 45, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, MANUAL_INPUT, 0, 0, 0, 0.000000, 1.1053214, 0.17592684, 0.000000, 0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1709815499.101973, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45899.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1709815500.101929, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45900.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1709815501.101963, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45901.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1709815502.101988, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45902.000000, 1.1053214, 0.17592684, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1709815503.107665, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45903.000000, 1.10532136, 0.17592684, -0.000638, 8, 0.000001, 0.278582, 0.900000, 0.000000, 2.000000, 0.000000
1709815504.101973, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45904.000000, 1.10532133, 0.17592684, -0.001154, 8, -0.000882, 0.014308, 0.900000, 0.000000, 2.000000, 0.000000
1709815505.102237, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45905.000000, 1.10532136, 0.17592684, -0.000701, 8, -0.004822, 0.204966, 0.900000, 0.000000, 2.000000, 0.000000
1709815506.102241, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45906.000000, 1.1053214, 0.17592684, -0.000112, 8, -0.007039, 0.227808, 0.900000, 0.000000, 2.000000, 0.000000
1709815507.101958, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45907.000000, 1.10532143, 0.17592684, 0.000522, 8, -0.007888, 0.242461, 0.900000, 0.000000, 2.000000, 0.000000
1709815508.101907, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45908.000000, 1.10532147, 0.17592684, 0.001194, 8, -0.008135, 0.255609, 0.900000, 0.000000, 2.000000, 0.000000
1709815509.102032, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45909.000000, 1.10532151, 0.17592683, 0.001900, 8, -0.008152, 0.267688, 0.900000, 0.000000, 2.000000, 0.000000
1709815510.102163, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45910.000000, 1.10532155, 0.17592683, 0.002637, 8, -0.008087, 0.278905, 0.900000, 0.000000, 2.000000, 0.000000
1709815511.102018, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45911.000000, 1.1053216, 0.17592683, 0.003404, 8, -0.007964, 0.289416, 0.900000, 0.000000, 2.000000, 0.000000
1709815512.101974, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45912.000000, 1.10532165, 0.17592683, 0.004198, 8, -0.007917, 0.299185, 0.900000, 0.000000, 2.000000, 0.000000
1709815513.101962, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45913.000000, 1.10532169, 0.17592683, 0.005018, 8, -0.007819, 0.308343, 0.900000, 0.000000, 2.000000, 0.000000
1709815514.101998, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45914.000000, 1.10532174, 0.17592683, 0.005862, 8, -0.007861, 0.316983, 0.900000, 0.000000, 2.000000, 0.000000
1709815515.102091, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45915.000000, 1.10532179, 0.17592683, 0.006728, 8, -0.007917, 0.325129, 0.900000, 0.000000, 2.000000, 0.000000
1709815516.105412, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45916.000000, 1.10532184, 0.17592683, 0.007616, 8, -0.007934, 0.332808, 0.900000, 0.000000, 2.000000, 0.000000
1709815517.101970, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45917.000000, 1.1053219, 0.17592683, 0.008524, 8, -0.007942, 0.340084, 0.900000, 0.000000, 2.000000, 0.000000
1709815518.101968, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45918.000000, 1.10532195, 0.17592683, 0.009451, 8, -0.007815, 0.346962, 0.900000, 0.000000, 2.000000, 0.000000
1709815519.101961, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45919.000000, 1.105322, 0.17592683, 0.010396, 8, -0.007690, 0.353493, 0.900000, 0.000000, 2.000000, 0.000000
1709815520.102443, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45920.000000, 1.10532206, 0.17592683, 0.011359, 8, -0.007712, 0.359696, 0.900000, 0.000000, 2.000000, 0.000000
1709815521.101933, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45921.000000, 1.10532212, 0.17592682, 0.012338, 8, -0.007747, 0.365616, 0.900000, 0.000000, 2.000000, 0.000000
1709815522.101970, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45922.000000, 1.10532218, 0.17592682, 0.013333, 8, -0.007684, 0.371207, 0.900000, 0.000000, 2.000000, 0.000000
1709815523.110661, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45923.000000, 1.10532223, 0.17592682, 0.014342, 8, -0.007696, 0.376581, 0.900000, 0.000000, 2.000000, 0.000000
1709815524.101956, caravela-2, 41, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 45924.000000, 1.10532229, 0.17592682, 0.015365, 8, -0.007730, 0.381666, 0.900000, 0.000000, 2.000000, 0.000000
