,time,asv_1,asv_2
22,0.0,"(63.32940210203908, 10.079865435073312)","(63.33052080213409, 10.07988319676496)"
23,0.008196115493774414,"(63.32940639922255, 10.079867440425595)","(63.33052280748637, 10.079882623807165)"
24,0.9998350143432617,"(63.32941069640601, 10.079869445777877)","(63.33052481283865, 10.07988205084937)"
25,1.0082111358642578,"(63.32941499358948, 10.07987145113016)","(63.33052681819093, 10.079881477891576)"
26,1.9998300075531006,"(63.32941929077295, 10.079873456482444)","(63.33052882354322, 10.079880618454883)"
27,2.008418083190918,"(63.32942387443531, 10.079874602398034)","(63.330530828895505, 10.07987975901819)"
28,2.999847173690796,"(63.32942845809767, 10.079875748313624)","(63.33053283424778, 10.079879186060396)"
29,3.008445978164673,"(63.32943275528113, 10.079876607750316)","(63.330534839600055, 10.079878613102599)"
30,4.0000410079956055,"(63.32943705246459, 10.079877467187009)","(63.33053655847344, 10.079878326623701)"
31,4.010613203048706,"(63.329441636126944, 10.079878326623703)","(63.33053827734683, 10.079878040144804)"
32,5.000030040740967,"(63.329446219789304, 10.079879186060396)","(63.33054028269912, 10.079877753665906)"
33,5.008426189422607,"(63.32945080345167, 10.079879472539293)","(63.3305422880514, 10.079877467187009)"
34,5.999816179275513,"(63.32945538711404, 10.07987975901819)","(63.33054457988258, 10.079877180708111)"
35,6.00828218460083,"(63.3294599707764, 10.079880045497088)","(63.33054687171376, 10.079876894229214)"
36,6.999917984008789,"(63.32946455443876, 10.079880331975986)","(63.33054916354494, 10.079876894229214)"
37,7.0083301067352295,"(63.32946913810112, 10.079880331975986)","(63.33055145537612, 10.079876894229214)"
38,8.000227212905884,"(63.329473721763485, 10.079880331975986)","(63.330553747207304, 10.079876894229214)"
39,8.008442163467407,"(63.329478305425845, 10.079880331975986)","(63.330556039038484, 10.079876894229214)"
40,9.007946014404297,"(63.329482889088204, 10.079880331975986)","(63.330558330869664, 10.079876894229214)"
41,9.008445024490356,"(63.32948747275056, 10.079880331975986)","(63.330560622700844, 10.079876894229214)"
42,9.999881982803345,"(63.32949205641292, 10.079880331975986)","(63.33056320101092, 10.079876894229214)"
43,10.00842809677124,"(63.329496640075284, 10.079880331975986)","(63.330565779321, 10.079876894229214)"
44,10.999987125396729,"(63.32950122373765, 10.079880331975986)","(63.33056807115217, 10.079876894229214)"
45,11.008387088775635,"(63.32950580740001, 10.079880331975986)","(63.33057036298335, 10.079876894229214)"
46,11.999987125396729,"(63.329510391062364, 10.079880331975986)","(63.33057236833564, 10.079876894229214)"
47,12.009160995483398,"(63.329514974724724, 10.079880331975986)","(63.330574373687924, 10.079876894229214)"
48,13.000011205673218,"(63.329519558387084, 10.079880331975986)","(63.33057637904021, 10.079877180708111)"
49,13.008239030838013,"(63.32952414204945, 10.079880331975986)","(63.33057838439249, 10.079877467187009)"
50,13.999839067459106,"(63.32952872571181, 10.079880331975986)","(63.33058038974477, 10.079877753665906)"
51,14.008244037628174,"(63.32953330937417, 10.079880331975986)","(63.33058239509705, 10.079878040144804)"
52,14.999871015548706,"(63.32953789303653, 10.079880331975986)","(63.33058440044934, 10.0798786131026)"
53,15.008464097976685,"(63.3295424766989, 10.079880331975986)","(63.330586405801625, 10.079879186060396)"
54,16.000025033950806,"(63.329547060361264, 10.079880331975986)","(63.33058812467501, 10.07987975901819)"
55,16.00839900970459,"(63.329551644023624, 10.079880331975986)","(63.330589843548395, 10.079880331975986)"
56,16.99983310699463,"(63.32955622768598, 10.079880331975986)","(63.33059184890068, 10.079881477891576)"
57,17.008418083190918,"(63.32956081134834, 10.079880331975986)","(63.33059385425297, 10.079882623807165)"
58,17.999831199645996,"(63.3295653950107, 10.079880331975986)","(63.33059614608415, 10.079883769722755)"
59,18.008254051208496,"(63.329569978673064, 10.079880045497088)","(63.33059843791532, 10.079884915638345)"
60,18.999823093414307,"(63.329574562335424, 10.07987975901819)","(63.3306007297465, 10.079886348032833)"
61,19.008251190185547,"(63.32957914599778, 10.07987975901819)","(63.33060302157768, 10.07988778042732)"
62,19.99983811378479,"(63.32958372966014, 10.07987975901819)","(63.33060531340886, 10.079889212821808)"
63,20.008403062820435,"(63.32958802684361, 10.07987975901819)","(63.33060760524004, 10.079890645216297)"
64,21.000007152557373,"(63.32959232402707, 10.07987975901819)","(63.33060989707122, 10.079891791131887)"
65,21.00840711593628,"(63.32959662121053, 10.079880045497088)","(63.3306121889024, 10.079892937047477)"
66,22.0000422000885,"(63.32960091839399, 10.079880331975986)","(63.330613907775785, 10.079894082963069)"
67,22.008403062820435,"(63.32960521557746, 10.07988090493378)","(63.33061562664918, 10.079895228878659)"
68,22.999823093414307,"(63.32960951276092, 10.079881477891576)","(63.33061763200146, 10.079895801836454)"
69,23.008249044418335,"(63.329614096423285, 10.079882623807165)","(63.33061963735374, 10.079896374794249)"
70,23.99981713294983,"(63.32961868008565, 10.079883769722755)","(63.33062164270602, 10.079897234230941)"
71,24.009242057800293,"(63.329623263748005, 10.079885202117243)","(63.33062364805831, 10.079898093667634)"
72,25.001963138580322,"(63.329627847410364, 10.079886634511732)","(63.33062565341059, 10.079898380146531)"
73,25.00845503807068,"(63.32963214459383, 10.079888353385117)","(63.33062765876288, 10.079898666625429)"
74,25.9998722076416,"(63.32963644177729, 10.079890072258502)","(63.330629664115165, 10.079898953104326)"
75,26.008220195770264,"(63.329640738960755, 10.079892364089684)","(63.330631669467444, 10.079899239583224)"
76,27.000002145767212,"(63.32964503614422, 10.079894655920864)","(63.33063396129862, 10.079899239583224)"
77,27.008413076400757,"(63.32964961980659, 10.079896947752044)","(63.3306362531298, 10.079899239583224)"
78,27.999946117401123,"(63.32965420346895, 10.079899239583224)","(63.330638544960976, 10.079899239583224)"
79,28.008409023284912,"(63.329658500652414, 10.079901531414404)","(63.330640836792156, 10.079899239583224)"
80,29.000025987625122,"(63.32966279783587, 10.079903823245585)","(63.330643415102244, 10.079899239583224)"
81,29.00855803489685,"(63.32966709501933, 10.079906401555663)","(63.330645993412325, 10.079899239583224)"
82,29.99986505508423,"(63.3296713922028, 10.07990897986574)","(63.3306482852435, 10.079899239583224)"
83,30.008228063583374,"(63.329675689386264, 10.079911271696922)","(63.33065057707468, 10.079899239583224)"
84,30.999991178512573,"(63.32967998656972, 10.079913563528104)","(63.33065315538475, 10.079899239583224)"
85,31.00846815109253,"(63.32968428375318, 10.079915855359284)","(63.33065573369483, 10.079899239583224)"
86,32.00005006790161,"(63.32968858093665, 10.079918147190464)","(63.33065802552601, 10.079899239583224)"
87,32.0082790851593,"(63.32969287812011, 10.079920152542748)","(63.33066031735719, 10.079899239583224)"
88,32.999972105026245,"(63.32969717530358, 10.07992215789503)","(63.33066260918838, 10.079899239583224)"
89,33.00822615623474,"(63.329701472487045, 10.079923590289518)","(63.33066490101956, 10.079899239583224)"
90,34.00002312660217,"(63.329705769670504, 10.079925022684005)","(63.330667479329634, 10.079899239583224)"
91,34.008225202560425,"(63.32971035333287, 10.079926168599595)","(63.330670057639715, 10.079899239583224)"
92,35.00001001358032,"(63.32971493699523, 10.079927314515185)","(63.33067234947089, 10.079899239583224)"
93,35.0081741809845,"(63.32971952065759, 10.079928173951878)","(63.33067464130207, 10.079899239583224)"
94,35.99984002113342,"(63.32972410431995, 10.079929033388572)","(63.33067693313325, 10.079899239583224)"
