timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1710841138.390522, caravela, 36, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 31561.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841433.336397, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35033.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841434.336334, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35034.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841435.336316, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35035.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841436.336319, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35036.000000, 1.1052986, 0.17592651, -0.000000, 8, 0.000000, 0.000000, 0.900000, 0.000000, 2.000000, 0.000000
1710841437.336177, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35037.000000, 1.10529858, 0.17592651, -0.000207, 8, 0.000001, 0.332792, 0.900000, 0.000000, 2.000000, 0.000000
1710841438.336326, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35038.000000, 1.10529854, 0.17592651, -0.000977, 8, -0.000013, 0.226958, 0.900000, 0.000000, 2.000000, 0.000000
1710841439.336580, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35039.000000, 1.10529854, 0.17592651, -0.000977, 8, 0.000063, 0.268609, 0.900000, 0.000000, 2.000000, 0.000000
1710841440.336424, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35040.000000, 1.1052986, 0.17592651, 0.000099, 8, 0.000181, 0.527167, 0.900000, 0.000000, 2.000000, 0.000000
1710841441.343137, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35041.000000, 1.1052987, 0.17592651, 0.001785, 8, 0.001794, 0.547042, 0.900000, 0.000000, 2.000000, 0.000000
1710841442.338397, caravela, 42, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 0, 0, 0, 35042.000000, 1.10529881, 0.17592651, 0.003776, 8, 0.033405, 0.922382, 0.900000, 0.000000, 2.000000, 0.000000
