,time,asv_1,asv_2,asv_3
53,0.0,"(63.329411842321605, 10.079848246339457)","(63.3316125732127, 10.079852448029955)","(63.33056310551796, 10.082237289359222)"
54,0.6126852035522461,"(63.32941470711058, 10.079849010283185)","(63.33160970842373, 10.079851111128432)","(63.330563869461685, 10.082230795837544)"
55,0.7804050445556641,"(63.329417571899555, 10.079849774226911)","(63.33160665264882, 10.079849774226911)","(63.33056463340541, 10.082224302315867)"
56,1.0013060569763184,"(63.32942043668853, 10.07985053817064)","(63.33160359687391, 10.079848437325388)","(63.33056539734913, 10.082217808794187)"
57,1.613008975982666,"(63.329423301477505, 10.079851493100298)","(63.33160054109901, 10.079847100423867)","(63.330566161292865, 10.08221131527251)"
58,1.7804820537567139,"(63.32942616626648, 10.079852448029955)","(63.33159767631003, 10.079845381550482)","(63.33056692523659, 10.08220482175083)"
59,2.0015621185302734,"(63.329429031055454, 10.079853402959614)","(63.33159481152105, 10.079843662677096)","(63.33056768918031, 10.082198137243221)"
60,2.6126551628112793,"(63.329432086830366, 10.079854739861135)","(63.331591946732075, 10.07984194380371)","(63.330568453124044, 10.08219145273561)"
61,2.7804830074310303,"(63.32943514260528, 10.079856076762658)","(63.33158889095717, 10.079840415916257)","(63.33056921706777, 10.082184768228002)"
62,2.9999771118164062,"(63.32943819838019, 10.079857413664179)","(63.33158583518226, 10.079838888028805)","(63.33057017199743, 10.082178274706324)"
63,3.612617015838623,"(63.32944106316916, 10.079858941551633)","(63.331582779407356, 10.079837360141351)","(63.33057112692708, 10.082171781184645)"
64,3.7813010215759277,"(63.32944392795814, 10.079860469439087)","(63.33157991461838, 10.079835641267966)","(63.330572081856744, 10.082165287662967)"
65,4.001721143722534,"(63.32944679274711, 10.07986199732654)","(63.331577049829406, 10.07983392239458)","(63.33057284580047, 10.08215879414129)"
66,4.612622976303101,"(63.32944984852202, 10.079863525213995)","(63.33157418504043, 10.079832203521194)","(63.3305736097442, 10.08215230061961)"
67,4.781383991241455,"(63.32945290429692, 10.079865053101448)","(63.33157112926553, 10.07983048464781)","(63.330574373687924, 10.082145807097932)"
68,4.999993085861206,"(63.329455960071826, 10.079866580988902)","(63.331568073490615, 10.079828765774423)","(63.33057513763165, 10.082139313576254)"
69,5.612930059432983,"(63.3294588248608, 10.079868299862287)","(63.33156501771571, 10.079827046901038)","(63.33057590157538, 10.082132820054575)"
70,5.780441999435425,"(63.32946168964978, 10.079870018735674)","(63.33156215292673, 10.07982513704172)","(63.330576665519104, 10.082126326532897)"
71,6.000231027603149,"(63.32946455443876, 10.079871737609059)","(63.331559288137754, 10.079823227182404)","(63.330577429462835, 10.082119642025289)"
72,6.612898111343384,"(63.32946741922773, 10.079873456482444)","(63.33155642334877, 10.079821317323086)","(63.33057819340656, 10.082112957517678)"
73,6.781479120254517,"(63.32947028401671, 10.079875175355829)","(63.3315535585598, 10.079819598449701)","(63.33057895735029, 10.08210627301007)"
74,7.000030040740967,"(63.32947314880568, 10.079876894229214)","(63.33155069377082, 10.079817879576316)","(63.330579721294015, 10.082099779488392)"
75,7.61275315284729,"(63.329476204580594, 10.079878613102599)","(63.33154782898185, 10.079816160702931)","(63.330580485237746, 10.082093285966712)"
76,7.781224012374878,"(63.3294792603555, 10.079880331975986)","(63.33154477320694, 10.079814441829546)","(63.33058124918147, 10.082086792445034)"
77,8.00091814994812,"(63.32948231613041, 10.07988205084937)","(63.33154171743203, 10.07981272295616)","(63.330582013125195, 10.082080107937424)"
78,8.61263918876648,"(63.329485180919384, 10.079883769722755)","(63.33153866165713, 10.079811004082774)","(63.330582777068926, 10.082073423429815)"
79,8.783393144607544,"(63.32948804570836, 10.079885488596142)","(63.33153579686815, 10.07980928520939)","(63.33058354101265, 10.082066738922205)"
80,8.999970197677612,"(63.329490910497334, 10.079887207469527)","(63.33153293207918, 10.079807566336003)","(63.330584304956375, 10.082060627372389)"
81,9.6127769947052,"(63.32949377528631, 10.079888926342912)","(63.3315300672902, 10.079805847462618)","(63.330585068900106, 10.082054515822575)"
82,9.780460119247437,"(63.329496640075284, 10.079890645216299)","(63.33152720250123, 10.079804128589233)","(63.33058583284383, 10.08204840427276)"
83,9.999989032745361,"(63.32949950486426, 10.079892364089684)","(63.33152433771225, 10.079802409715848)","(63.330586787773484, 10.082041910751082)"
84,10.612625122070312,"(63.329502369653234, 10.079894082963069)","(63.33152147292328, 10.079800690842463)","(63.330587742703145, 10.082035417229404)"
85,10.780526161193848,"(63.32950523444221, 10.079895801836456)","(63.33151841714837, 10.079798971969078)","(63.3305886976328, 10.082028923707727)"
86,11.000434160232544,"(63.329508099231184, 10.07989752070984)","(63.33151536137346, 10.079797253095691)","(63.33058965256246, 10.082022430186049)"
87,11.612658977508545,"(63.32951115500609, 10.079899430569156)","(63.33151230559855, 10.079795534222306)","(63.33059060749213, 10.08201593666437)"
88,11.781229972839355,"(63.329514210781, 10.079901340428474)","(63.331509440809576, 10.079793624362988)","(63.33059156242179, 10.082009443142692)"
89,12.000162124633789,"(63.329517266555904, 10.07990325028779)","(63.3315065760206, 10.079791714503672)","(63.33059251735144, 10.082003140606945)"
90,12.612694025039673,"(63.32952013134488, 10.079904969161175)","(63.331503711231626, 10.079789804644355)","(63.3305934722811, 10.081996838071198)"
91,12.780503988265991,"(63.32952299613385, 10.079906688034562)","(63.33150084644265, 10.07978808577097)","(63.330594427210755, 10.081990535535452)"
