,time,asv_1,asv_2,asv_3
66,0.0,"(63.32941528006838, 10.079846527466072)","(63.33154038053052, 10.079864480143653)","(63.33054916354494, 10.082096532727551)"
67,0.5687100887298584,"(63.32941814485736, 10.079846527466072)","(63.33153751574154, 10.079864289157722)","(63.33054916354494, 10.08208965723401)"
68,0.6128740310668945,"(63.32942100964633, 10.079846527466072)","(63.33153445996663, 10.079864289157722)","(63.33054916354494, 10.082082781740468)"
69,0.9994990825653076,"(63.32942387443531, 10.079846527466072)","(63.33153140419172, 10.079864289157722)","(63.33054916354494, 10.082076097232857)"
70,1.5691211223602295,"(63.32942693021021, 10.079846527466072)","(63.33152834841682, 10.079864289157722)","(63.33054916354494, 10.082069412725248)"
71,1.612964153289795,"(63.32942998598512, 10.079846527466072)","(63.33152529264191, 10.079864289157722)","(63.33054916354494, 10.082062728217638)"
72,1.9993870258331299,"(63.329433041760026, 10.079846527466072)","(63.331522236867, 10.079864289157722)","(63.33054916354494, 10.082056043710029)"
73,2.5686731338500977,"(63.32943609753493, 10.079846718452004)","(63.3315191810921, 10.079864289157722)","(63.33054916354494, 10.082049359202419)"
74,2.61283802986145,"(63.329439153309835, 10.079846909437936)","(63.33151612531719, 10.079864289157722)","(63.33054916354494, 10.08204267469481)"
75,2.9996650218963623,"(63.32944220908474, 10.079847100423867)","(63.33151306954228, 10.079864289157722)","(63.33054916354494, 10.082035799201268)"
76,3.568985939025879,"(63.32944526485965, 10.079847100423867)","(63.33151001376737, 10.079864289157722)","(63.33054916354494, 10.082028923707727)"
77,3.613034963607788,"(63.32944832063456, 10.079847100423867)","(63.33150695799247, 10.079864289157722)","(63.33054916354494, 10.082022048214185)"
78,4.000180006027222,"(63.32945137640947, 10.079847100423867)","(63.331503902217555, 10.079864289157722)","(63.33054916354494, 10.082015363706574)"
79,4.568685054779053,"(63.32945424119845, 10.079847100423867)","(63.33150084644265, 10.079864289157722)","(63.33054916354494, 10.082008679198966)"
80,4.612843036651611,"(63.32945710598742, 10.079847100423867)","(63.33149779066775, 10.079864289157722)","(63.33054916354494, 10.082001994691355)"
81,4.999475955963135,"(63.3294599707764, 10.079847100423867)","(63.33149473489284, 10.079864289157722)","(63.33054916354494, 10.081995310183745)"
82,5.569041013717651,"(63.3294630265513, 10.079847100423867)","(63.33149167911794, 10.079864289157722)","(63.33054916354494, 10.081988625676134)"
83,5.612978935241699,"(63.329466082326206, 10.079847100423867)","(63.33148862334303, 10.079864289157722)","(63.33054916354494, 10.081981941168523)"
84,6.000205993652344,"(63.32946913810111, 10.079847100423867)","(63.331485567568116, 10.079864289157722)","(63.33054916354494, 10.081975065674982)"
85,6.5687150955200195,"(63.32947219387602, 10.079847291409799)","(63.331482511793205, 10.079864289157722)","(63.33054916354494, 10.081968190181442)"
86,6.612812042236328,"(63.32947524965093, 10.079847482395731)","(63.33147964700423, 10.07986409817179)","(63.33054916354494, 10.0819613146879)"
87,6.999499082565308,"(63.329478305425845, 10.079847673381662)","(63.331476782215255, 10.079863907185858)","(63.33054916354494, 10.08195463018029)"
88,7.56869101524353,"(63.32948136120075, 10.079847673381662)","(63.33147391742628, 10.079863716199926)","(63.33054916354494, 10.081947945672681)"
