,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709675479.772269, caravela,7,111,13,9,
1,1709675482.822554, caravela,7,111,9,3,3.0502851009368896
2,1709675485.872228, caravela,7,111,9,3,3.0496737957000732
3,1709675489.973088, caravela,7,111,4,4,4.100860118865967
4,1709675493.0723, caravela,7,111,7,3,3.0992119312286377
5,1709675505.072166, caravela,7,111,36,13,11.999866008758545
6,1709675510.22242, caravela,7,111,15,5,5.150254011154175
7,1709675513.324086, caravela,7,111,9,3,3.10166597366333
8,1709675521.622315, caravela,7,111,26,13,8.298228979110718
9,1709675526.772319, caravela,7,111,15,5,5.150004148483276
10,1709675530.972502, caravela,7,111,12,4,4.200182914733887
11,1709675537.172504, caravela,7,111,18,6,6.200001955032349
12,1709675541.321989, caravela,7,111,12,4,4.149485111236572
13,1709675545.377956, caravela,7,111,12,4,4.055966854095459
14,1709675553.572367, caravela,7,111,24,8,8.194411039352417
15,1709675557.722601, caravela,7,111,12,4,4.15023398399353
16,1709675561.872392, caravela,7,111,12,4,4.14979100227356
17,1709675564.922258, caravela,7,111,9,3,3.049865961074829
18,1709675569.022266, caravela,7,111,12,5,4.100008010864258
19,1709675573.122201, caravela,7,111,12,4,4.099935054779053
20,1709675580.322553, caravela,7,111,21,7,7.20035195350647
21,1709675583.422469, caravela,7,111,9,3,3.0999159812927246
22,1709675591.722742, caravela,7,111,24,11,8.300273180007935
23,1709675594.822584, caravela,7,111,9,3,3.099841833114624
24,1709675597.822588, caravela,7,111,9,3,3.0000040531158447
25,1709675603.973707, caravela,7,111,18,6,6.151118993759155
26,1709675608.072455, caravela,7,111,12,4,4.098747968673706
27,1709675611.17255, caravela,7,111,9,3,3.10009503364563
28,1709675614.222786, caravela,7,111,9,3,3.0502359867095947
29,1709675617.272741, caravela,7,111,9,3,3.049955129623413
30,1709675624.472674, caravela,7,111,21,7,7.199932813644409
31,1709675631.622471, caravela,7,111,21,7,7.149797201156616
32,1709675634.672591, caravela,7,111,9,3,3.0501198768615723
33,1709675637.722403, caravela,7,111,9,3,3.049812078475952
34,1709675641.772398, caravela,7,111,12,4,4.049994945526123
35,1709675645.921983, caravela,7,111,12,4,4.149585008621216
36,1709675653.072532, caravela,7,111,19,9,7.150548934936523
37,1709675657.272321, caravela,7,111,4,4,4.199789047241211
38,1709675660.422275, caravela,7,111,3,3,3.149954080581665
39,1709675663.486319, caravela,7,111,3,3,3.0640439987182617
40,1709675666.622412, caravela,7,111,3,3,3.1360929012298584
41,1709675669.722254, caravela,7,111,3,3,3.099842071533203
42,1709675672.822237, caravela,7,111,3,3,3.099982976913452
43,1709675676.872112, caravela,7,111,4,4,4.049875020980835
44,1709675682.922276, caravela,7,111,6,6,6.050163984298706
45,1709675778.422385, caravela,7,111,3,3,95.50010895729065
46,1709675781.472151, caravela,7,111,3,3,3.0497660636901855
47,1709675786.672217, caravela,7,111,5,5,5.200065851211548
48,1709675789.772255, caravela,7,111,3,3,3.1000380516052246
49,1709675792.922262, caravela,7,111,3,3,3.1500070095062256
50,1709675797.022296, caravela,7,111,4,4,4.10003399848938
51,1709675802.222481, caravela,7,111,5,5,5.200185060501099
52,1709675806.422268, caravela,7,111,4,4,4.199786901473999
0,1709675475.228582, caravela-3,7,113,10,5,
1,1709675478.338829, caravela-3,7,113,6,3,3.1102471351623535
2,1709675487.57853, caravela-3,7,113,13,5,9.23970103263855
3,1709675495.87856, caravela-3,7,113,16,13,8.300029993057251
4,1709675501.979035, caravela-3,7,113,11,6,6.100474834442139
5,1709675505.078808, caravela-3,7,113,6,3,3.0997731685638428
6,1709675508.129731, caravela-3,7,113,6,3,3.0509228706359863
7,1709675521.480848, caravela-3,7,113,29,13,13.351117134094238
8,1709675525.628614, caravela-3,7,113,8,4,4.147765874862671
9,1709675531.828736, caravela-3,7,113,12,6,6.200122117996216
10,1709675535.930292, caravela-3,7,113,8,5,4.101555824279785
11,1709675540.084873, caravela-3,7,113,8,4,4.154581069946289
12,1709675548.228655, caravela-3,7,113,16,13,8.143782138824463
13,1709675552.328933, caravela-3,7,113,8,5,4.100277900695801
14,1709675556.428795, caravela-3,7,113,8,4,4.099862098693848
15,1709675560.528662, caravela-3,7,113,8,4,4.09986686706543
16,1709675564.628553, caravela-3,7,113,8,4,4.099890947341919
17,1709675567.678892, caravela-3,7,113,6,3,3.0503389835357666
18,1709675574.978477, caravela-3,7,113,14,10,7.2995851039886475
19,1709675579.028519, caravela-3,7,113,8,4,4.050041913986206
20,1709675587.128709, caravela-3,7,113,16,8,8.100190162658691
21,1709675590.178684, caravela-3,7,113,6,3,3.0499749183654785
22,1709675593.228583, caravela-3,7,113,6,3,3.049899101257324
23,1709675598.32866, caravela-3,7,113,10,6,5.100076913833618
24,1709675602.428717, caravela-3,7,113,8,5,4.100056886672974
25,1709675605.478685, caravela-3,7,113,6,3,3.0499680042266846
26,1709675608.57864, caravela-3,7,113,6,3,3.0999550819396973
27,1709675611.678638, caravela-3,7,113,6,3,3.0999979972839355
28,1709675618.883828, caravela-3,7,113,14,11,7.205189943313599
29,1709675626.078538, caravela-3,7,113,14,11,7.19471001625061
30,1709675630.228835, caravela-3,7,113,8,4,4.150297164916992
31,1709675633.328632, caravela-3,7,113,6,3,3.099797010421753
32,1709675636.379057, caravela-3,7,113,6,3,3.050424814224243
33,1709675640.478853, caravela-3,7,113,8,5,4.0997960567474365
