,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709501865.24511, caravela,7,111,6,3,3.00000405311584
1,1709501871.44508, caravela,7,111,18,7,3.0000638961792
2,1709501874.49701, caravela,7,111,9,3,3.00032496452332
3,1709501878.64533, caravela,7,111,9,4,3.00033402442932
4,1709501884.84503, caravela,7,111,18,9,3.00038599967957
5,1709501891.59529, caravela,7,111,19,8,3.00040483474731
6,1709501894.69501, caravela,7,111,9,3,3.0005030632019
7,1709501898.84516, caravela,7,111,12,5,3.00057601928711
8,1709501902.9604, caravela,7,111,12,4,3.00071001052856
9,1709501908.19521, caravela,7,111,15,6,3.00071001052856
10,1709501917.44535, caravela,7,111,29,13,3.0008020401001
11,1709501920.54543, caravela,7,111,12,3,3.00120401382446
12,1709501925.74516, caravela,7,111,16,7,3.00185894966125
13,1709501930.89541, caravela,7,111,15,6,3.00186586380005
14,1709501935.04529, caravela,7,111,12,4,3.04215407371521
15,1709501940.09516, caravela,7,111,15,5,3.04892206192017
16,1709501943.19562, caravela,7,111,9,3,3.04951405525208
17,1709501946.29503, caravela,7,111,10,3,3.04957318305969
18,1709501956.5453, caravela,7,111,32,12,3.04958486557007
19,1709501961.69521, caravela,7,111,15,6,3.04967379570007
20,1709501967.79501, caravela,7,111,18,7,3.04976606369019
21,1709501970.89506, caravela,7,111,9,3,3.04981112480164
22,1709501976.09494, caravela,7,111,15,7,3.04981207847595
23,1709501981.19497, caravela,7,111,16,7,3.04982709884644
24,1709501984.19555, caravela,7,111,9,3,3.04984402656555
25,1709501988.29674, caravela,7,111,12,5,3.04986596107483
26,1709501998.59518, caravela,7,111,30,13,3.04989099502563
27,1709502007.89525, caravela,7,111,27,12,3.04989910125732
28,1709502015.14519, caravela,7,111,15,10,3.04993414878845
29,1709502019.29527, caravela,7,111,13,4,3.04993891716003
30,1709502027.44532, caravela,7,111,24,12,3.04994201660156
31,1709502036.64546, caravela,7,111,27,13,3.04995512962341
32,1709502040.79535, caravela,7,111,13,5,3.04996800422668
33,1709502043.8453, caravela,7,111,4,3,3.04997491836548
34,1709502046.99525, caravela,7,111,3,3,3.04998898506165
35,1709502051.14491, caravela,7,111,4,4,3.04999303817749
36,1709502054.19849, caravela,7,111,3,3,3.05000519752502
37,1709502058.24544, caravela,7,111,4,4,3.05002689361572
38,1709502061.29528, caravela,7,111,3,3,3.05003499984741
39,1709502064.39504, caravela,7,111,3,3,3.05005311965942
40,1709502067.49528, caravela,7,111,3,3,3.0500659942627
41,1709502070.54533, caravela,7,111,3,3,3.05009317398071
42,1709502075.69685, caravela,7,111,5,5,3.05009412765503
43,1709502186.64493, caravela,7,111,4,4,3.05009698867798
44,1709502189.64532, caravela,7,111,3,3,3.05011987686157
45,1709502192.74504, caravela,7,111,3,3,3.05014109611511
46,1709502195.79542, caravela,7,111,3,3,3.05018520355225
47,1709502198.94514, caravela,7,111,3,3,3.05021810531616
48,1709502205.14553, caravela,7,111,4,4,3.05023598670959
