,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709501484.42086, caravela,7,111,11,5,
1,1709501492.62133, caravela,7,111,39,12,8.20046401023865
2,1709501500.82108, caravela,7,111,39,13,8.19975113868713
3,1709501508.97198, caravela,7,111,40,10,8.15089702606201
4,1709501513.67303, caravela,7,111,25,4,4.7010498046875
5,1709501519.87116, caravela,7,111,30,9,6.19813013076782
6,1709501522.97092, caravela,7,111,15,3,3.09976196289062
7,1709501528.12157, caravela,7,111,25,7,5.15064811706543
8,1709501532.27127, caravela,7,111,18,4,4.14969992637634
9,1709501536.42081, caravela,7,111,22,4,4.14954495429993
10,1709501540.47287, caravela,7,111,18,5,4.05205893516541
11,1709501549.67098, caravela,7,111,32,13,9.19811606407166
12,1709501558.87099, caravela,7,111,45,13,9.20000600814819
13,1709501561.87237, caravela,7,111,15,3,3.00137400627136
14,1709501564.97135, caravela,7,111,16,3,3.09898805618286
15,1709501570.12118, caravela,7,111,27,5,5.149827003479
16,1709501573.22069, caravela,7,111,15,3,3.0995090007782
17,1709501578.3208, caravela,7,111,25,5,5.10011506080627
18,1709501584.42097, caravela,7,111,30,6,6.10016989707947
19,1709501588.4723, caravela,7,111,20,4,4.0513288974762
20,1709501592.57275, caravela,7,111,20,4,4.10045003890991
21,1709501598.67226, caravela,7,111,30,6,6.0995090007782
22,1709501601.77118, caravela,7,111,17,3,3.0989191532135
23,1709501607.92094, caravela,7,111,32,9,6.14976382255554
24,1709501635.72082, caravela,7,111,137,27,27.799870967865
25,1709501640.82428, caravela,7,111,28,5,5.10346221923828
26,1709501646.02109, caravela,7,111,28,5,5.1968138217926
27,1709501650.17103, caravela,7,111,20,5,4.14993500709534
28,1709501654.22086, caravela,7,111,12,5,4.0498321056366
29,1709501659.32076, caravela,7,111,15,6,5.09989595413208
30,1709501665.47314, caravela,7,111,18,9,6.15238404273987
31,1709501669.67159, caravela,7,111,12,5,4.19845199584961
32,1709501677.92083, caravela,7,111,24,8,8.24923801422119
33,1709501681.97347, caravela,7,111,12,5,4.05264496803284
34,1709501686.17244, caravela,7,111,12,4,4.19896197319031
35,1709501799.47181, caravela,7,111,7,3,113.299374103546
36,1709501802.57095, caravela,7,111,3,3,3.09913492202759
37,1709501805.67179, caravela,7,111,3,3,3.10084891319275
38,1709501808.821, caravela,7,111,3,3,3.14920902252197
39,1709501811.92072, caravela,7,111,3,3,3.09971714019775
40,1709501814.97164, caravela,7,111,3,3,3.0509238243103
41,1709501818.07111, caravela,7,111,3,3,3.09946417808533
42,1709501821.12072, caravela,7,111,3,3,3.04960894584656
43,1709501826.22079, caravela,7,111,5,5,5.10006904602051
44,1709501829.27101, caravela,7,111,3,3,3.05022788047791
45,1709501834.4218, caravela,7,111,5,5,5.15078091621399
46,1709501837.5208, caravela,7,111,3,3,3.09900522232056
0,1709501484.89938, caravela-2,7,112,39,13,
1,1709501487.99961, caravela-2,7,112,13,3,3.10022187232971
2,1709501495.19976, caravela-2,7,112,30,7,7.20015120506287
3,1709501501.45037, caravela-2,7,112,24,8,6.25061678886414
4,1709501505.60015, caravela-2,7,112,16,4,4.14977312088013
5,1709501512.75077, caravela-2,7,112,28,9,7.15062689781189
6,1709501516.90377, caravela-2,7,112,16,4,4.15299201011658
7,1709501521.00021, caravela-2,7,112,16,5,4.09644508361816
8,1709501527.25023, caravela-2,7,112,19,6,6.25001692771912
9,1709501533.54965, caravela-2,7,112,24,8,6.29942512512207
10,1709501537.70009, caravela-2,7,112,16,5,4.15043902397156
11,1709501541.7998, caravela-2,7,112,16,5,4.09971189498901
12,1709501549.95006, caravela-2,7,112,32,13,8.15025210380554
13,1709501557.19938, caravela-2,7,112,26,8,7.24931883811951
14,1709501561.29985, caravela-2,7,112,14,4,4.10047316551209
15,1709501570.50336, caravela-2,7,112,38,9,9.20350790023804
16,1709501574.60218, caravela-2,7,112,16,4,4.0988199710846
17,1709501582.7498, caravela-2,7,112,32,8,8.14761996269226
18,1709501587.80091, caravela-2,7,112,20,6,5.05110907554626
