,time,asv_1,asv_2,asv_3
59,0.0,"(63.329411842321605, 10.079898666625429)","(63.330589843548395, 10.077839456309729)","(63.32977165981694, 10.08119756194699)"
60,0.6123759746551514,"(63.32941489809651, 10.079898284653567)","(63.330589843548395, 10.07784633180327)","(63.32977452460592, 10.08119527011581)"
61,0.677915096282959,"(63.32941795387142, 10.079897902681703)","(63.330589843548395, 10.077853207296812)","(63.32977738939489, 10.08119297828463)"
62,1.0007431507110596,"(63.329421009646325, 10.07989752070984)","(63.33058965256246, 10.077859891804422)","(63.32978025418387, 10.081190686453448)"
63,1.61167311668396,"(63.329424065421236, 10.079897329723908)","(63.33058946157653, 10.077866576312031)","(63.32978311897285, 10.081188394622268)"
64,1.6779301166534424,"(63.32942712119614, 10.079897138737977)","(63.33058927059059, 10.077873260819642)","(63.32978598376182, 10.08118629377702)"
65,2.0000650882720947,"(63.32943017697105, 10.079896947752044)","(63.33058927059059, 10.077879945327252)","(63.3297888485508, 10.081184192931772)"
66,2.6116840839385986,"(63.329433041760026, 10.079896756766113)","(63.33058927059059, 10.077886629834861)","(63.32979171333977, 10.081182092086523)"
67,2.6778981685638428,"(63.329435906549, 10.07989656578018)","(63.33058927059059, 10.077893314342472)","(63.329794578128755, 10.081179800255342)"
68,3.0024900436401367,"(63.329438771337976, 10.079896374794249)","(63.33058927059059, 10.077899998850082)","(63.32979744291773, 10.081177508424162)"
69,3.611704111099243,"(63.32944163612695, 10.079896374794249)","(63.33058927059059, 10.077906683357691)","(63.32980030770671, 10.08117521659298)"
70,3.678760051727295,"(63.329444500915926, 10.079896374794249)","(63.33058927059059, 10.077913367865301)","(63.32980317249569, 10.0811729247618)"
71,4.000277042388916,"(63.3294473657049, 10.079896374794249)","(63.33058927059059, 10.07792005237291)","(63.32980603728466, 10.081170632930618)"
72,4.611768960952759,"(63.329450421479805, 10.079896756766113)","(63.33058927059059, 10.07792673688052)","(63.32980890207364, 10.081168341099438)"
73,4.677957057952881,"(63.32945347725472, 10.079897138737977)","(63.33058927059059, 10.07793342138813)","(63.329811575876676, 10.08116624025419)"
74,5.000009059906006,"(63.32945653302962, 10.07989752070984)","(63.330589079604664, 10.07794010589574)","(63.329814249679714, 10.08116413940894)"
75,5.611656188964844,"(63.329459397818596, 10.079898093667635)","(63.33058888861873, 10.077946790403349)","(63.32981692348275, 10.081162038563692)"
76,5.677916049957275,"(63.32946226260757, 10.079898666625429)","(63.3305886976328, 10.07795347491096)","(63.329819788271735, 10.081159746732512)"
77,6.000085115432739,"(63.329465127396546, 10.079899239583224)","(63.3305886976328, 10.07796015941857)","(63.32982265306071, 10.081157454901332)"
78,6.611742973327637,"(63.32946818317146, 10.079900003526951)","(63.3305886976328, 10.077966843926179)","(63.32982551784969, 10.081155163070152)"
79,6.6785101890563965,"(63.32947123894637, 10.079900767470678)","(63.3305886976328, 10.07797352843379)","(63.32982838263867, 10.081152871238972)"
80,7.001540184020996,"(63.32947429472128, 10.079901531414405)","(63.3305886976328, 10.0779802129414)","(63.32983124742765, 10.08115057940779)"
81,7.611739158630371,"(63.329477159510255, 10.079902295358131)","(63.3305886976328, 10.077986897449009)","(63.32983411221662, 10.08114828757661)"
82,7.677931070327759,"(63.32948002429923, 10.07990305930186)","(63.3305886976328, 10.077993581956619)","(63.3298369770056, 10.081145995745429)"
83,7.999958038330078,"(63.329482889088204, 10.079903823245585)","(63.3305886976328, 10.07800026646423)","(63.32983984179457, 10.081143703914249)"
84,8.611723184585571,"(63.32948575387718, 10.079905160147108)","(63.3305886976328, 10.078006950971838)","(63.32984270658355, 10.081141412083067)"
85,8.677890062332153,"(63.329488618666154, 10.07990649704863)","(63.3305886976328, 10.078013635479449)","(63.32984557137252, 10.081139120251887)"
86,9.00144910812378,"(63.32949148345513, 10.079907833950152)","(63.3305886976328, 10.07802031998706)","(63.3298484361615, 10.081136828420707)"
87,9.611659049987793,"(63.329494348244104, 10.079909361837606)","(63.3305886976328, 10.078027004494668)","(63.32985130095047, 10.081134536589527)"
88,9.677984952926636,"(63.32949721303308, 10.07991088972506)","(63.3305886976328, 10.078033689002279)","(63.32985397475352, 10.081132244758347)"
89,10.0001540184021,"(63.329500077822054, 10.079912417612514)","(63.33058850664687, 10.078040373509888)","(63.32985664855656, 10.081129952927165)"
90,10.611672163009644,"(63.32950294261103, 10.079914136485899)","(63.33058831566094, 10.078047058017498)","(63.3298593223596, 10.081127661095985)"
91,10.677905082702637,"(63.329505807400004, 10.079915855359284)","(63.33058812467501, 10.078053742525107)","(63.32986218714858, 10.081125560250737)"
92,11.000030994415283,"(63.32950867218898, 10.079917574232669)","(63.33058812467501, 10.078060427032717)","(63.32986505193755, 10.081123459405488)"
93,11.613396167755127,"(63.32951172796389, 10.079919484091986)","(63.33058812467501, 10.078067111540328)","(63.32986791672653, 10.081121358560239)"
94,11.677941083908081,"(63.329514783738794, 10.079921393951302)","(63.33058812467501, 10.078073796047939)","(63.3298707815155, 10.081119066729057)"
95,12.000019073486328,"(63.329517839513706, 10.07992330381062)","(63.33058812467501, 10.078080480555549)","(63.329873646304485, 10.081116774897877)"
96,12.611684083938599,"(63.32952070430268, 10.079925404655869)","(63.33058812467501, 10.078087165063158)","(63.32987651109346, 10.081114483066695)"
97,12.677925109863281,"(63.32952356909166, 10.079927505501118)","(63.33058812467501, 10.078093849570768)","(63.329879375882435, 10.081112191235515)"
98,13.000169038772583,"(63.32952643388064, 10.079929606346367)","(63.33058812467501, 10.078100534078377)","(63.32988224067141, 10.081109899404336)"
99,13.611687183380127,"(63.32952929866961, 10.079931707191616)","(63.33058812467501, 10.078107218585988)","(63.329885105460384, 10.081107607573156)"
100,13.677893161773682,"(63.32953216345859, 10.079933808036863)","(63.33058812467501, 10.078113903093596)","(63.32988797024936, 10.081105315741976)"
101,13.999966144561768,"(63.32953502824756, 10.079935908882112)","(63.33058812467501, 10.078120587601207)","(63.329890835038334, 10.081103023910794)"
102,14.611658096313477,"(63.32953789303654, 10.079938200713293)","(63.33058812467501, 10.078127272108816)","(63.32989369982731, 10.081100732079614)"
103,14.67792296409607,"(63.32954075782551, 10.079940492544473)","(63.33058812467501, 10.078133956616426)","(63.329896373630355, 10.081098249262501)"
104,15.000041007995605,"(63.32954362261449, 10.079942784375655)","(63.33058793368908, 10.078140641124037)","(63.32989904743339, 10.081095766445388)"
105,15.612604141235352,"(63.32954648740346, 10.079944885220904)","(63.330587742703145, 10.078147325631646)","(63.32990172123644, 10.081093283628276)"
106,15.678238153457642,"(63.32954935219244, 10.079946986066153)","(63.330587551717215, 10.078154010139256)","(63.329904586025414, 10.081090991797096)"
107,16.000041961669922,"(63.32955221698141, 10.079949086911402)","(63.330587551717215, 10.078160694646867)","(63.32990745081439, 10.081088699965916)"
108,16.620736122131348,"(63.32955508177039, 10.079951378742582)","(63.330587551717215, 10.078167379154475)","(63.329910315603364, 10.081086408134736)"
109,16.677885055541992,"(63.32955794655936, 10.079953670573763)","(63.330587551717215, 10.078174063662086)","(63.32991318039234, 10.081084116303556)"
110,17.000002145767212,"(63.32956081134834, 10.079955962404943)","(63.330587551717215, 10.078180748169697)","(63.32991604518132, 10.081081824472374)"
111,17.611796140670776,"(63.32956367613731, 10.079958254236123)","(63.330587551717215, 10.078187432677305)","(63.329918909970296, 10.081079532641194)"
112,17.678410053253174,"(63.32956654092629, 10.079960546067303)","(63.330587551717215, 10.078194117184916)","(63.32992158377334, 10.081077240810014)"
113,18.000023126602173,"(63.32956940571526, 10.079962837898483)","(63.330587551717215, 10.078200801692525)","(63.32992425757638, 10.081074948978832)"
