,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1709501122.42128, caravela,7,111,21,6,
1,1709501126.57147, caravela,7,111,20,4,4.15018606185913
2,1709501129.62261, caravela,7,111,15,3,3.05113911628723
3,1709501132.7714, caravela,7,111,15,3,3.14879584312439
4,1709501135.82182, caravela,7,111,18,3,3.05042099952698
5,1709501140.97258, caravela,7,111,25,7,5.15075516700745
6,1709501144.62274, caravela,7,111,15,3,3.6501579284668
7,1709501152.92363, caravela,7,111,40,8,8.30089092254639
8,1709501155.97295, caravela,7,111,15,3,3.04932403564453
9,1709501159.07171, caravela,7,111,15,3,3.09875512123108
10,1709501164.22127, caravela,7,111,25,7,5.14956092834473
11,1709501170.37156, caravela,7,111,30,7,6.15029001235962
12,1709501173.47204, caravela,7,111,17,3,3.10048794746399
13,1709501177.67197, caravela,7,111,20,4,4.19992709159851
14,1709501182.82159, caravela,7,111,25,5,5.14962291717529
15,1709501185.87216, caravela,7,111,15,3,3.05056500434875
16,1709501191.02227, caravela,7,111,25,5,5.15010690689087
17,1709501196.17941, caravela,7,111,25,5,5.15714502334595
18,1709501199.3214, caravela,7,111,15,3,3.1419939994812
19,1709501202.37184, caravela,7,111,15,3,3.05043816566467
20,1709501209.52468, caravela,7,111,35,10,7.15284085273743
21,1709501212.57152, caravela,7,111,15,3,3.04683113098145
22,1709501216.67249, caravela,7,111,20,5,4.10097193717957
23,1709501220.82123, caravela,7,111,20,5,4.14873886108398
24,1709501223.92419, caravela,7,111,15,3,3.10296821594238
25,1709501227.02134, caravela,7,111,15,3,3.09714698791504
26,1709501230.12131, caravela,7,111,15,3,3.09996581077576
27,1709501237.37468, caravela,7,111,40,9,7.25337719917297
28,1709501241.47125, caravela,7,111,20,5,4.09656381607056
29,1709501244.62119, caravela,7,111,16,3,3.14994406700134
30,1709501253.87132, caravela,7,111,47,10,9.25012707710266
31,1709501258.92172, caravela,7,111,23,7,5.05039691925049
32,1709501263.02125, caravela,7,111,25,4,4.09953498840332
33,1709501267.07178, caravela,7,111,24,5,4.05053305625916
34,1709501271.2234, caravela,7,111,20,4,4.15161108970642
35,1709501275.37109, caravela,7,111,22,5,4.14769792556763
36,1709501279.47227, caravela,7,111,18,5,4.10117602348328
37,1709501283.57227, caravela,7,111,12,5,4.10000395774841
38,1709501286.67103, caravela,7,111,13,3,3.09875893592834
39,1709501293.92125, caravela,7,111,31,7,7.25022196769714
40,1709501296.97147, caravela,7,111,11,3,3.05021715164185
41,1709501301.12105, caravela,7,111,20,5,4.14957594871521
42,1709501447.07147, caravela,7,111,43,5,145.950424909592
0,1709501116.94661, caravela-2,7,112,15,4,
1,1709501121.08944, caravela-2,7,112,16,4,4.14282488822937
2,1709501125.98928, caravela-2,7,112,17,4,4.89983892440796
3,1709501129.089, caravela-2,7,112,12,3,3.09972715377808
4,1709501137.2892, caravela-2,7,112,33,11,8.20019197463989
5,1709501141.43934, caravela-2,7,112,16,4,4.15014290809631
6,1709501145.48922, caravela-2,7,112,16,4,4.04988312721252
7,1709501148.59088, caravela-2,7,112,12,3,3.10166001319885
8,1709501151.7391, caravela-2,7,112,12,3,3.14821982383728
9,1709501154.83924, caravela-2,7,112,12,3,3.10013508796692
10,1709501159.93914, caravela-2,7,112,20,6,5.09990191459656
11,1709501162.98952, caravela-2,7,112,12,3,3.05037999153137
12,1709501169.18918, caravela-2,7,112,20,8,6.19966316223145
13,1709501173.33891, caravela-2,7,112,17,4,4.14972686767578
14,1709501176.38939, caravela-2,7,112,12,3,3.05048012733459
15,1709501181.48962, caravela-2,7,112,20,6,5.10023307800293
16,1709501185.589, caravela-2,7,112,16,5,4.09937691688538
17,1709501189.68926, caravela-2,7,112,16,4,4.10026001930237
18,1709501195.94168, caravela-2,7,112,24,6,6.25241899490356
19,1709501201.08929, caravela-2,7,112,17,6,5.14760899543762
20,1709501207.28951, caravela-2,7,112,22,7,6.20021891593933
21,1709501212.43929, caravela-2,7,112,20,6,5.1497859954834
22,1709501217.53966, caravela-2,7,112,20,5,5.10036706924439
23,1709501222.73939, caravela-2,7,112,20,5,5.19973206520081
24,1709501226.89042, caravela-2,7,112,16,4,4.15103197097778
25,1709501230.03989, caravela-2,7,112,12,3,3.14946603775024
26,1709501234.18943, caravela-2,7,112,16,4,4.14953684806824
27,1709501239.28938, caravela-2,7,112,20,5,5.0999550819397
28,1709501244.53898, caravela-2,7,112,23,5,5.24959707260132
29,1709501247.58904, caravela-2,7,112,12,3,3.05006194114685
30,1709501250.68908, caravela-2,7,112,12,3,3.1000349521637
31,1709501255.73946, caravela-2,7,112,20,5,5.05038094520569
32,1709501259.78997, caravela-2,7,112,18,4,4.05051207542419
33,1709501263.98938, caravela-2,7,112,20,4,4.1994149684906
34,1709501267.09003, caravela-2,7,112,12,3,3.10064911842346
35,1709501272.28935, caravela-2,7,112,20,5,5.19931387901306
36,1709501279.48926, caravela-2,7,112,28,10,7.19991397857666
37,1709501282.5895, caravela-2,7,112,12,3,3.10023593902588
38,1709501287.78945, caravela-2,7,112,16,5,5.19995021820068
39,1709501290.88933, caravela-2,7,112,10,3,3.09988689422607
40,1709501293.98899, caravela-2,7,112,8,3,3.09966087341309
0,1709501115.50057, caravela-3,7,113,13,5,
