,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1710877999.86797, caravela,7,111,10,4,
1,1710878003.967798, caravela,7,111,20,5,4.099828004837036
2,1710878008.117772, caravela,7,111,22,5,4.14997410774231
3,1710878013.218042, caravela,7,111,28,7,5.100269794464111
4,1710878017.317882, caravela,7,111,22,5,4.09984016418457
5,1710878020.467775, caravela,7,111,17,3,3.149893045425415
6,1710878023.517808, caravela,7,111,6,3,3.0500328540802
7,1710878030.717923, caravela,7,111,21,7,7.200114965438843
8,1710878037.917756, caravela,7,111,30,9,7.199833154678345
9,1710878042.967836, caravela,7,111,29,7,5.050079822540283
10,1710878048.067901, caravela,7,111,31,5,5.100064992904663
11,1710878051.118219, caravela,7,111,15,3,3.0503180027008057
12,1710878055.267859, caravela,7,111,20,4,4.149640083312988
13,1710878060.417817, caravela,7,111,35,7,5.14995813369751
14,1710878065.567851, caravela,7,111,37,7,5.150033950805664
15,1710878071.817974, caravela,7,111,44,6,6.250123023986816
16,1710878074.917875, caravela,7,111,21,3,3.099900960922241
17,1710878079.068224, caravela,7,111,31,5,4.150348901748657
18,1710878085.317894, caravela,7,111,44,8,6.249670028686523
19,1710878088.368093, caravela,7,111,24,3,3.050199031829834
20,1710878091.467771, caravela,7,111,24,3,3.0996780395507812
21,1710878094.517751, caravela,7,111,24,3,3.0499799251556396
22,1710878099.717996, caravela,7,111,42,7,5.200244903564453
23,1710878103.817814, caravela,7,111,28,4,4.099818229675293
24,1710878106.967733, caravela,7,111,21,3,3.149918794631958
25,1710878117.217815, caravela,7,111,76,13,10.250082015991211
26,1710878122.417783, caravela,7,111,41,5,5.199968099594116
27,1710878127.517984, caravela,7,111,38,6,5.100200891494751
28,1710878131.667789, caravela,7,111,37,4,4.149805068969727
29,1710878135.767992, caravela,7,111,34,5,4.100203037261963
30,1710878141.91883, caravela,7,111,42,9,6.1508378982543945
31,1710878148.218038, caravela,7,111,45,6,6.299208164215088
32,1710878151.317891, caravela,7,111,21,3,3.0998528003692627
33,1710878161.667788, caravela,7,111,74,10,10.349897146224976
34,1710878165.768029, caravela,7,111,26,4,4.10024094581604
35,1710878171.96788, caravela,7,111,39,6,6.199851036071777
36,1710878175.067828, caravela,7,111,18,3,3.099947929382324
37,1710878178.16784, caravela,7,111,21,3,3.1000120639801025
38,1710878185.417744, caravela,7,111,49,8,7.249903917312622
39,1710878189.517973, caravela,7,111,28,4,4.100229024887085
40,1710878201.817795, caravela,7,111,80,12,12.299822092056274
41,1710878207.967799, caravela,7,111,34,8,6.150003910064697
42,1710878216.218324, caravela,7,111,52,9,8.250524997711182
43,1710878220.368041, caravela,7,111,28,4,4.149717092514038
44,1710878223.417941, caravela,7,111,21,3,3.0499000549316406
45,1710878228.567744, caravela,7,111,35,5,5.149802923202515
46,1710878233.717886, caravela,7,111,35,6,5.150141954421997
47,1710878236.817986, caravela,7,111,19,3,3.100100040435791
48,1710878240.967939, caravela,7,111,28,5,4.1499528884887695
49,1710878245.068184, caravela,7,111,21,4,4.100244998931885
50,1710878251.267859, caravela,7,111,36,6,6.1996750831604
51,1710878255.417807, caravela,7,111,28,5,4.1499481201171875
52,1710878258.517752, caravela,7,111,21,3,3.099944829940796
53,1710878262.668018, caravela,7,111,29,4,4.150266170501709
54,1710878266.767832, caravela,7,111,28,4,4.099813938140869
55,1710878269.867843, caravela,7,111,21,3,3.100010871887207
56,1710878274.017859, caravela,7,111,28,4,4.1500160694122314
57,1710878280.217977, caravela,7,111,42,8,6.200118064880371
58,1710878285.317934, caravela,7,111,38,5,5.09995698928833
59,1710878291.467997, caravela,7,111,42,6,6.1500630378723145
60,1710878297.717854, caravela,7,111,42,6,6.249856948852539
61,1710878301.867794, caravela,7,111,28,4,4.149940013885498
62,1710878304.917817, caravela,7,111,21,3,3.050023078918457
63,1710878309.017833, caravela,7,111,28,4,4.100015878677368
64,1710878313.217855, caravela,7,111,29,5,4.200021982192993
65,1710878316.317818, caravela,7,111,23,3,3.0999629497528076
66,1710878320.368031, caravela,7,111,29,4,4.050213098526001
67,1710878324.517817, caravela,7,111,30,5,4.149785995483398
68,1710878328.667712, caravela,7,111,31,5,4.149894952774048
69,1710878334.767832, caravela,7,111,45,6,6.1001200675964355
70,1710878343.017806, caravela,7,111,61,12,8.249974012374878
71,1710878347.117882, caravela,7,111,31,4,4.100075960159302
72,1710878353.317952, caravela,7,111,35,9,6.200069904327393
73,1710878356.417912, caravela,7,111,15,3,3.0999600887298584
74,1710878360.567768, caravela,7,111,20,4,4.149856090545654
75,1710878363.667797, caravela,7,111,15,3,3.1000289916992188
76,1710878367.867985, caravela,7,111,20,4,4.200187921524048
77,1710878372.967807, caravela,7,111,25,5,5.099822044372559
78,1710878379.118099, caravela,7,111,30,7,6.150291919708252
79,1710878384.218063, caravela,7,111,25,7,5.099964141845703
80,1710878387.317893, caravela,7,111,15,3,3.099829912185669
81,1710878390.367833, caravela,7,111,15,3,3.0499398708343506
82,1710878394.467812, caravela,7,111,22,4,4.0999791622161865
83,1710878398.569758, caravela,7,111,21,4,4.101945877075195
84,1710878406.81778, caravela,7,111,40,8,8.248022079467773
85,1710878409.967781, caravela,7,111,15,3,3.150001049041748
86,1710878413.018057, caravela,7,111,15,3,3.050276041030884
87,1710878416.117897, caravela,7,111,15,3,3.099839925765991
88,1710878419.217943, caravela,7,111,15,3,3.100045919418335
89,1710878423.317869, caravela,7,111,14,5,4.099925994873047
90,1710878426.367967, caravela,7,111,7,3,3.050097942352295
91,1710878432.518014, caravela,7,111,16,6,6.150047063827515
92,1710878436.617716, caravela,7,111,10,4,4.0997021198272705
93,1710878439.717875, caravela,7,111,9,3,3.100158929824829
94,1710878445.868117, caravela,7,111,14,6,6.15024209022522
95,1710878453.167935, caravela,7,111,21,10,7.299817800521851
96,1710878462.417915, caravela,7,111,12,3,9.249980211257935
97,1710878465.517867, caravela,7,111,3,3,3.099951982498169
98,1710878477.817814, caravela,7,111,3,3,12.299947023391724
0,1710878002.385154, caravela-3,7,113,17,6,
1,1710878005.485162, caravela-3,7,113,13,3,3.100008010864258
2,1710878009.585172, caravela-3,7,113,18,4,4.100009918212891
3,1710878013.735335, caravela-3,7,113,18,4,4.150163173675537
4,1710878016.835142, caravela-3,7,113,14,3,3.099806785583496
5,1710878022.785105, caravela-3,7,113,21,5,5.949963092803955
6,1710878029.885177, caravela-3,7,113,14,11,7.100071907043457
7,1710878036.085136, caravela-3,7,113,16,9,6.19995903968811
8,1710878040.135182, caravela-3,7,113,19,4,4.050045967102051
9,1710878044.235177, caravela-3,7,113,16,4,4.099995136260986
10,1710878049.28545, caravela-3,7,113,24,5,5.0502729415893555
11,1710878055.485296, caravela-3,7,113,24,8,6.199846029281616
12,1710878060.635186, caravela-3,7,113,29,5,5.149889945983887
13,1710878069.93532, caravela-3,7,113,59,12,9.30013394355774
14,1710878077.185138, caravela-3,7,113,43,7,7.2498180866241455
15,1710878082.285162, caravela-3,7,113,34,7,5.100023984909058
16,1710878087.385171, caravela-3,7,113,30,5,5.100008964538574
17,1710878093.53514, caravela-3,7,113,42,7,6.149969100952148
18,1710878096.585149, caravela-3,7,113,20,3,3.05000901222229
19,1710878099.635191, caravela-3,7,113,20,3,3.050041913986206
20,1710878102.735349, caravela-3,7,113,18,3,3.1001579761505127
21,1710878105.785419, caravela-3,7,113,18,3,3.05007004737854
22,1710878109.935663, caravela-3,7,113,26,4,4.1502439975738525
23,1710878113.035405, caravela-3,7,113,18,3,3.0997419357299805
24,1710878119.185349, caravela-3,7,113,38,6,6.149944067001343
25,1710878127.385604, caravela-3,7,113,54,12,8.200254917144775
26,1710878131.535168, caravela-3,7,113,28,4,4.149564027786255
27,1710878137.685634, caravela-3,7,113,40,7,6.150465965270996
28,1710878142.785159, caravela-3,7,113,30,5,5.099525213241577
29,1710878147.935141, caravela-3,7,113,32,5,5.14998197555542
30,1710878150.985216, caravela-3,7,113,18,3,3.050074815750122
31,1710878155.08561, caravela-3,7,113,24,4,4.100394010543823
32,1710878163.335152, caravela-3,7,113,48,8,8.249541997909546
33,1710878166.385404, caravela-3,7,113,20,3,3.0502521991729736
34,1710878171.635425, caravela-3,7,113,33,6,5.250020980834961
35,1710878174.735362, caravela-3,7,113,18,3,3.0999369621276855
36,1710878178.885548, caravela-3,7,113,24,4,4.150186061859131
37,1710878181.985211, caravela-3,7,113,18,3,3.0996627807617188
38,1710878187.135142, caravela-3,7,113,30,5,5.149931192398071
39,1710878192.285779, caravela-3,7,113,30,5,5.150636911392212
40,1710878197.485169, caravela-3,7,113,30,7,5.199389934539795
41,1710878206.685309, caravela-3,7,113,54,13,9.200139999389648
42,1710878209.835195, caravela-3,7,113,18,3,3.149886131286621
43,1710878214.035268, caravela-3,7,113,24,4,4.200073003768921
44,1710878217.185266, caravela-3,7,113,24,3,3.1499979496002197
45,1710878220.285138, caravela-3,7,113,18,3,3.099871873855591
46,1710878224.335437, caravela-3,7,113,18,4,4.050299167633057
47,1710878228.385289, caravela-3,7,113,24,5,4.049851894378662
48,1710878234.635179, caravela-3,7,113,36,9,6.249890089035034
49,1710878240.735283, caravela-3,7,113,36,7,6.100103855133057
50,1710878249.885199, caravela-3,7,113,54,12,9.149916172027588
51,1710878252.985198, caravela-3,7,113,18,3,3.099998950958252
